/19 8/11	今思いつくのはこれくらい
21:43	あすか 11/19 8/11	寝かしつけは最終放置してると寝るから大丈夫
21:43	ゆうげん	ナギも寝付き良くなったかね
21:54	ゆうげん	お店出た
21:54	ゆうげん	かえります
22:17	ゆうげん	お家ついて
22:17	ゆうげん	整理ちゅう
22:39	ゆうげん	今日
22:39	ゆうげん	13万のコート届いて
22:39	ゆうげん	めっちゃ元気なった
22:50	ゆうげん	早く夫婦で本気コーデしたい

2022/09/10(土)
08:53	あすか 11/19 8/11	寝付き良いわけではない
08:53	ゆうげん	おはよう
08:53	あすか 11/19 8/11	無になるのも気力つかう
08:53	ゆうげん	今起きた
08:53	あすか 11/19 8/11	おはよう
08:53	あすか 11/19 8/11	そのまま寝ちゃってた
08:53	あすか 11/19 8/11	13万のコート。。すげーな
08:57	ゆうげん	着たい服いっぱい
09:05	あすか 11/19 8/11	[写真]
09:05	あすか 11/19 8/11	[写真]
09:05	あすか 11/19 8/11	[写真]
09:05	あすか 11/19 8/11	[写真]
09:05	あすか 11/19 8/11	なんか、クソ高い服っていうより
09:05	あすか 11/19 8/11	こういう生活したい
09:21	ゆうげん	余裕っしょ
09:21	ゆうげん	家たった瞬間に超えるわ
10:00	あすか 11/19 8/11	大きい鏡いいなぁ
10:03	ゆうげん	最初玄関に2*2くらいの鏡おこう言ったやん
10:07	あすか 11/19 8/11	2*2って？
10:07	あすか 11/19 8/11	玄関はなー
10:08	ゆうげん	2m
10:31	ゆうげん	[写真]
10:31	ゆうげん	ちょっぴりづつやけど
10:31	ゆうげん	涼しくなってきてる
12:11	あすか 11/19 8/11	最低気温が低くなってきてるな
12:12	あすか 11/19 8/11	[写真]
12:12	あすか 11/19 8/11	[写真]
12:12	あすか 11/19 8/11	泉大津はこれ
17:04	あすか 11/19 8/11	寝てるの？
17:12	あすか 11/19 8/11	おーーーいねてるだけ？
17:35	ゆうげん	ごめん
17:35	ゆうげん	寝てた
17:35	あすか 11/19 8/11	寝てただけなのね
17:35	あすか 11/19 8/11	よかった
17:35	ゆうげん	お腹すいた
17:36	あすか 11/19 8/11	晩ご飯何するのー？
17:36	ゆうげん	https://petitmig.shop/collections/boys
17:36	ゆうげん	月見食おうかな
17:36	ゆうげん	さあどれがいい
17:38	あすか 11/19 8/11	え、プチミグじゃん！
17:38	あすか 11/19 8/11	月見いいね！食べたいな
17:39	あすか 11/19 8/11	[写真]
17:39	あすか 11/19 8/11	[写真]
17:39	ゆうげん	[写真]
17:39	ゆうげん	[写真]
17:39	あすか 11/19 8/11	このシャツとサロペット私が見てやつよね
17:39	ゆうげん	そう
17:39	ゆうげん	俺これがいい
17:40	あすか 11/19 8/11	可愛いけどニットは子どもなかなか着せれんからなーて思って
17:46	あすか 11/19 8/11	そういえば
17:46	あすか 11/19 8/11	クリスマスツリー準備買っときたいな
17:47	あすか 11/19 8/11	家建ったら飾りたい
17:47	ゆうげん	ふむ
17:47	ゆうげん	おっけい
17:48	あすか 11/19 8/11	ちょっとまた夜に気になってるクリスマスツリー言うね
17:49	ゆうげん	イケアじゃなかったっけ?
17:52	あすか 11/19 8/11	どこのやったかな？
17:52	あすか 11/19 8/11	忘れた
17:52	あすか 11/19 8/11	[写真]
17:52	あすか 11/19 8/11	オーナメントも可愛いのほしいね
17:53	ゆうげん	オーナメントね
17:53	あすか 11/19 8/11	オーナメントなんかあるかなーかわいいの
17:57	あすか 11/19 8/11	[写真]
17:57	あすか 11/19 8/11	[写真]
17:57	あすか 11/19 8/11	[写真]
17:57	あすか 11/19 8/11	アルザスツリーか
18:23	ゆうげん	さがそ
18:23	ゆうげん	オーナメント
18:42	あすか 11/19 8/11	アルザスツリーって高い？
18:43	あすか 11/19 8/11	丸太脚隠しもほしいね
18:48	ゆうげん	高さは?
18:48	ゆうげん	180もう売り切れてるんか
18:51	ゆうげん	150か210やな
18:54	ゆうげん	[写真]
18:54	ゆうげん	値段差
18:58	ゆうげん	[スタンプ]
18:58	ゆうげん	毎年使うし
18:58	ゆうげん	210でいいと思う
18:59	ゆうげん	買っとくで
18:59	ゆうげん	棚橋家に送るな
19:14	ゆうげん	"楽天似合ったわ
180"
19:14	ゆうげん	どっちがいい?
19:14	ゆうげん	180は17800
19:14	あすか 11/19 8/11	え
19:14	あすか 11/19 8/11	ちょいまち
19:14	あすか 11/19 8/11	小さめでいいよ
19:15	あすか 11/19 8/11	150で十分じゃない？
19:15	あすか 11/19 8/11	私より大きいのはいらないかな
19:25	ゆうげん	おけ
19:26	ゆうげん	じゃあ150で
19:34	あすか 11/19 8/11	150でもまぁまぁ存在感
19:34	あすか 11/19 8/11	下の脚隠しってまだ売ってるんかな
19:35	あすか 11/19 8/11	グランシャリオ北斗七星って私とゆーくんでいくらやった？
19:36	ゆうげん	60000ちょい
19:36	ゆうげん	誰か行くの?
19:36	あすか 11/19 8/11	ありがと
19:37	あすか 11/19 8/11	友だちのお兄ちゃんが行きたいらしくて友だちからDMきた
19:39	ゆうげん	シーズンで全然値段変わるから
19:40	ゆうげん	参考にならんと思う
19:41	あすか 11/19 8/11	"泊まったとこどこ？ていう
質問もあった"
19:41	あすか 11/19 8/11	シーズンで値段変わるのも伝えたー
19:41	ゆうげん	みんな気になるね
19:43	あすか 11/19 8/11	あ、いや、その子から泊まったとこどこ？て
19:43	あすか 11/19 8/11	淡路島に住んでる子なんやけどな(笑)
19:43	ゆうげん	なんでぇい
19:45	あすか 11/19 8/11	地元やのに知らないって言う(笑)て自分で言ってた(笑)
19:45	ゆうげん	ホテルめっちゃ多いもんな
20:17	あすか 11/19 8/11	多いよね
21:23	ゆうげん	旅行行きたいなぁ
21:55	ゆうげん	もうそろそろなぎ寝るかな？
22:05	あすか 11/19 8/11	今から電気消す
22:05	あすか 11/19 8/11	旅行より電動自転車や車への貯金をしたいなぁぁぁ
22:12	ゆうげん	電チャリ( •̅_•̅ )
22:42	あすか 11/19 8/11	何やその顔は
22:55	ゆうげん	ねた?
23:18	ゆうげん	[写真]
23:40	ゆうげん	[写真]
23:40	ゆうげん	[写真]
23:42	ゆうげん	[写真]

2022/09/11(日)
01:13	ゆうげん	☎ 通話時間 2:14:30
01:15	あすか 11/19 8/11	☎ 不在着信
01:15	ゆうげん	☎ 通話をキャンセルしました
01:15	あすか 11/19 8/11	☎ 不在着信
02:55	あすか 11/19 8/11	[写真]
02:55	あすか 11/19 8/11	[写真]
04:09	ゆうげん	☎ 通話時間 2:53:51
11:18	ゆうげん	おはよう
13:09	あすか 11/19 8/11	おはよう
13:34	ゆうげん	明日着で
13:34	ゆうげん	"なぎふく
化粧落とし
髪の毛オイル
ビタミンC送った"
17:07	あすか 11/19 8/11	ありがとう
17:21	ゆうげん	来週かえりたい
17:25	あすか 11/19 8/11	いつからいつまで？
17:25	ゆうげん	土〜月曜夕方
17:27	あすか 11/19 8/11	土曜 朝？
17:32	ゆうげん	かな
17:33	あすか 11/19 8/11	どうするー？いつ来ていつ帰るかだけ早めに母に伝えとく
17:40	ゆうげん	上のスケジュールで
18:46	あすか 11/19 8/11	土曜 朝~月曜夕方
18:46	あすか 11/19 8/11	でおけ？
19:00	ゆうげん	おけ
19:42	あすか 11/19 8/11	了解です
19:58	ゆうげん	ありがとう

2022/09/12(月)
08:56	あすか 11/19 8/11	寝かしつけからそのまま寝てしまった
08:56	あすか 11/19 8/11	おはよう
09:02	ゆうげん	おはよう
09:02	ゆうげん	よく寝れた?
13:48	ゆうげん	[写真]
13:48	ゆうげん	入れ物がもう可愛い
15:38	あすか 11/19 8/11	朝なぎ起きるの遅くて昼寝も遅なってまだ寝てる
15:38	あすか 11/19 8/11	ほんまや、ラッピングかわいすぎる
15:38	あすか 11/19 8/11	それを写真撮りたいくらいかわいいな
15:38	あすか 11/19 8/11	中身はなんやろ
15:40	ゆうげん	サロペットとブラウス
15:40	ゆうげん	あすかが欲しがってたやつ
15:40	ゆうげん	どっちも100
15:41	あすか 11/19 8/11	マジか
15:41	あすか 11/19 8/11	びっくり
15:41	ゆうげん	帰る時持ってきます
15:44	あすか 11/19 8/11	ありがとうございます
15:45	ゆうげん	ナギの荷物届いた?
15:50	あすか 11/19 8/11	多分届いた
15:50	あすか 11/19 8/11	荷物届いたけど箱開けれてない
15:51	ゆうげん	"化粧落としとビタミン、ヘアオイルも入ってるから
それ抜いてあとは倉庫や"
16:00	あすか 11/19 8/11	了解です
16:16	ゆうげん	今週末は
16:16	ゆうげん	何する?
20:16	あすか 11/19 8/11	んー、何しようかな
20:32	ゆうげん	天気によるけど浜寺公園行きたいなって思ったら
20:32	ゆうげん	[写真]
20:33	ゆうげん	絶望
20:33	ゆうげん	舐めてるやん
20:40	あすか 11/19 8/11	[写真]
20:40	あすか 11/19 8/11	泉大津はこんな感じやけどね
20:40	あすか 11/19 8/11	どやろ
21:16	ゆうげん	はれてほしい
21:55	あすか 11/19 8/11	ほんまにー晴れて欲しいね

2022/09/13(火)
09:50	ゆうげん	おはよう
09:50	ゆうげん	見積もりの件
09:50	ゆうげん	今日か明日かやけど
09:50	ゆうげん	お願いします
10:10	ゆうげん	あと
10:11	ゆうげん	欲しい電動自転車
10:11	ゆうげん	もっかいピックしといて
10:37	あすか 11/19 8/11	見ときます
10:38	あすか 11/19 8/11	[写真]
10:38	あすか 11/19 8/11	[写真]
10:38	あすか 11/19 8/11	土日月帰ってくるより金土日のが良さそうじゃない？
10:38	あすか 11/19 8/11	天気とか気温とか
10:39	あすか 11/19 8/11	まぁ天気予報は変わるからわかんないけど
10:39	ゆうげん	金曜出社やからな
10:39	ゆうげん	帰れない
10:39	あすか 11/19 8/11	いや、23日からってこと
10:39	ゆうげん	"テレワーク減った
週1"
10:40	あすか 11/19 8/11	17.18.19じゃなくて23.24.25の方が良さそうじゃない？てこと
10:40	あすか 11/19 8/11	[写真]
10:40	ゆうげん	どちらでも大丈夫よ
10:40	ゆうげん	都合がいい方で
10:41	あすか 11/19 8/11	都合は別にどっちでもいいねんけど
10:41	あすか 11/19 8/11	天気と気温がな
10:41	ゆうげん	妊活はなし?
10:42	あすか 11/19 8/11	うん、もう家建つまでなし
10:42	あすか 11/19 8/11	家建ってからも色んな都合で考え直すかもやけど
10:50	ゆうげん	わかった
11:24	あすか 11/19 8/11	気持ちとしてはもちろん今すぐにでも授かりたいけどね
11:24	あすか 11/19 8/11	"帰ってくるのはどーする？
どっちがいい？"
11:29	ゆうげん	いや
11:29	ゆうげん	妊活考えるなら今週やし
11:29	ゆうげん	全くないなら来週
11:30	あすか 11/19 8/11	妊活は考えてないよ
11:30	あすか 11/19 8/11	気持ちは＂授かりたい＂やねんけど
11:30	あすか 11/19 8/11	身体が整ってない気がするしやっぱり今これ以上身体しんどくなるのも嫌やなって思う
11:31	あすか 11/19 8/11	別に変なもの食べてるわけじゃないのに胃腸の調子が良くなさげやったり耳鳴りしてたりとか
11:32	あすか 11/19 8/11	自分の体調が万全じゃない感じがするんよね
11:32	あすか 11/19 8/11	寝込む程じゃないけど
11:32	ゆうげん	ストレスやろ
11:33	あすか 11/19 8/11	ストレスも別に実家がどうとかだけじゃないから
11:33	あすか 11/19 8/11	実家よりもメンタルくるなーて思うなんか最近いろいろ
11:33	ゆうげん	おれか
11:36	あすか 11/19 8/11	自分でもよくわからんけど気持ちは大丈夫と思ってても身体が万全じゃなくてそれも嫌で落ち込むしやりたいことも出来ずに寝落ちとかしちゃうのもわざとじゃないけどホンマに自分が嫌になるし
11:36	あすか 11/19 8/11	もう何かわからんのよね
11:40	ゆうげん	疲れてるんやろ
11:40	ゆうげん	"俺もここ3〜4日
22:00まで起きてられへん"
14:00	あすか 11/19 8/11	とりあえず
14:01	あすか 11/19 8/11	帰ってきてもらうの23からでいい？天気と気温的にそっちのが良さそう
14:06	ゆうげん	わかった
14:08	あすか 11/19 8/11	せっかくやったらちゃんと公園とか満喫したいしちょっとでも気温下がってる方がいい
14:08	あすか 11/19 8/11	天気も今週末はほぼ雨っぽいからさ
14:09	あすか 11/19 8/11	そのあと10月の8.9祭りやけど帰ってくる？祭りもそんながっつり参加せんけど
14:10	あすか 11/19 8/11	"あとは10月上棟立会がいつ頃になるかよなー

8.9帰ってきてまた間もなく上棟立会で帰ってきてとかなったら大変やから"
14:10	あすか 11/19 8/11	ゆー君試験もあるし
14:32	ゆうげん	10月はぜひ帰りたい
15:52	ゆうげん	連休暇やな
15:52	ゆうげん	どうしよう
17:18	あすか 11/19 8/11	10月の上棟立会がいつになるかでまた考えなあかんね
17:19	あすか 11/19 8/11	あんま頻繁に行き来せなあかんなると大変やし
17:19	あすか 11/19 8/11	資格の試験の応募？はできたん？
17:20	ゆうげん	応募まだや
17:20	ゆうげん	しとこ
17:20	あすか 11/19 8/11	試験日決まってそれに向けての勉強スケジュールというか、これくらいは勉強しとかななーみたいなの見えたら
17:21	あすか 11/19 8/11	それに影響せん範囲で帰ってきて欲しい
17:21	あすか 11/19 8/11	ゆっくりするのも暇かもやけど、
17:21	あすか 11/19 8/11	たまにはゆっくりしなよ、連休も
18:17	ゆうげん	今日
18:17	ゆうげん	電話しよ
18:17	ゆうげん	スケジュールたてる
19:30	あすか 11/19 8/11	うん、寝てしまったらごめん
19:44	ゆうげん	今から帰る
23:11	あすか 11/19 8/11	お仕事お疲れ様です
23:11	あすか 11/19 8/11	なぎ寝かせるの遅なった
23:11	あすか 11/19 8/11	もう寝たかな
23:21	ゆうげん	[スタンプ]
23:22	ゆうげん	起きてるで
23:27	あすか 11/19 8/11	起きてたのか
23:29	ゆうげん	掃除してtq
23:35	あすか 11/19 8/11	もう寝る？
23:36	ゆうげん	まだ起きてるよ
23:45	あすか 11/19 8/11	まだ起きてるー？
23:45	ゆうげん	うん
23:46	あすか 11/19 8/11	☎ 不在着信
23:48	ゆうげん	ちょいまって
23:53	あすか 11/19 8/11	はーい

2022/09/14(水)
01:17	あすか 11/19 8/11	[アルバム] (null)
01:49	ゆうげん	☎ 通話時間 1:52:48
12:08	あすか 11/19 8/11	今日出社って言ってたよな？
12:08	ゆうげん	あと全部出社
12:08	ゆうげん	今週
12:09	あすか 11/19 8/11	昨日寝るの遅かったからいけたんかなーと思って
12:09	ゆうげん	死にながら起きた
12:10	あすか 11/19 8/11	今日は早く寝よ
12:10	ゆうげん	せやな
12:11	ゆうげん	はよ寝よ
16:35	あすか 11/19 8/11	[写真]
16:36	あすか 11/19 8/11	天気よくわかんないね
17:27	ゆうげん	天気なぁ
18:43	あすか 11/19 8/11	とりあえず心地よく公園で過ごせる日がある事を祈る
18:43	あすか 11/19 8/11	[写真]
18:43	あすか 11/19 8/11	新品の綺麗なキッチンで料理するの楽しみ
18:46	ゆうげん	いっぱい
18:47	ゆうげん	好きなだけ
18:47	ゆうげん	お料理お菓子作りしてもらおう
18:47	ゆうげん	相変わらずきちゃねぇ
19:11	あすか 11/19 8/11	料理もお菓子作りも節約しながらやから好きなだけは無理やけど
19:11	あすか 11/19 8/11	たのしみ
19:11	あすか 11/19 8/11	[写真]
19:11	あすか 11/19 8/11	[写真]
19:12	あすか 11/19 8/11	作って冷凍してたハンバーグと
19:13	あすか 11/19 8/11	"トマト、ブロッコリー
人参とじゃがいものきんぴら風
玉ねぎと小松菜としめじの味噌汁"
19:13	ゆうげん	豪華やな
19:13	ゆうげん	俺は今から帰る
19:14	あすか 11/19 8/11	挽き肉料理ってナギも食べやすいし冷凍で置いときやすい
19:14	あすか 11/19 8/11	毎日してたら料理って疲れるね
19:14	あすか 11/19 8/11	お疲れ様です
19:15	ゆうげん	義務化したらなんでもしんどいね
19:17	あすか 11/19 8/11	嫌いじゃないし寧ろ好きやねんけど
19:17	あすか 11/19 8/11	でも毎日してると疲れはするし今日も全然手抜き
19:18	あすか 11/19 8/11	豪華に見えるけどハンバーグは冷凍して置いてたやつやし
19:18	あすか 11/19 8/11	カレー食べたいなー
19:18	あすか 11/19 8/11	家で作るカレー
19:19	あすか 11/19 8/11	レトルトじゃなくて
19:19	ゆうげん	粉からか
19:21	あすか 11/19 8/11	いや、ルーは固形のでいいんやけど
19:22	あすか 11/19 8/11	カレーってそもそもホンマにたまーーーーしか作らんし
19:22	あすか 11/19 8/11	大人のカレーってナギとふたりやと作らんからさ
19:22	あすか 11/19 8/11	お盆に食べたシーフードカレーとか美味しかった、久々すぎて
19:24	ゆうげん	あ
19:25	ゆうげん	スタバ行こ
19:25	あすか 11/19 8/11	うわぁぁ
19:25	あすか 11/19 8/11	いいなぁぁ
19:25	あすか 11/19 8/11	うわぁぁ
19:25	ゆうげん	"帰り道にあるのよね
アキバ"
19:25	あすか 11/19 8/11	私も飲みた
19:26	あすか 11/19 8/11	帰り道で帰っていけるん？
19:26	あすか 11/19 8/11	飲みながら帰るん？
19:26	ゆうげん	売り切れてませんように
19:26	ゆうげん	その辺に止まって飲む
19:27	あすか 11/19 8/11	手洗いうがい忘れずね
19:27	ゆうげん	うい
19:27	あすか 11/19 8/11	周りの人の多さとか気をつけてね
19:27	あすか 11/19 8/11	売り切れてますように(笑)
19:28	ゆうげん	そこは優しさもと
19:29	あすか 11/19 8/11	持ってるよ
19:29	あすか 11/19 8/11	本心じゃねーよ
19:30	あすか 11/19 8/11	でも私も飲みたいから羨ましい
19:30	あすか 11/19 8/11	もう売り切れてそう、残り数日やし…
19:31	ゆうげん	ありましたわ
19:31	ゆうげん	さすがアキバ
19:31	ゆうげん	意外と残ってそう
19:31	あすか 11/19 8/11	いいな
19:33	ゆうげん	[写真]
19:33	あすか 11/19 8/11	私が行ける頃なくなってる気しかせん
19:33	あすか 11/19 8/11	手洗いうがいしたん？
19:33	ゆうげん	アルコール除菌した
19:33	あすか 11/19 8/11	うがい
19:33	ゆうげん	トイレでしてくるわ
19:33	あすか 11/19 8/11	ほんまかな
19:35	ゆうげん	ほんまほんま
19:35	ゆうげん	"美味しいけど
ちんすこうの方が好きやった"
19:35	あすか 11/19 8/11	ちんすこうも逃したし
19:36	あすか 11/19 8/11	今回のも逃す気するし
19:36	ゆうげん	うむ
19:36	あすか 11/19 8/11	発狂
19:36	あすか 11/19 8/11	なんやうむって
19:36	ゆうげん	今週いっといで
19:36	あすか 11/19 8/11	いけるかわかんね
19:36	あすか 11/19 8/11	やしもう終わる日にち近いから
19:37	あすか 11/19 8/11	期待せんとこ
19:53	あすか 11/19 8/11	スタバタイムに私を放置すな
19:53	あすか 11/19 8/11	[スタンプ]
19:53	ゆうげん	怒らんとって
19:53	あすか 11/19 8/11	[スタンプ]
19:53	あすか 11/19 8/11	[スタンプ]
19:54	あすか 11/19 8/11	仲良くしてくれてるインスタのママ友にプチミグの服買って貰えたよーデートしよーて言いたくてストーリーあげたら
19:54	あすか 11/19 8/11	[写真]
19:55	あすか 11/19 8/11	プチミグからDMきてた
19:55	あすか 11/19 8/11	[写真]
19:56	あすか 11/19 8/11	可愛い🥹
19:57	ゆうげん	可愛いね
19:59	あすか 11/19 8/11	うんかわいい
20:00	ゆうげん	早く着たいね
22:29	ゆうげん	[写真]
22:29	ゆうげん	頭痛いんやが
22:30	ゆうげん	27万て
22:34	ゆうげん	"変更可	08/02	ＡＰ／セブンイレブンカメイドシヨウ	460	
変更可	08/02	ＡＰ／イオン　マイバスケツト　新川２丁目	416	
変更可	08/03	ＺＯＺＯＴＯＷＮ	39,998	
変更可	08/03	ＡＰ／バースデイ	8,593	
変更可	08/03	ＡＰ／ＴＳＵＴＡＹＡＢＯＯＫＳＴＯＲＥ亀	1,329	
変更可	08/03	ＡＰ／デイリーカナート・スーパーはやし	5,140	
変更可	08/03	ＡＰ／イオン　マイバスケツト　新川２丁目	440	
変更可	08/03	ＡＰ／イオン　マイバスケツト　新川２丁目	300	
変更可	08/04	ＡＰ／セブンイレブンコウトウカメイト	594	
変更可	08/05	ＡＰ／デイリーカナート・スーパーはやし	2,093	
変更可	08/05	ＡＰ／イオン　マイバスケツト　新川２丁目	375	
変更可	08/05	ＡＰ／イオン　マイバスケツト　新川２丁目	503	
変更可	08/06	ＡＰ／コカ・コーラ　Ｃｍｏｄｅ　自販機	160	
変更可	08/06	ＡＰ／万代松原上田店	3,901	
変更可	08/06	ＡＰ／モバイルＰＡＳＭＯチャージ	400	
変更可	08/07	ＡＰ／サーティワンアイスクリーム	710	
変更可	08/07	ＡＰ／コカ・コーラ　Ｃｍｏｄｅ　自販機	160	
変更可	08/07	ＡＰ／ローソン　マツバラミヤケニシ４チ	714	
変更可	08/07	ＡＰ／モバイルＰＡＳＭＯチャージ	400	
変更可	08/08	ＡＰ／デイリーカナート・スーパーはやし	3,005	
変更可	08/09	ＡＰ／イオン　マイバスケツト　新川２丁目	522	
変更可	08/10	ＡＰ／キリン堂　北助松店	9,255	
変更可	08/10	ＡＰ／イオン　マイバスケツト　新川２丁目	801	
変更可	08/11	ＡＰ／ＳＴＡＮＤ　ＢＹ　Ｍｉ	5,159	
変更可	08/11	ＡＰ／デイリーカナート・スーパーはやし	1,642	
変更可	08/11	ＡＰ／モバイルＰＡＳＭＯチャージ	300	
変更可	08/12	ＡＰ／モバイルＰＡＳＭＯチャージ	500	
変更可	08/13	ＡＰ／ダイソー	2,094	
変更可	08/13	ＡＰ／バースデイ	2,273	
変更可	08/13	ＡＰ／ファッションセンターしまむら	1,958	
変更可	08/13	ＡＰ／デイリーカナート・スーパーはやし	1,525	
変更可	08/13	ＡＰ／ローソン　イズミオオツモリチヨウ	2,828	
変更可	08/13	ＡＰ／デイリーカナート・スーパーはやし	170	
変更可	08/13	ＡＰ／ミニストップ　ネオパーサ浜松下り	369	
変更可	08/13	サンディ泉大津森店	1,151	
変更可	08/14	コストコ　ホールセール　ジャパン	4,840	
変更可	08/14	コストコ　ホールセール　ジャパン	4,318	
変更可	08/14	ＡＰ／堺・緑のミュージアム　ハーベストの	2,000	
変更可	08/14	ＡＰ／デイリーカナート・スーパーはやし	1,558	
変更可	08/14	ＡＰ／ららぽーと和泉	333	
変更可	08/15	ソフトバンクＭ（０７月分）	4,249	
変更可	08/15	ハローストレージ	13,250	
変更可	08/15	ＡＰ／ＷＦＫ天保山マーケットプレース	579	
変更可	08/15	ＡＰ／万代泉大津条南店	1,552	
変更可	08/15	ＡＰ／天保山マーケットプレース	1,270	
変更可	08/15	ＡＰ／フアミリーマートサカイオオバデ	982	
変更可	08/15	チケット販売Ｗｅｂｋｅｔ	4,800	
変更可	08/15	コスモ石油	8,749	
変更可	08/16	ＡＰ／万代泉大津条南店	1,922	
変更可	08/16	サンディ泉大津森店	587	
変更可	08/17	ＡＰ／セブンイレブンメイシンコウソク	473	
変更可	08/17	ＡＰ／モバイルＰＡＳＭＯチャージ	800	
変更可	08/18	ＡＰ／キリン堂　北助松店	2,002	
変更可	08/18	ＡＰ／デイリーカナート・スーパーはやし	5,589	
変更可	08/18	ＡＰ／モバイルＰＡＳＭＯチャージ	1,000	
変更可	08/18	ＡＰ／モバイルＰＡＳＭＯチャージ	600	
変更可	08/20	ＡＰ／セブンイレブンオオジマエキマ	151	
変更可	08/20	ＡＰ／ｓａｌｏｎ　ａｎ　ａｒｏｉｒ	22,440	
変更可	08/20	ＡＰ／ＳＱ＊ＦＯＲＭ　ＦＯＬＬＯＷＳ　Ｆ	8,900	
変更可	08/20	ＡＰ／ピーコックストア大島	333	
変更可	08/20	ＡＰ／モバイルＰＡＳＭＯチャージ	600	
変更可	08/21	ＡＰ／キリン堂　北助松店	1,644	
変更可	08/21	ＡＰ／私立珈琲小学校	1,616	
変更可	08/21	ＡＰ／イオン　マイバスケツト　新川２丁目	205	
変更可	08/22	ＰＬＡＹＳＴＡＴＩＯＮ　ＮＥＴＷＯＲ	850	
変更可	08/23	ニンテンドーＥショップ	306	
変更可	08/23	ＡＰ／セブンイレブンカメイドシヨウ	1,073	
変更可	08/23	ＡＰ／バースデイ	3,969	
変更可	08/23	ＡＰ／デイリーカナート・スーパーはやし	4,359	
変更可	08/24	ＡＰ／イオン　マイバスケツト　新川２丁目	300	
変更可	08/24	ＡＰ／イオン　マイバスケツト　新川２丁目	181	
変更可	08/25	ＡＤＯＢＥ　ＰＨＯＴＯＧＰＨＹ　ＰＬＡＮ	1,078	
変更可	08/25	ＡＰ／キリン堂　北助松店	3,023	
変更可	08/25	ＪＡＭＪＡＭ　ライナー	7,000	
変更可	08/26	ＡＰ／フアミリーマートキシワダミタチヨ	1,035	
変更可	08/26	ＡＰ／デイリーヤマザキ	272	
変更可	08/26	ＡＰ／モバイルＰＡＳＭＯチャージ	500	
変更可	08/27	ＡＰ／キリン堂　北助松店	1,100	
変更可	08/27	ＡＰ／キリン堂　北助松店	159	
変更可	08/27	ＡＰ／ローソン　イズミオオツチハラチヨ	830	
変更可	08/27	ＡＰ／デイリーカナート・スーパーはやし	3,386	
変更可	08/28	ＡＰ／フアミリーマートイズミオオツキタ	429	
変更可	08/28	ＡＰ／幸せのパンケーキ淡路島テラス店	3,390	
変更可	08/29	ジャムおじさんのパン工場　神戸店	1,830	
変更可	08/29	ＡＰ／ｉＤ／アンパンマンテラス神戸	2,420	
変更可	08/29	神戸アンパンマンこどもミュージアム＆モー	6,600	
変更可	08/29	スターフライヤー　インターネット	11,610	
変更可	08/29	ＡＰ／ｕｍｉｅ　ＭＯＳＡＩＣ	3,938	
変更可	08/29	ＡＰ／ｕｍｉｅ　ＭＯＳＡＩＣ	310	
変更可	08/29	ＡＰ／ｕｍｉｅ　ＭＯＳＡＩＣ	550	
変更可	08/29	グランシヤリオ	8,083	
変更可	08/29	ＡＰ／出光興産ＳＳ	3,000	
変更可	08/30	ＡＰ／関西国際空港　ＡＮＡ	183	
変更可	08/30	ＡＰ／モバイルＰＡＳＭＯチャージ	600	
変更可	08/30	ＡＰ／モバイルＰＡＳＭＯチャージ	500	
変更可	08/31	ＡＰ／イオン　マイバスケツト　新川２丁目	457	
変更可	08/31	ＡＰ／イオン　マイバスケツト　新川２丁目	"
22:35	ゆうげん	神戸旅行で30121
22:37	ゆうげん	俺の移動で19710(旅費で結果9000+)
22:37	ゆうげん	ZOZOで40000
22:38	ゆうげん	松原訪問で5000
22:39	ゆうげん	コストコハーベスト海遊館で25000
22:39	ゆうげん	俺の倉庫代で13000
22:40	ゆうげん	2人の髪の毛で30000
22:41	ゆうげん	ばーすでい16800
22:44	ゆうげん	デイリーカナート28300
22:45	ゆうげん	キリン堂17000
22:46	ゆうげん	今回の旅行など全部で97000
22:47	ゆうげん	倉庫とZOZOで43000
22:47	ゆうげん	髪の毛30000
22:47	ゆうげん	食費＆消耗品62100
22:48	ゆうげん	あとは細々雑費で38000か
22:49	ゆうげん	☎ 通話に応答がありませんでした
22:50	ゆうげん	☎ 通話に応答がありませんでした
22:52	ゆうげん	"旅行とZOZOで137000削れる
髪の毛は1/2で15000削れて152000

だから毎月大体12万は必須でかかるか

倉庫代は家たったら無くなるから10マンか"
22:53	ゆうげん	"俺の手取りが今28くらいやから
18は残るはず

今月はもぬけの殻やけど"
23:06	ゆうげん	"110000
62100
30000

200000"
23:08	ゆうげん	"232000
36000
268000"
23:08	ゆうげん	68000
23:08	ゆうげん	40000
23:08	ゆうげん	25000
23:21	ゆうげん	☎ 通話時間 26:19

2022/09/15(木)
08:10	ゆうげん	おはよう
09:49	あすか 11/19 8/11	おはよう
10:31	ゆうげん	"『編み物道具とか服とかお菓子とか、好きな物買ってください』

[メルカリ] ゆうげんさんからお金 (メルペイ残高) ・ポイントの受取依頼があります。下記のURLより確認してください。新規会員登録時に招待コード【UMAADF】を入力で必ずP500プレゼント！
https://pay.merpay.com/receive/?token=c6387367-2ea6-4624-8af2-ad9aeda9665b"
13:37	あすか 11/19 8/11	ありがとうございます
13:57	ゆうげん	俺ももうちょい頑張るわ
14:01	ゆうげん	"ハトムギの化粧水と乳液
歯磨き粉送るわ"
14:07	あすか 11/19 8/11	ありがと
