/11	ボサボサ頭で食パン頬張る梛人
12:55	あすか 11/19 8/11	今日も悪ガキやけどがんばふ
12:55	ゆうげん	可愛い
12:55	ゆうげん	お菓子とか
12:55	ゆうげん	明日届くよ
12:59	あすか 11/19 8/11	着替えとか笑って逃げていく😇
12:59	あすか 11/19 8/11	ありがと
13:24	ゆうげん	21日
13:24	ゆうげん	休み取ったよ
13:24	ゆうげん	バタバタしちゃうかもやけど
13:25	ゆうげん	せっかく会えるんやから
13:25	ゆうげん	ぎゅーしよね
16:46	あすか 11/19 8/11	お休みありがと！
16:48	あすか 11/19 8/11	いつも危ないことばっかしてる梛ついに目の横怪我した
16:48	ゆうげん	どしたん
16:48	あすか 11/19 8/11	[写真]
16:48	あすか 11/19 8/11	[写真]
16:48	あすか 11/19 8/11	[写真]
16:48	ゆうげん	どこ売ったん
16:48	ゆうげん	うわ
16:48	ゆうげん	思ったより酷い
16:49	ゆうげん	内出血してるやん
16:49	ゆうげん	どこで怪我したん?
16:58	あすか 11/19 8/11	[写真]
16:58	あすか 11/19 8/11	説明むずいけど
16:59	あすか 11/19 8/11	緑のところ立ってて前に倒れきてピンクのところで打った感じかな
16:59	ゆうげん	危ないよな
16:59	ゆうげん	そこら辺
16:59	ゆうげん	ガラスのテーブルもあるし
16:59	ゆうげん	初めての怪我ちゃう?
16:59	ゆうげん	大きめな
17:00	あすか 11/19 8/11	"でも全て梛仕様は無理やし
みとかなしゃーない"
17:00	あすか 11/19 8/11	火傷はしたけどね
17:00	ゆうげん	心配やわ
17:00	ゆうげん	治る怪我ならいいけど
17:01	あすか 11/19 8/11	"見てても間に合わんとか
どっかで行けると思って
目離してたら…とか"
17:01	あすか 11/19 8/11	どこに居たって怪我は防げん時は防げん
17:01	あすか 11/19 8/11	"今回も同じ空間に居たけど
ちゃんと見てなかったから私も"
17:02	あすか 11/19 8/11	だからできるだけ放っておいても大丈夫なような環境にしたいけどきっとマイホームも完全にそうはできないし
17:03	あすか 11/19 8/11	保育園だってめっちゃ考えて部屋の配置もするけど、それでも予想外に子どもの怪我って起こるから。。
17:24	ゆうげん	ヘッドギア買うか
18:33	ゆうげん	まま
18:33	ゆうげん	今日のお疲れ様やで
19:00	あすか 11/19 8/11	ヘッドギアて（笑）
19:00	あすか 11/19 8/11	お疲れ様
19:10	ゆうげん	最近
19:10	ゆうげん	筋肉痛すごい
19:10	ゆうげん	揉んでほしい
19:15	あすか 11/19 8/11	なんか運動してるの？
19:35	ゆうげん	いや
19:35	ゆうげん	寝る時の姿勢とか
19:35	ゆうげん	仕事の時の姿勢
19:35	ゆうげん	ビーズクッションがやばい
20:36	あすか 11/19 8/11	あー
20:36	あすか 11/19 8/11	ビーズクッションずっと使ってたら体に来るよね
20:50	ゆうげん	良くない
20:50	ゆうげん	あれ
21:12	あすか 11/19 8/11	"私はたまにしか使わんから
わからんけど良くないみたいやね"
23:45	ゆうげん	ねてた
23:45	ゆうげん	[スタンプ]

2022/02/17(木)
00:45	あすか 11/19 8/11	私も寝てた
00:47	ゆうげん	まま
00:47	ゆうげん	お疲れ様
00:47	ゆうげん	よしよし
00:47	ゆうげん	[スタンプ]
07:44	あすか 11/19 8/11	おはよう
08:53	あすか 11/19 8/11	ゆー君起きてるんかな
08:53	ゆうげん	ぎりでおきた
08:54	あすか 11/19 8/11	そかそか、よかったです
08:59	ゆうげん	ねむいよーーー
09:02	あすか 11/19 8/11	"変な時間に寝ちゃって
夜寝るの遅くなったっぽいね"
09:18	ゆうげん	それと
09:19	ゆうげん	首周り痛くて
09:19	ゆうげん	寝付けない
09:39	あすか 11/19 8/11	"ちゃんと布団で寝るとか
枕変えるとかなんかしなきゃやね"
09:48	ゆうげん	枕変えるかなぁ
10:11	あすか 11/19 8/11	睡眠大事やからちゃんとしなきゃね枕も
10:11	あすか 11/19 8/11	あとはうつ伏せでスマホとかパソコンしてるのもよくないみたいよ
10:11	あすか 11/19 8/11	荷物届いたありがとう
10:11	あすか 11/19 8/11	お菓子とかの種類偏りすぎててわろた
10:12	ゆうげん	絶賛うつ伏せPC
10:12	ゆうげん	"野菜せんべいとお米ボール
以上"
10:12	あすか 11/19 8/11	ね，ゆー君よくその体勢でパソコンスマホしてるよね
10:12	あすか 11/19 8/11	[写真]
10:12	あすか 11/19 8/11	早速
10:13	ゆうげん	"ママのスープもいれてるよ

あと化粧品ちょいと
スキマのキーケース"
10:13	あすか 11/19 8/11	いつもあんまりおやつ偏らんようにあげてたからどのみち買い足しに行くことになりますがご了承くださいぃ
10:13	ゆうげん	[スタンプ]
10:13	あすか 11/19 8/11	"スープありがたい！
美容液とかもありがたい"
10:14	あすか 11/19 8/11	キーケースみた！いいね
10:14	あすか 11/19 8/11	いつから使うか悩む
10:14	あすか 11/19 8/11	靴も入ってたね梛の
10:14	ゆうげん	"まあ好きなタイミングで
そそかなり前に買ったやつ"
10:15	あすか 11/19 8/11	まつげ育てたかったから嬉しい
10:15	ゆうげん	またなんか送りますぅ
10:17	あすか 11/19 8/11	ありがとうございます
10:17	あすか 11/19 8/11	あ、そうそう
10:17	ゆうげん	[スタンプ]
10:18	あすか 11/19 8/11	メイク落としとコットンとアイブロウと梛のボディー&シャンプー
10:18	あすか 11/19 8/11	もう無くなるので買います
10:19	あすか 11/19 8/11	"そしてまた梛のご飯ストック
なくなってきたので
今日か明日には買い物
行きます"
10:24	ゆうげん	[スタンプ]
10:26	ゆうげん	化粧落とし何使ってる？
10:33	ゆうげん	あとナギのシャンプーとかも
12:18	あすか 11/19 8/11	梛の水と別の種類のおやつと梛のパスタの麺とか買いに行こうと思ってバースデー行ったらバースデー閉まってた
12:18	あすか 11/19 8/11	定休日とかないはずなのにぃぃ
12:18	あすか 11/19 8/11	[写真]
12:18	あすか 11/19 8/11	[写真]
12:19	あすか 11/19 8/11	私が使ってるメイク落としは基本1枚目！で、使うマスカラによったら1枚目のやつでは落ちひんから2枚目のも使ってる
12:19	あすか 11/19 8/11	今回底尽きたのは2枚目
12:19	あすか 11/19 8/11	[写真]
12:19	あすか 11/19 8/11	梛が使ってるのはこれ
12:24	ゆうげん	[スタンプ]
12:24	ゆうげん	おけけ
12:32	あすか 11/19 8/11	ひなのさんがコロナになったって
12:32	ゆうげん	あらま
12:33	ゆうげん	症状大丈夫なん?
12:34	あすか 11/19 8/11	あーりからは何も聞けてないから詳しくはわからんけど
12:35	あすか 11/19 8/11	熱と喉
12:35	あすか 11/19 8/11	やって
12:36	あすか 11/19 8/11	私と母と梛はマスクなしで11日に会ってる，バレンタイン渡し合うためにお呼ばれして
12:37	あすか 11/19 8/11	今のオミクロンは平均3日くらい？で発症するてきくけど
12:38	あすか 11/19 8/11	私らこの状態でゆー君と会っていけるんかなーていう心配だけしてる
12:39	あすか 11/19 8/11	私とか梛が持ってても無症状やったらね、、
12:39	ゆうげん	うーん
12:39	ゆうげん	まあしゃあない
12:39	ゆうげん	タイミングの問題やから
12:39	ゆうげん	今回はこのまま行こう
12:39	あすか 11/19 8/11	まぁしゃーないで済む話じゃないんやけどねぇ
12:40	あすか 11/19 8/11	避けれるもんは避けとかんとね
12:41	あすか 11/19 8/11	まぁとりあえず会ってから6日経ってるし今は何もないからゆー君とやることだけやってマスクは外さんようにとか気をつけれるとこは気をつけなあかんな
12:48	ゆうげん	せやな
12:48	ゆうげん	きをつけよう
15:34	あすか 11/19 8/11	[写真]
15:34	あすか 11/19 8/11	今日の朝
15:34	ゆうげん	なんかシュール
15:35	ゆうげん	目大丈夫そう?
15:35	あすか 11/19 8/11	"パッとみたらウッディーと
ブランコの下でねんねーってしてた"
15:35	あすか 11/19 8/11	[写真]
15:35	あすか 11/19 8/11	あおいはあおいけど
15:35	あすか 11/19 8/11	大丈夫やと思う
15:36	あすか 11/19 8/11	鼻の下きたな
15:36	ゆうげん	痛いとかナギがあんまり感じてないんやったら
15:36	ゆうげん	いいんやけどな
15:36	ゆうげん	ねんねがなんか
15:36	ゆうげん	お兄ちゃん感
15:37	ゆうげん	ナギの足
15:37	ゆうげん	ままに似てる
15:37	あすか 11/19 8/11	"顔洗う時も保湿する時も
特に痛がる様子はなかったし
視線も合う"
15:37	ゆうげん	スリスリしてる感じ
15:37	あすか 11/19 8/11	指曲がってるな笑
15:38	ゆうげん	ね
15:38	ゆうげん	そっくり
15:39	ゆうげん	ママは体調大丈夫?
15:45	あすか 11/19 8/11	うん大丈夫
15:48	ゆうげん	少しでも違和感感じたら
15:48	ゆうげん	すぐ言ってな
15:48	あすか 11/19 8/11	いえす
15:49	あすか 11/19 8/11	"ひなは熱あるけど
食欲もあるし元気ってさ"
15:49	ゆうげん	若い子は軽症なこと多いからな
15:49	ゆうげん	どっちかと言うと上に移すのがまずい
15:50	あすか 11/19 8/11	じぃとばぁは多分3回目まで打ってるとは思うけど
15:51	あすか 11/19 8/11	まぁでもコロナって自分自身もあるけどひならとかやったら親とかも精神的に疲れるって言うのはあると思うから
15:51	あすか 11/19 8/11	心配やね
15:51	ゆうげん	しかも
15:51	ゆうげん	コロナに結構敏感やろうしね
15:52	あすか 11/19 8/11	"まぁうちの母とかよりは
あーりらの方が楽観的ではある"
16:00	ゆうげん	"棚橋母はこのコロナは寛容で
俺がコロナになったら"
16:00	ゆうげん	めっちゃ偉い扱いされそう
17:09	あすか 11/19 8/11	いやぁ、誰がなっても精神的にしんどくなるよ母は
17:10	あすか 11/19 8/11	"私も似てるとこあるけど、
母も必要以上に自分のこと追い込むとこあるからねぇ"
17:10	あすか 11/19 8/11	"別にゆー君そのものを
心の底から軽蔑してるわけではないしね"
17:11	あすか 11/19 8/11	[写真]
17:11	あすか 11/19 8/11	この部屋やばい（笑）
17:12	あすか 11/19 8/11	家建つ前にちゃんといらんもん捨ててもう一回箱に詰めなきゃ
17:12	ゆうげん	おえ
17:12	ゆうげん	すごいことになってる
17:12	ゆうげん	ダンボール
17:12	ゆうげん	潰れないようにしてな
17:12	ゆうげん	服潰れる
17:12	あすか 11/19 8/11	開けてるものを上に持ってきてて
17:13	ゆうげん	ちょっとおれ
17:13	あすか 11/19 8/11	下の大事なものは無事
17:13	ゆうげん	21にそこだけ整理させて
17:13	あすか 11/19 8/11	んー、、時間もないやろうしやるよ私が
17:13	ゆうげん	いや
17:13	ゆうげん	俺がやる
17:13	ゆうげん	どこに何入ってるか
17:13	ゆうげん	だいたいわかるから
17:14	ゆうげん	あと防虫グッズ持ってくわ
17:14	あすか 11/19 8/11	いや
17:14	あすか 11/19 8/11	もう
17:14	ゆうげん	置いとかないと
17:14	あすか 11/19 8/11	色々めんどいことなるから
17:14	ゆうげん	いや
17:15	ゆうげん	そんな気を使うより服の方が大事
17:15	あすか 11/19 8/11	あーもうほんまにお願いやから
17:15	あすか 11/19 8/11	気遣うとかじゃなくて
17:15	あすか 11/19 8/11	お願い
17:15	ゆうげん	これで傷んだら嫌やん
17:15	あすか 11/19 8/11	大事なものは無事やから
17:16	あすか 11/19 8/11	"上のはぐちゃってるけど
ゆーくん関係ないものやし"
17:16	あすか 11/19 8/11	大事なのは無事
17:17	ゆうげん	うーん
17:17	ゆうげん	早く家立たんかな
17:17	あすか 11/19 8/11	それは色んな意味で私も思ってるよ
17:17	ゆうげん	いちいちこういうの気にすんのもめんどい
17:19	あすか 11/19 8/11	まぁただ一つ言っておくけど，どれだけ大事なものでもお金かかるものでも、ダメにされる時はされる。気をつけてても予想外のことは起こる。
17:19	あすか 11/19 8/11	だからマイホームになったからと言って
17:19	あすか 11/19 8/11	安心はしないでほしいとこはある
17:19	ゆうげん	"いや
こんな保管方法でダメになんのは論外"
17:20	あすか 11/19 8/11	でもほんまに触ってないしさ
17:20	あすか 11/19 8/11	このエリアも私と梛以外ほっっっとんどはいらんし
17:20	あすか 11/19 8/11	いるもの探すために上の段ボールはぐちゃってるけど
17:21	ゆうげん	"触ってないというか
しっかり敷きつめて
積むのは5弾くらいまでとか
大きさ合わせてらもっとコンパクトにしまえるのに"
17:21	あすか 11/19 8/11	開いてない段ボールがほとんどやし
17:21	ゆうげん	いやダンボールって虫湧きやすいから
17:21	ゆうげん	とりあえず防虫グッズだけ置かせて欲しい
17:21	あすか 11/19 8/11	こっちもそんな時間余裕あるわけちゃうし亮介の部屋だっていつでもいれてもらえるわけじゃないから
17:23	あすか 11/19 8/11	亮介に時間もらって夜でも片付けるから今はとりあえずもうやめておこ
17:23	ゆうげん	嫌だから
17:23	あすか 11/19 8/11	家入れる許可とるやりとりももうしたくないのよ
17:23	ゆうげん	防虫グッズだけ置かせて
17:23	あすか 11/19 8/11	それもやっとくから
17:23	ゆうげん	もしくは渡すから置いて
17:24	あすか 11/19 8/11	うん、おいとく
17:24	あすか 11/19 8/11	あ、LINEやから感情伝わりにくいやろうけど怒ってないからね
17:24	あすか 11/19 8/11	ゆー君に対してイライラとかしてないからね
17:24	ゆうげん	"いや
そこは大丈夫"
17:24	あすか 11/19 8/11	私はもう今母とめんどくさいやり取りをするのを避けてるだけ
17:24	ゆうげん	とにかくそういう杜撰な管理が嫌なだけ
17:25	あすか 11/19 8/11	うん、それならよかった
17:25	あすか 11/19 8/11	なんて読むかわからん
17:25	ゆうげん	ずさん
17:25	ゆうげん	"あと
そろそろ春になるから

すぐ使える春服送るわ
数枚"
17:25	あすか 11/19 8/11	あとさ、嬉しいのは嬉しいけど私にあんまり高価なものばっかり与えないでね
17:26	ゆうげん	"俺が管理するようになったら大丈夫やから
安心して"
17:27	あすか 11/19 8/11	"食器もその一つやけど、
子育てしててどれもいつでも
完璧に管理するのは厳しいから"
17:27	ゆうげん	"いや
家たったらある程度俺が管理メンテするから大丈夫"
17:28	あすか 11/19 8/11	"床もその一つ。
無垢材が素敵に見えるのは
わかるけど、味とか言うレベル越すと思うから"
17:28	あすか 11/19 8/11	でもそれはゆー君が毎日家に居れたらの話で
17:28	あすか 11/19 8/11	基本的に管理するのは私になってしまう部分はどうしても出てくるから
17:28	あすか 11/19 8/11	もちろん
17:29	あすか 11/19 8/11	マイホームになったら色々ちゃんときれいにしたいし
17:29	あすか 11/19 8/11	全部リセットしてから寝たいとかはちゃんと思ってる
17:29	ゆうげん	"いや
ちゃんとTPOで使い分けるよ

とりあえずは生活のしやすさやろうし"
17:30	あすか 11/19 8/11	良い服も着れる機会いつくるか心配（笑）
17:31	あすか 11/19 8/11	やっぱ子どもいると何があるかわからんし何かの拍子に汚れたとかで喧嘩したくない
17:31	ゆうげん	まあそこは大丈夫
17:31	ゆうげん	だいたいクリーニングで何とかなる
17:33	あすか 11/19 8/11	それならいいけど
17:34	ゆうげん	そんなデリケートすぎる服はママのはないから大丈夫よ
17:34	あすか 11/19 8/11	パパも家族でお出かけでおしゃれは嬉しいけど汚れる可能性があったりするのは配慮してね
17:36	ゆうげん	"アウトドアならそういう格好するし
都会に出るとか見栄張る時以外はユニクロ着るから"
17:36	ゆうげん	大丈夫
17:37	あすか 11/19 8/11	めっちゃ話変わるけど
17:37	あすか 11/19 8/11	[写真]
17:37	あすか 11/19 8/11	髪の毛
17:37	あすか 11/19 8/11	笑笑
17:37	ゆうげん	長いな
17:37	ゆうげん	サイド
17:37	あすか 11/19 8/11	今気づいた
17:37	あすか 11/19 8/11	いつこんなクセついたんやろ
17:38	ゆうげん	ナギの髪の毛は軟毛やな
17:38	ゆうげん	いまは
17:38	ゆうげん	そして結構生えてきた
17:39	あすか 11/19 8/11	サイドが伸びてる結構
17:39	あすか 11/19 8/11	髪質今は亮介みたいな感じよね
17:39	あすか 11/19 8/11	ゆー君はかたいっけ？
17:40	ゆうげん	"軟毛
くせ毛
散り毛"
17:46	あすか 11/19 8/11	ゆー君は硬いんではないんか
17:46	あすか 11/19 8/11	なぎどうなるやろね
18:03	ゆうげん	かっこいいくせ毛になって欲しい
18:04	ゆうげん	[写真]
18:04	ゆうげん	これいいやん
18:10	あすか 11/19 8/11	小さいうちはこういう髪型かわいいよね
18:10	ゆうげん	前髪は眉に被るくらいの
18:10	ゆうげん	長さがいいな
18:10	あすか 11/19 8/11	ぱっつん可愛い
18:10	あすか 11/19 8/11	[写真]
18:10	あすか 11/19 8/11	[写真]
18:10	あすか 11/19 8/11	[動画]
18:10	ゆうげん	俺がこれしたらキノコ
18:10	あすか 11/19 8/11	靴履かせてみた
18:10	あすか 11/19 8/11	大人はなんか違うーてなる（笑）きのこ
18:11	ゆうげん	いいやん
18:11	ゆうげん	アースカラーの差し色になるし
18:11	ゆうげん	便利よ
18:12	あすか 11/19 8/11	脱がせたらもう1回履くって
18:12	あすか 11/19 8/11	家で靴履くことないから
18:12	あすか 11/19 8/11	楽しいんかな
18:12	あすか 11/19 8/11	（笑）
18:12	ゆうげん	似合ってるで
18:41	あすか 11/19 8/11	もしいけそうなら
18:42	あすか 11/19 8/11	久々に梛のご飯風景みてあげて〜
18:42	あすか 11/19 8/11	今食べてる
19:44	ゆうげん	☎ 通話時間 52:21
21:09	あすか 11/19 8/11	上あがってきた
21:10	あすか 11/19 8/11	早速悪さしてる
21:10	あすか 11/19 8/11	[動画]
21:13	ゆうげん	あれぇーーー
21:44	あすか 11/19 8/11	寝たーー
21:44	ゆうげん	お疲れ様
22:00	あすか 11/19 8/11	色々落ち着いてる？
22:04	ゆうげん	落ち着いてるよ
22:25	あすか 11/19 8/11	起きてる？
22:25	ゆうげん	起きてるで
22:25	ゆうげん	ゆで卵作ってた
22:26	あすか 11/19 8/11	ゆで卵（笑）
22:26	ゆうげん	ちょいなってな
22:26	あすか 11/19 8/11	はーい
22:30	ゆうげん	おけ
22:49	あすか 11/19 8/11	[写真]
23:03	ゆうげん	https://kanademono.design/collections/shelf-tv-board
23:06	あすか 11/19 8/11	[写真]
23:08	あすか 11/19 8/11	[写真]
23:08	あすか 11/19 8/11	[写真]
23:09	あすか 11/19 8/11	[写真]
23:14	あすか 11/19 8/11	[写真]
23:15	あすか 11/19 8/11	[写真]
23:16	あすか 11/19 8/11	[写真]
23:17	あすか 11/19 8/11	[写真]
23:45	あすか 11/19 8/11	☎ 通話時間 59:16

2022/02/18(金)
01:02	あすか 11/19 8/11	☎ 通話時間 1:07:41
01:12	ゆうげん	ゆっくりねーな
01:48	あすか 11/19 8/11	ありがと
01:48	あすか 11/19 8/11	ゆーゆーも早く寝てね
08:54	ゆうげん	おはようさん
09:30	あすか 11/19 8/11	おはよう
09:30	あすか 11/19 8/11	お仕事間に合った？
09:30	ゆうげん	大丈夫よー
09:34	あすか 11/19 8/11	よかったです
10:43	ゆうげん	今日は寝方工夫したから
10:43	ゆうげん	筋肉痛ない
12:33	ゆうげん	きょうのよる
12:33	ゆうげん	洗面台と
12:33	ゆうげん	トイレ
12:33	ゆうげん	話し合おう
16:21	あすか 11/19 8/11	"寝方もやけど普段の姿勢も
気をつけてね〜"
16:21	あすか 11/19 8/11	うん、おけ
18:11	ゆうげん	おけけ
19:24	ゆうげん	つかれましたーー
19:37	あすか 11/19 8/11	お疲れ様ーー
19:37	あすか 11/19 8/11	[動画]
19:37	あすか 11/19 8/11	[動画]
19:37	あすか 11/19 8/11	[動画]
19:37	あすか 11/19 8/11	[動画]
19:37	あすか 11/19 8/11	癒しをどうぞ。
19:48	ゆうげん	最後のめっちゃいい
20:38	あすか 11/19 8/11	かわいいでしょ
21:14	ゆうげん	可愛いね
21:15	ゆうげん	目の傷がちょっと
21:15	ゆうげん	アレやけど
21:15	ゆうげん	もうちょいで会えるよーー
22:10	あすか 11/19 8/11	目はまぁ痛々しいけど
22:10	あすか 11/19 8/11	なぎ寝たー
22:25	ゆうげん	お疲れ様
22:39	あすか 11/19 8/11	お疲れ様
22:39	ゆうげん	[写真]
22:39	ゆうげん	質問送った
22:40	あすか 11/19 8/11	ありがとう
22:41	ゆうげん	明日色々準備せにゃ
22:43	あすか 11/19 8/11	実家には連絡してるの？
22:43	ゆうげん	いうたで
22:45	あすか 11/19 8/11	"20日行くとこ気をつけて
行ってきてね
"
22:45	あすか 11/19 8/11	大阪帰ってくるのも気をつけてね
22:45	ゆうげん	もう新宿行ったその足で
22:45	ゆうげん	大阪帰ろうと思う
22:46	あすか 11/19 8/11	何時くらいやっけ
22:46	ゆうげん	たしか15:00くらいやった気が
22:46	ゆうげん	[写真]
22:54	あすか 11/19 8/11	そかそか
22:54	あすか 11/19 8/11	微妙な時間やね
22:54	あすか 11/19 8/11	お気を付けて
22:54	ゆうげん	新幹線取らな
22:55	あすか 11/19 8/11	取れるかな
22:57	ゆうげん	あとで見る！
23:00	あすか 11/19 8/11	[写真]
23:00	ゆうげん	しぇー
23:04	あすか 11/19 8/11	[写真]
23:09	あすか 11/19 8/11	[写真]
23:09	あすか 11/19 8/11	[写真]
23:09	あすか 11/19 8/11	[写真]
23:34	ゆうげん	[写真]
23:36	あすか 11/19 8/11	[写真]
23:48	ゆうげん	[写真]
23:48	ゆうげん	[写真]
23:48	ゆうげん	[写真]
23:48	ゆうげん	[写真]
23:48	ゆうげん	[写真]
23:56	ゆうげん	[写真]

2022/02/19(土)
00:01	あすか 11/19 8/11	[写真]
00:01	ゆうげん	[写真]
00:01	ゆうげん	[写真]
00:01	ゆうげん	[写真]
00:01	ゆうげん	[写真]
00:01	ゆうげん	[写真]
00:13	あすか 11/19 8/11	[写真]
00:21	あすか 11/19 8/11	[写真]
00:21	あすか 11/19 8/11	[写真]
00:22	あすか 11/19 8/11	"上の写真のようなのはあったけどどこでもできるのかは謎やしその下に木の板はめれるのかも謎やし右側はいいけど
左側はなんか変な感じになるよね"
00:22	あすか 11/19 8/11	こういう感じのもあった
00:23	ゆうげん	☎ 通話時間 1:22:23
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	ネットワーク大丈夫？
00:25	ゆうげん	?
00:25	ゆうげん	なんか
00:25	ゆうげん	わからん
00:25	ゆうげん	おもい
00:30	あすか 11/19 8/11	[写真]
00:30	あすか 11/19 8/11	[写真]
00:30	ゆうげん	[写真]
00:33	ゆうげん	[写真]
02:48	ゆうげん	☎ 通話時間 2:22:13
09:23	ゆうげん	おはよう
09:36	あすか 11/19 8/11	おはよう
10:07	ゆうげん	ねみぃ
10:37	あすか 11/19 8/11	スッキリするまでねりー
10:38	ゆうげん	☎ 通話に応答がありませんでした
11:00	あすか 11/19 8/11	☎ 通話時間 20:33
14:07	ゆうげん	新幹線取れたよ
16:14	あすか 11/19 8/11	とれたのね
16:27	ゆうげん	[スタンプ]
18:19	あすか 11/19 8/11	梛のご飯のストック作ってた
18:21	あすか 11/19 8/11	"ツナピラフ
🥦︎入り鶏ハンバーグ
シチュー
いんげんと人参の胡麻和え
鶏の照り焼き"
18:22	あすか 11/19 8/11	ひとまずこれだけ
19:12	ゆうげん	おお
19:12	ゆうげん	いいね
19:12	ゆうげん	美味しそう
20:24	あすか 11/19 8/11	"まだ途中やから
なぎ寝たらやろかな"
21:04	ゆうげん	今日1日
21:04	ゆうげん	グダった
21:04	ゆうげん	明日がんばろう
21:43	あすか 11/19 8/11	ぐだった？
21:43	あすか 11/19 8/11	明日気をつけてねほんとに
21:45	ゆうげん	気をつける
21:45	ゆうげん	[スタンプ]
21:46	あすか 11/19 8/11	[スタンプ]
21:55	ゆうげん	[スタンプ]
22:38	あすか 11/19 8/11	[スタンプ]
22:39	あすか 11/19 8/11	"追加で
蒸しかぼちゃ
ブロッコリーのおひたし
鮭とほうれん草とゴマの
混ぜごはん"
22:39	あすか 11/19 8/11	作ってきました
22:39	ゆうげん	おお
22:39	ゆうげん	お疲れ様
22:43	あすか 11/19 8/11	"これで1週間くらいは
持ってくれるかなぁぁ"
23:23	ゆうげん	行ける行ける
23:23	ゆうげん	いつもありがとうね
23:23	ゆうげん	なぎのごはん
23:24	あすか 11/19 8/11	"たまにレトルト使うけど
やっぱり手作りの方が
食べてくれるから"
23:24	あすか 11/19 8/11	頑張るしかーー
23:24	ゆうげん	ナギもママのご飯好きやからね
23:24	あすか 11/19 8/11	[写真]
23:24	あすか 11/19 8/11	[写真]
23:24	あすか 11/19 8/11	今日は前と別のカップルとやってた
23:24	あすか 11/19 8/11	かっこい
23:25	あすか 11/19 8/11	"んー、どやろ
残すときは残す（笑）"
23:25	ゆうげん	またみてんか
23:25	あすか 11/19 8/11	右半分のカップル
23:25	あすか 11/19 8/11	"美男美女やしかわいらしくて
ずっとみてられる（笑）"
23:26	ゆうげん	そういう世界もあるんやね
23:26	あすか 11/19 8/11	"カッコ良すぎるし
かわいすぎん？"
23:26	ゆうげん	加工でわからん
23:26	あすか 11/19 8/11	右におる女の子美人じゃない？かわいい
23:29	あすか 11/19 8/11	[写真]
23:29	あすか 11/19 8/11	[写真]
23:29	あすか 11/19 8/11	かわいい
23:29	ゆうげん	ママの好きそうな顔
23:29	あすか 11/19 8/11	[写真]
23:29	あすか 11/19 8/11	[写真]
23:29	あすか 11/19 8/11	[写真]
23:29	あすか 11/19 8/11	[写真]
23:29	ゆうげん	たぬき顔好きよね
23:29	あすか 11/19 8/11	美男美女だぁぁ
23:30	あすか 11/19 8/11	たぬき顔？？？
23:30	ゆうげん	系統
23:30	あすか 11/19 8/11	たぬき顔っていう系統があるのか
23:30	あすか 11/19 8/11	ゆなちゃんとれんくんっていうねん
23:30	あすか 11/19 8/11	マジ美男美女
23:32	あすか 11/19 8/11	[写真]
23:32	ゆうげん	今日は大人しい
23:33	あすか 11/19 8/11	いや，今はまた違う格好してる
23:34	あすか 11/19 8/11	[写真]
23:34	ゆうげん	ママそっくり
23:34	あすか 11/19 8/11	こんなグルグル動かん
23:43	ゆうげん	ママはズボンに手入れて
23:43	ゆうげん	がに股やもんな
23:45	あすか 11/19 8/11	ごめんね無防備で女性らしくなくて
23:51	ゆうげん	むしろ面白いから
23:51	ゆうげん	おっけい
23:58	あすか 11/19 8/11	[写真]
23:58	あすか 11/19 8/11	なんかこんなん出てきた
23:58	ゆうげん	ママ若い

2022/02/20(日)
00:01	あすか 11/19 8/11	ゆーゆーもな
00:01	ゆうげん	俺は
00:02	ゆうげん	渋くかっこよくなるから
00:02	あすか 11/19 8/11	なんか定期的に写真見返すけど、マジで老けた
00:02	あすか 11/19 8/11	んーー
00:02	ゆうげん	[スタンプ]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	あすか 11/19 8/11	[写真]
00:02	ゆうげん	家たったら一緒に若返ろ
00:02	あすか 11/19 8/11	こんな感じの若いゆーゆーかっこいいよ
00:02	ゆうげん	わけーな
00:03	あすか 11/19 8/11	うん、若いよねーー
00:03	ゆうげん	やっぱ苦労してんだな
00:03	ゆうげん	お互い
00:03	あすか 11/19 8/11	親になると一気に老けるよね
00:11	ゆうげん	でも
00:11	ゆうげん	一緒に暮らしたら
00:11	ゆうげん	また若返るさ
00:12	あすか 11/19 8/11	[写真]
00:12	あすか 11/19 8/11	[写真]
00:12	あすか 11/19 8/11	[写真]
00:12	あすか 11/19 8/11	[写真]
00:12	あすか 11/19 8/11	[写真]
00:12	あすか 11/19 8/11	[写真]
00:12	ゆうげん	お出かけいっぱいしたり
00:12	あすか 11/19 8/11	若
00:12	ゆうげん	若いけど
00:12	ゆうげん	浮腫んでる
00:12	あすか 11/19 8/11	[写真]
00:12	あすか 11/19 8/11	何これwww
00:12	ゆうげん	十八番の顔
00:12	ゆうげん	あ
00:13	ゆうげん	おはこ
00:13	ゆうげん	ね
00:13	ゆうげん	得意なって意味
00:13	あすか 11/19 8/11	十八番はわか？
00:13	あすか 11/19 8/11	る
00:13	あすか 11/19 8/11	浮腫んでるかな？
00:14	あすか 11/19 8/11	私が髪長いの懐かしすぎ
00:14	あすか 11/19 8/11	ウエディングフォト以降基本短い
00:21	あすか 11/19 8/11	[写真]
00:21	あすか 11/19 8/11	おともだち
00:21	あすか 11/19 8/11	📷
00:21	ゆうげん	懐かしい
