11/19 8/11	そうやな、キツイやろな
12:01	ゆうげん	体重買っていいよ
12:02	ゆうげん	Amazonかなんかで
12:02	あすか 11/19 8/11	次の週末はやめとく？その次の週お盆入るし
12:02	あすか 11/19 8/11	体重計そっちにあるんじゃなかった？
12:03	ゆうげん	こっちのもなんか割れた
12:03	ゆうげん	液晶が
12:03	ゆうげん	測れてるけど
12:03	ゆうげん	見えない
12:03	ゆうげん	そやなぁ
12:04	あすか 11/19 8/11	そーなんか
12:04	あすか 11/19 8/11	お盆明けの週末も週末すぐ来るからなしでその次がナギの誕生日
12:04	あすか 11/19 8/11	とか？
12:05	ゆうげん	お盆は帰るで
12:05	ゆうげん	てか木金だけなのな
12:05	ゆうげん	お盆明け
12:07	あすか 11/19 8/11	そう、お盆明け木金仕事でまた土日やからそこも帰ってくんの大変やろ
12:07	あすか 11/19 8/11	[写真]
12:07	あすか 11/19 8/11	こんな感じ？
12:07	ゆうげん	かね
12:08	ゆうげん	ちょっと今週は体調的にやめた方が言うと身体が言ってる
12:09	あすか 11/19 8/11	暑いからみんなしんどいよな、みんなやられてる
12:09	あすか 11/19 8/11	じゃあ今度はお盆やな
12:09	ゆうげん	おけ
12:09	ゆうげん	次は
12:09	あすか 11/19 8/11	それまでにおうち夏祭り準備しとく
12:09	ゆうげん	夏祭りモヤるやろうから
12:09	あすか 11/19 8/11	作り物だけ
12:09	ゆうげん	ホビル綺麗にしないと
12:09	あすか 11/19 8/11	ホビールームでやるの怖いけどな
12:10	あすか 11/19 8/11	万が一なんか零したらシミなったりしそうやし
12:10	あすか 11/19 8/11	それなら子ども部屋②を綺麗にしたい
12:10	あすか 11/19 8/11	飾ったやつそのまま置いといて友だちらともやろうかなって話も出てるし
12:12	ゆうげん	たしかに
12:12	ゆうげん	でも撮影用に
12:13	ゆうげん	一応綺麗にするわ
12:13	ゆうげん	あれ欲しい
12:13	ゆうげん	プラスチックの衣装ケース
12:13	ゆうげん	ダンボールは虫わく
12:14	あすか 11/19 8/11	コーナンとかで売ってるんちゃう、透明のケース
12:14	ゆうげん	ちょっと4つほど欲しい
12:15	ゆうげん	コーナンはあかん
12:19	あすか 11/19 8/11	じゃあわからん売ってるとこ
15:42	ゆうげん	また見に行こ
20:12	あすか 11/19 8/11	ナギの誕生日準備はあと
20:12	あすか 11/19 8/11	ガーランドとキッズカメラ
20:13	あすか 11/19 8/11	あとおやつタウンの体験の予約
20:13	あすか 11/19 8/11	かなぁ
20:13	ゆうげん	買うのは早くしないとね
20:15	あすか 11/19 8/11	うん
20:26	ゆうげん	なんか
20:26	ゆうげん	ご飯食べれない
20:27	ゆうげん	食べてると気持ち悪い
20:27	ゆうげん	うーーーーん
20:27	ゆうげん	完治せん
20:27	あすか 11/19 8/11	食べれるもん食べるしかない
20:27	あすか 11/19 8/11	水分だけとって
20:27	ゆうげん	最低でも水飲む
20:27	あすか 11/19 8/11	濃いものとか避けて
20:27	ゆうげん	アクエリ買い込んだ
20:28	あすか 11/19 8/11	ガーランドとキッズカメラはどーしたらいい
20:28	ゆうげん	"あれや
楽天で買お"
20:28	あすか 11/19 8/11	みんな暑い中同じような人多いからな、対策して乗り越えるしかない
20:28	あすか 11/19 8/11	私が？
20:29	あすか 11/19 8/11	あとアレや、お酒やめや
20:29	あすか 11/19 8/11	しんどい言うてる間ものんでたやろ
20:29	ゆうげん	俺が買うか
20:29	ゆうげん	言うてお酒も
20:29	ゆうげん	全然飲めん
20:29	あすか 11/19 8/11	ちょっともやめとき
20:29	ゆうげん	うん
20:30	あすか 11/19 8/11	頼んどいていけるん？もうそろそろ頼まんと
20:31	あすか 11/19 8/11	あとはあれやで、鼻とか喉やられてんのやったら耳鼻科いくなりしてちゃんとみてもらいや
20:31	あすか 11/19 8/11	長引くで
20:32	あすか 11/19 8/11	あと熱中症対策もちゃんとしいやまじで
20:32	ゆうげん	一応傘使ってるで
20:32	ゆうげん	ガーランド指定して
20:33	ゆうげん	どれ
20:33	あすか 11/19 8/11	傘とかじゃなくて、水分塩分補給
20:33	ゆうげん	それはもちろん
20:33	あすか 11/19 8/11	私と違って汗もかくんやし
20:33	あすか 11/19 8/11	男の人結構病院いかんけどちゃんといっときや
20:34	あすか 11/19 8/11	私もナギと2人の生活続くとキツいしナギも案外定期的にパパパパ言うてるし健康でいてもらわんと
20:35	あすか 11/19 8/11	今月はお盆もあるしナギの誕生日もあるし9月頭旅行やし
20:35	ゆうげん	案外
20:35	ゆうげん	うむ
20:36	あすか 11/19 8/11	あっさりバイバイする割には言うてる
20:36	あすか 11/19 8/11	[写真]
20:36	あすか 11/19 8/11	[写真]
20:36	あすか 11/19 8/11	これ、前言ってたやつ
20:36	あすか 11/19 8/11	ホワイトかナチュラル
20:36	ゆうげん	寂しがってくれるのは正直嬉しい
20:37	あすか 11/19 8/11	寂しがってるというか、私も遊び方とか限界あるしあーやって遊んでくれるのは嬉しいんやろ
20:40	あすか 11/19 8/11	私もまじナギと2人の生活続くときついから、今とか特に
20:40	あすか 11/19 8/11	だからちゃんと病院行くとかちゃんとご飯考えて食べるとか熱中症も感染症も気をつけるとか
20:45	あすか 11/19 8/11	https://www.eisai.jp/articles/stomach_mechanism/advice02
20:46	あすか 11/19 8/11	https://www.kracie.co.jp/kampo/kampofullife/body/?p=2639

2023/08/01(火)
06:51	ゆうげん	おはよう
06:51	ゆうげん	あの後すぐに寝ちゃった
09:47	あすか 11/19 8/11	おはよう
10:05	ゆうげん	おはよう
10:05	ゆうげん	喉の痛みも引いたよ
10:21	あすか 11/19 8/11	油断したアカンで
19:26	ゆうげん	気を付けるで
19:47	ゆうげん	プチミグ
19:47	ゆうげん	いつ発売?
20:06	あすか 11/19 8/11	[写真]
20:07	あすか 11/19 8/11	[写真]
20:07	あすか 11/19 8/11	[写真]
20:07	あすか 11/19 8/11	[写真]
20:07	あすか 11/19 8/11	[写真]
20:07	あすか 11/19 8/11	[写真]
20:07	ゆうげん	うーん
20:08	ゆうげん	長さ切るんなら
20:08	あすか 11/19 8/11	なに
20:08	ゆうげん	パッツンで良かった
20:09	あすか 11/19 8/11	癖あるからそれはむずいな
20:09	あすか 11/19 8/11	短くしてもクルクルしてるもん
20:10	あすか 11/19 8/11	首周り汗疹もできてるしスッキリさせたらな可哀想やし
20:10	ゆうげん	オシャレではない
20:10	ゆうげん	いくら?
20:11	ゆうげん	"パッツンでよかった
くせでもパッツンなら先端揃うから"
20:11	ゆうげん	切り直したい
20:11	あすか 11/19 8/11	パッツンというかマッシュみたいな感じにします？て聞かれたから
20:12	ゆうげん	マッシュでよかった
20:12	あすか 11/19 8/11	まぁそんな感じで、でも癖あるから
20:12	あすか 11/19 8/11	て言ったら癖活かせるようにってこうなった
20:12	ゆうげん	2ブロックないから
20:12	ゆうげん	後ろが全然変わんない
20:12	あすか 11/19 8/11	3歳児にお洒落は必要ないよ、夏やし暑いし
20:12	あすか 11/19 8/11	[写真]
20:12	ゆうげん	"いや
そんなんあすかしか思ってないよ"
20:12	あすか 11/19 8/11	今もう汗でこんなんやし
20:13	あすか 11/19 8/11	え、逆やでwwみんなびっくりしてたで前のゆーくんのナギの髪型の要望
20:13	ゆうげん	後ろは2ブロックにすべき
20:13	あすか 11/19 8/11	すべきとかないし刈り上げも要らん言うてたしナギも泣きながらがんばってこれやから
20:15	ゆうげん	俺がおる時にすべきやった
20:16	ゆうげん	"要望というか
切ってみて微調整すべき

ロングがムズいならパッツンカットで揃えるべき"
20:18	ゆうげん	くせがある事なんて分かりきってる年から後ろは2ブロックや
20:18	ゆうげん	で
20:18	ゆうげん	いくらや
20:22	あすか 11/19 8/11	泣きながらやったからちょっとずつちょっとずつ様子見ながら微調整したよ
20:23	あすか 11/19 8/11	刈り上げはなしって言ったやん
20:23	あすか 11/19 8/11	値段が何
20:23	ゆうげん	伸ばすならや
20:23	あすか 11/19 8/11	2500やけど
20:23	ゆうげん	長さ切るなら刈り上げや
20:23	あすか 11/19 8/11	切りすぎても変なるし癖活かしてまとまるように切ったんやって
20:24	ゆうげん	"だからまとめるために刈り上げ必須やの

短髪のくせ毛は2ブロックするから整って見えんねん

自分がそうやからわかる"
20:25	あすか 11/19 8/11	クルって後ろにまとまってるし一瞬後ろのむだ毛みたいなん剃ったときもめっちゃ嫌がってたし徐々にでいいやん
20:25	あすか 11/19 8/11	後ろ刈り上げるならまたゆーくんがやったら？
20:25	あすか 11/19 8/11	家やったら泣かんやろし
20:25	ゆうげん	いやもうその髪型で旅行やん
20:26	ゆうげん	刈り上げはムズいねん
20:26	ゆうげん	バリカン1個で簡単に出来るもんじゃない
20:27	あすか 11/19 8/11	今回のナギの様子やったらこれがベストやったよ、なぎも嫌がりながらも頑張ったんやし変にはなってない
20:28	ゆうげん	とりあえず帰ったら剃るわ
20:29	あすか 11/19 8/11	うん、もうそんな何回も美容室連れてくの可哀想
20:29	あすか 11/19 8/11	家やったら泣かんやろしやったって
20:31	ゆうげん	うん

2023/08/02(水)
23:32	あすか 11/19 8/11	[写真]
23:32	あすか 11/19 8/11	[写真]
23:32	あすか 11/19 8/11	[写真]
23:32	あすか 11/19 8/11	[写真]
23:32	あすか 11/19 8/11	[写真]
23:32	あすか 11/19 8/11	[写真]
23:32	あすか 11/19 8/11	[写真]
23:33	あすか 11/19 8/11	これどっちもレディーススニーカー23cmやんな？
23:33	あすか 11/19 8/11	それぞれいくらで出したらいい？

2023/08/03(木)
05:14	ゆうげん	おはよう
05:14	ゆうげん	寝てもうてた
05:14	ゆうげん	"25000
23000"
09:50	あすか 11/19 8/11	メルカリに書いてる内容(ニューバランスの23cm)は合ってる？
09:50	あすか 11/19 8/11	上のグレーが25000？
11:20	ゆうげん	そう
11:20	ゆうげん	あってる
11:21	あすか 11/19 8/11	出します
11:33	ゆうげん	お願いします
21:34	あすか 11/19 8/11	値段いじったりしていいん？
21:34	ゆうげん	値下げ?
21:35	あすか 11/19 8/11	何日かに1回の値下げ
21:35	ゆうげん	ええで
21:35	ゆうげん	100円づつ
21:35	あすか 11/19 8/11	おけ
21:38	ゆうげん	ういうい

2023/08/04(金)
09:31	ゆうげん	おはよう
09:31	ゆうげん	だいぶ元気になったよ
12:26	ゆうげん	なぎって
12:26	ゆうげん	110やっけ
12:46	あすか 11/19 8/11	新しく買ってる服は110になってる
12:46	ゆうげん	ありがとう
12:46	ゆうげん	そろそろ
12:46	ゆうげん	秋冬アイテムね
12:49	あすか 11/19 8/11	プチミグもあるから他まだ全然みてない
12:49	ゆうげん	パンツもっと欲しいね
12:49	ゆうげん	大きくなって来たし
12:53	あすか 11/19 8/11	おしゃれ着とは別に動きやすい普段着も増やしてあげないとな
12:53	あすか 11/19 8/11	ｻｲｽﾞｱｯﾌﾟしてるし
12:54	あすか 11/19 8/11	私もラフな服なんかいいのないかな
13:22	あすか 11/19 8/11	プチミグ夏物セールやってるな
14:13	ゆうげん	もうセールか
14:14	ゆうげん	あすかのは
14:14	ゆうげん	ワンピース揃えたから
14:14	ゆうげん	送る予定
14:14	ゆうげん	一回も着てないのに
14:14	ゆうげん	買ったやつ安くなってそう
15:07	あすか 11/19 8/11	ワンピース揃えたとは？
15:08	ゆうげん	ユニクロとあすかが言ってたヤツ
15:08	あすか 11/19 8/11	ワンピースじゃない格好もしたいけどなんかいいのないかなー、普段着
15:08	あすか 11/19 8/11	ワンピースはもう十分
15:10	あすか 11/19 8/11	ユニクロのってどんなん？
15:33	ゆうげん	パンツがね
15:33	ゆうげん	マタニティパンツがムズい
15:39	ゆうげん	[写真]
15:39	ゆうげん	[写真]
15:39	ゆうげん	これのベージュ黒
16:05	あすか 11/19 8/11	あんま好きじゃない感じするw
16:08	ゆうげん	まあ
16:08	ゆうげん	普段使い用ね
16:08	ゆうげん	夏用と秋用
16:09	あすか 11/19 8/11	普段こそ着ない気がする
16:09	ゆうげん	1枚でいいからめっちゃ楽やと思うけど
16:09	ゆうげん	それよりパンツよ
16:09	ゆうげん	マタニティパンツがない
16:10	あすか 11/19 8/11	楽とかじゃなくて好みじゃないw
16:10	ゆうげん	"まあ
妊娠期間だけやし
ええやろ"
16:11	あすか 11/19 8/11	好みじゃないものは普段着ないと思うよ
16:11	あすか 11/19 8/11	[写真]
16:12	あすか 11/19 8/11	検診とかスーパー行くとかならこういう格好したいのよね
16:12	ゆうげん	好みが言語化されてないからわからん
16:12	あすか 11/19 8/11	検診結構お腹まくるからワンピースめくりにくかったりする
16:13	ゆうげん	それやったらマタニティのスキニーでいいやん
16:13	あすか 11/19 8/11	まず聞いた方がいいかもね、これいる？とか！好みじゃなくて着ないとかもったいないし
16:13	ゆうげん	もうある
16:14	あすか 11/19 8/11	ベージュと黒のスキニー？かなんかわからんけどマタニティパンツはあるけど
16:14	あすか 11/19 8/11	こんな格好しかできひんw
16:14	あすか 11/19 8/11	[写真]
16:15	ゆうげん	"わからん
それでいいやん"
16:15	ゆうげん	上変えたらいいやん
16:15	あすか 11/19 8/11	お腹隠れるトップスじゃないと
16:15	あすか 11/19 8/11	[写真]
16:15	あすか 11/19 8/11	こんなん見えるからさ
16:15	ゆうげん	"それは全部やろ
マタニティ系"
16:16	あすか 11/19 8/11	だからトップスがないのよね
16:16	あすか 11/19 8/11	"こういう感じのパンツも1個あればなー

バースデイとかしまむらとかあるかな"
16:21	ゆうげん	いい感じの探してみてや
16:22	あすか 11/19 8/11	話変わるけど寝室も子ども部屋②も片付けたいな
16:22	ゆうげん	うん
16:22	ゆうげん	それはもちろん
16:22	あすか 11/19 8/11	服整理出来てないし着ないのも多そうやし子ども部屋②で夏まつりできひん
16:22	ゆうげん	隣家は色わかった?
16:23	あすか 11/19 8/11	変わってないからナギのプチミグ夏服着て写真撮る場所も無い
16:23	ゆうげん	お盆でやろ
16:23	ゆうげん	暇やし
16:23	あすか 11/19 8/11	ほんま片付けたい
16:24	あすか 11/19 8/11	出かけれんしな
16:24	あすか 11/19 8/11	お盆で片付けよ
16:24	ゆうげん	頑張る
16:24	あすか 11/19 8/11	おうち縁日もできひん状態やし
16:49	ゆうげん	"うむ
頑張ろう"
16:52	あすか 11/19 8/11	うん、がんばろ
16:58	ゆうげん	ちなみに
16:59	ゆうげん	トップスはどんなんがいいの?
17:18	あすか 11/19 8/11	[写真]
17:18	あすか 11/19 8/11	[写真]
17:18	あすか 11/19 8/11	[写真]
17:18	あすか 11/19 8/11	わからんけどこういう大きめとかやとお腹かくれるよな
17:18	あすか 11/19 8/11	長めていうのか
17:18	あすか 11/19 8/11	[写真]
17:18	あすか 11/19 8/11	こういうパンツもほしいんよなぁ
17:31	ゆうげん	パンツさがす
17:39	ゆうげん	リブパンツは
17:40	ゆうげん	何色あった便利?
17:43	ゆうげん	これ買おうと思うけど
17:44	ゆうげん	"グレージュだけでいいか
黒もあった方がいいか"
19:50	あすか 11/19 8/11	んー、どやろな
19:51	あすか 11/19 8/11	でもトップスないとパンツ履く機会ないんよな
21:17	ゆうげん	トップスも
21:17	ゆうげん	たけ長いの
21:17	ゆうげん	揃えたらいい?
22:50	あすか 11/19 8/11	なんかいいのないかなーて見てるけどなんかあるかな
22:50	ゆうげん	いいのってどんな感じ?
22:51	ゆうげん	ロゴ入ってるの送ってきてたけど
23:02	あすか 11/19 8/11	わからんねんなぁ

2023/08/05(土)
00:15	ゆうげん	"あすかやったら
襟なし
ロゴなし
ストン
やな"
08:41	あすか 11/19 8/11	なんかあるかなー
08:42	ゆうげん	おはよう
08:44	あすか 11/19 8/11	おはよう
09:00	ゆうげん	ナギは元気?
09:00	ゆうげん	俺は冷房フル稼働で
09:01	ゆうげん	なんとかやってる
09:02	あすか 11/19 8/11	うん元気
09:04	ゆうげん	俺は月曜日の仕事終わり
09:04	ゆうげん	久々に髪切ってくるわ
09:15	あすか 11/19 8/11	気をつけて
11:14	ゆうげん	あすかは25やっけ
11:15	ゆうげん	暑いし
11:15	ゆうげん	長さ切る?
11:37	あすか 11/19 8/11	[写真]
11:37	あすか 11/19 8/11	暑いから結べる長さはほしいけどこれくらいまでは切るかな多分
11:50	ゆうげん	このあすか
11:50	ゆうげん	かわいい
11:55	あすか 11/19 8/11	後ろ姿やし可愛いとかないやろw
11:59	ゆうげん	雰囲気ね
12:07	あすか 11/19 8/11	[写真]
12:07	あすか 11/19 8/11	黒っぽい
12:07	ゆうげん	黒かァ
12:07	ゆうげん	まあ
12:08	ゆうげん	変な色よりかは
12:08	ゆうげん	なんで白じゃないかなぁ
12:09	ゆうげん	暗くなりそう
12:16	あすか 11/19 8/11	意外と距離あるしマシなこと祈る
12:21	ゆうげん	ナギの部屋がなぁ
12:21	ゆうげん	それ以外はほぼ影響ないけど
18:06	あすか 11/19 8/11	ナギの誕生日の準備いけてる？
18:07	ゆうげん	今から買うわ
18:07	あすか 11/19 8/11	あとなんやっけ
18:07	ゆうげん	ガーランド
18:07	あすか 11/19 8/11	ガーランドと
18:07	ゆうげん	カメラ
18:07	あすか 11/19 8/11	ガーランドとカメラか
18:08	あすか 11/19 8/11	フリフリベビースターっていつから予約できるんやろ
18:08	ゆうげん	もう出来そうやでな
18:23	ゆうげん	今日マイエレメントっていう映画みた
18:23	ゆうげん	これはあすかとみたい
18:44	ゆうげん	[写真]
18:44	ゆうげん	色違う
19:10	あすか 11/19 8/11	これしかないんか
19:10	あすか 11/19 8/11	白っぽいのがいいな
20:30	ゆうげん	パウダーでいい?
22:25	あすか 11/19 8/11	かな
23:18	ゆうげん	おけ
23:30	ゆうげん	買っとくね

2023/08/06(日)
09:40	あすか 11/19 8/11	お願いします
10:11	ゆうげん	おはよう
10:11	ゆうげん	言うてもうお盆やなぁ
10:11	あすか 11/19 8/11	そやなーでも長いわそこまで
10:22	ゆうげん	あと3日か
10:22	ゆうげん	水曜には出るからな
10:26	あすか 11/19 8/11	お盆っていつまで？16？
10:27	ゆうげん	そのはず
10:28	あすか 11/19 8/11	旅行の前日って休み取ってるんやっけ？
10:28	ゆうげん	うん
10:28	ゆうげん	2日とってる
10:29	ゆうげん	さすがに到着日に運転は怖すぎる
15:15	あすか 11/19 8/11	ナギの誕生日の週末26.27帰ってきて28.29.30東京で31また大阪？てこと？
15:16	ゆうげん	そうしようかな

2023/08/07(月)
08:03	ゆうげん	おはよう
09:52	あすか 11/19 8/11	おはよう
09:55	ゆうげん	とりあえず木曜晩にかえって
09:55	ゆうげん	翌週水曜までおって
09:56	ゆうげん	って感じ
09:56	ゆうげん	金曜には片付け終わらせたいな
09:56	ゆうげん	車借りれたら
09:56	ゆうげん	ニトリ行きたい
12:08	あすか 11/19 8/11	どこ行くにも何するにも車がいると誰かに声掛けなあかんの辛いな
12:08	あすか 11/19 8/11	車ほし…
12:09	あすか 11/19 8/11	片付け頑張らななーー
12:09	ゆうげん	早めに
12:09	ゆうげん	聞きたいね
12:09	ゆうげん	車
12:09	ゆうげん	月数万なら頑張れる
12:10	あすか 11/19 8/11	トヨタから聞いてフクオカ自動車に比べに行く？フクオカ自動車できいてからトヨタも行く？
12:10	あすか 11/19 8/11	でも車持つと車の保険代に税金に…月数万で収まるかな
12:19	ゆうげん	トヨタからかな
12:19	ゆうげん	車検に保険に
12:20	ゆうげん	結構きついと思う
12:20	ゆうげん	ちょっと計算してみる
12:24	あすか 11/19 8/11	貯金ができんくなるやろな
12:38	ゆうげん	"今はできても毎月4万
と
ボーナス"
12:38	ゆうげん	やからな
12:38	ゆうげん	役職上がってたらプラス4くらい行けたが
12:38	ゆうげん	くそう
20:53	あすか 11/19 8/11	今出来てるようでできてないしな、毎月は

2023/08/08(火)
08:53	ゆうげん	おはよう
08:54	ゆうげん	ガーランドかめらは
08:54	ゆうげん	頼んで
08:54	ゆうげん	リブパンツも届いたから
08:54	ゆうげん	持ってく
08:54	ゆうげん	あとなんかあったっけ
09:28	あすか 11/19 8/11	誕生日の準備はいけたかなー
09:29	あすか 11/19 8/11	フリフリベビースターの予約か
09:30	ゆうげん	それか
09:40	ゆうげん	なんか
09:40	ゆうげん	予約種類
09:40	ゆうげん	いくつかあるな
09:45	あすか 11/19 8/11	予約種類？
09:55	ゆうげん	なんか
09:55	ゆうげん	他のプラントの抱き合わせみたいなのとか
09:55	ゆうげん	ページが派手で会社で見れないから
09:55	ゆうげん	どれで予約するか絞って欲しい
12:03	あすか 11/19 8/11	時間ある時見てみる
12:18	ゆうげん	お願いします
15:03	あすか 11/19 8/11	今見たけどなんかよくわかんらん
15:03	あすか 11/19 8/11	入場券的なのも先購入してた方がいいんか
16:04	ゆうげん	かもね
19:28	ゆうげん	今帰ってるから
19:29	ゆうげん	家ついたら予約してみる
20:10	あすか 11/19 8/11	購入者の引が悪いのかね
20:10	あすか 11/19 8/11	腹立つ
20:10	あすか 11/19 8/11	[写真]
20:10	あすか 11/19 8/11	[写真]
20:10	あすか 11/19 8/11	ソール白っぽくなってるのは写真にも写ってんのに
20:10	あすか 11/19 8/11	うざ

2023/08/09(水)
06:14	ゆうげん	どれが?
06:14	ゆうげん	ニューバランスのは
06:15	ゆうげん	そういうデザインやで
09:54	あすか 11/19 8/11	青っぽい方のニューバランス
09:55	あすか 11/19 8/11	[写真]
09:55	あすか 11/19 8/11	[写真]
09:55	ゆうげん	いやこれそういうデザイン
09:55	ゆうげん	なんも知らんと買ったんやない?
09:56	ゆうげん	これはレトロ感出すためにソールが白っぽいの
09:57	ゆうげん	"ちょっとは調べて買えよな
どれ買ってもこの色じゃ"
09:59	あすか 11/19 8/11	こんなまばらに白いん？
09:59	ゆうげん	そうよ
09:59	あすか 11/19 8/11	ほんま購入者運悪いわ
10:00	あすか 11/19 8/11	残念だったの評価増えるのほんま嫌
10:00	ゆうげん	あすかもちゃんと言わないと
10:00	ゆうげん	こういうデザインですって
10:00	あすか 11/19 8/11	ゆーくんに言えばよかったなー
10:00	あすか 11/19 8/11	知らんもんこんなデザインなん
10:00	あすか 11/19 8/11	私のせいやなぁ
10:00	あすか 11/19 8/11	もーいいや
10:01	ゆうげん	次から出品前に聞いてちょ
10:01	あすか 11/19 8/11	うん
10:01	ゆうげん	もう一個の方も
10:02	ゆうげん	同じでレトロ感あるから
10:02	ゆうげん	気をつけて
10:11	あすか 11/19 8/11	うん
10:16	ゆうげん	いうて
10:16	ゆうげん	10万行ったんか?
10:23	あすか 11/19 8/11	行ったけどちょこちょこ使うからすぐ10切るんちゃうかなー
10:23	あすか 11/19 8/11	今日お盆前最後のスーパー行ってくる、耳鼻科帰りに
10:23	ゆうげん	お盆って
10:24	ゆうげん	閉まってるんやっけ
10:24	あすか 11/19 8/11	買いだめする
10:24	あすか 11/19 8/11	あいてるやろ
10:24	ゆうげん	スーパーはカード使いや
10:24	ゆうげん	また耳鼻科か
10:24	あすか 11/19 8/11	うん、また耳鼻科
10:24	あすか 11/19 8/11	買い溜めするから7~8千円いきそやけど
10:26	ゆうげん	ええで
10:29	あすか 11/19 8/11	朝昼晩家で…てなるとスーパーで毎回なかなか飛ぶ
12:02	ゆうげん	お魚高いよね
12:02	ゆうげん	ベストは基本業スーがいい
12:02	ゆうげん	3割くらい安くなる
12:04	ゆうげん	"ナギがお魚好きやから
極力揃えてあげたい"
12:08	ゆうげん	あと
12:09	ゆうげん	"電子レンジでも
グリルでも
直火でも使えるお皿"
12:09	ゆうげん	持ってくね
12:09	ゆうげん	これでアルミホイルで魚やかんでよくなる
12:09	ゆうげん	爪切りもいいの揃えたから持ってくね
13:08	あすか 11/19 8/11	お盆(まとまった休み)やしと思ってあれこれ買いだめし過ぎて13000円くらいなった
13:08	あすか 11/19 8/11	冷蔵庫満たされすぎてる
13:56	ゆうげん	😊
13:57	ゆうげん	買ったねぇ😊
13:57	ゆうげん	車で行ったんか
13:57	ゆうげん	業スー行った?
13:59	あすか 11/19 8/11	"いや、行ってない
父に仕事の合間に出てきてもらって行ったから"
13:59	あすか 11/19 8/11	耳鼻科からのデイリーカナート
14:00	ゆうげん	なるほど
14:03	あすか 11/19 8/11	野菜も果物も肉魚も冷凍食品も
14:03	あすか 11/19 8/11	充実
15:19	ゆうげん	料理が捗るね
15:19	ゆうげん	野菜も豊富?
16:28	ゆうげん	調理道具も増えてきたから
16:28	ゆうげん	料理が楽しくなるね
16:28	ゆうげん	またアスカのお菓子食べたいな
16:41	あすか 11/19 8/11	今は料理楽しいとか思わん
17:13	ゆうげん	[スタンプ]
17:13	ゆうげん	俺は楽しい
17:13	ゆうげん	調理器具とかお皿は服と同じくらい揃えるの楽しい
19:26	あすか 11/19 8/11	[写真]
19:26	あすか 11/19 8/11	今日もお手軽
20:37	ゆうげん	いつもより
20:37	ゆうげん	手が込んで見える
20:37	ゆうげん	なぎ
20:37	ゆうげん	デカなった？
20:45	あすか 11/19 8/11	魚グリルで焼いて豆苗と舞茸炒めただけやで
20:46	あすか 11/19 8/11	そんな10日とかでデカならんやろw
20:52	ゆうげん	腕がたくましい
21:04	あすか 11/19 8/11	そう見えるだけちゃう？わからんけどw
21:59	ゆうげん	なんか
21:59	ゆうげん	男らしくなってきて
21:59	ゆうげん	成長が嬉しいと共に
21:59	ゆうげん	寂しさ
22:02	あすか 11/19 8/11	そんなん思える隙ないわw毎日まいにち悪すぎて私の身体もついていかんすぎてw怒ってばっかり
22:02	あすか 11/19 8/11	まぁもちろん成長感じて嬉し寂しくなる時はあるけど

2023/08/10(木)
07:11	ゆうげん	悪ガキ代表やもんな
07:12	ゆうげん	おはよう
07:12	ゆうげん	最近22:00には寝てるわ
09:29	あすか 11/19 8/11	おはよう
10:04	ゆうげん	今日帰って
10:04	ゆうげん	明日着くね
10:04	ゆうげん	明日から
10:04	ゆうげん	掃除頑張ろう
10:04	ゆうげん	(๑•̀ㅂ•́)و✧
14:45	あすか 11/19 8/11	片付けなあかんとこありすぎて終わる気せんけど
16:31	ゆうげん	リスト化しよう
16:31	ゆうげん	やることリスト
20:06	あすか 11/19 8/11	お盆中にしたいこと決めてやらな全部は絶対終わらんなぁ
20:21	ゆうげん	頼んだ

2023/08/11(金)
05:57	ゆうげん	大渋滞で
05:57	ゆうげん	[写真]
05:57	ゆうげん	まだここや
05:57	ゆうげん	2時間おくれ
05:57	ゆうげん	10時くらいに
05:57	ゆうげん	着きそう
05:58	あすか 11/19 8/11	今日は渋滞やばそうやな
05:59	ゆうげん	初めて明るいうちにSAきた
06:02	ゆうげん	人も車もやばいわ
06:03	ゆうげん	まあ
06:03	ゆうげん	ゆっくり待ってて
06:07	ゆうげん	はやく会いたい
07:21	ゆうげん	やっとこさ京都
07:24	ゆうげん	あと1時間やから
07:24	ゆうげん	やっぱり9:00-9:30で家には10:00
08:25	ゆうげん	おはよう
08:30	あすか 11/19 8/11	なぎ一瞬6:20頃起きたけどまた寝たてまだ寝てる
08:30	ゆうげん	着く頃にはおきるかな
08:30	ゆうげん	いい天気やな大阪
08:30	あすか 11/19 8/11	さすが起きるな10時は
08:31	ゆうげん	[写真]
08:31	ゆうげん	もう梅田
08:31	あすか 11/19 8/11	今日どこで降りるん
08:31	ゆうげん	難波
08:32	ゆうげん	梅田で降りた方が早いけどね
08:32	ゆうげん	でも極力歩きたくない
08:32	ゆうげん	暑い
08:59	ゆうげん	難波着いた
09:15	ゆうげん	電車のった
09:15	ゆうげん	あとちょい
09:25	ゆうげん	お腹空いた
09:25	ゆうげん	14時間くらい食べてない
09:35	あすか 11/19 8/11	今から朝ごはん
09:35	ゆうげん	俺の分も
09:35	ゆうげん	ほしい
09:36	ゆうげん	[写真]
09:37	ゆうげん	もらいーや
09:38	あすか 11/19 8/11	私保育士資格の名前も変えてないしブランクありすぎやしこんなんだけもらうの厚かましい
09:38	ゆうげん	将来戻るやろうし
09:38	ゆうげん	ええやろ
09:39	あすか 11/19 8/11	戻るかもいつ戻るかもわからんで

2023/08/12(土)
