 8/11	これはこの色が好き
09:24	あすか 11/19 8/11	袖長めなならいけるんじゃない？
09:24	あすか 11/19 8/11	これは普段着？
09:43	ゆうげん	普段着
11:07	あすか 11/19 8/11	普段着ね
11:15	ゆうげん	今日はジメッてる
11:15	ゆうげん	早く秋になれ
11:15	ゆうげん	ナギもしんどい時期に生まれたよな
11:15	ゆうげん	夏
11:31	あすか 11/19 8/11	ほんとにねーー
11:31	あすか 11/19 8/11	真夏に臨月つらかった
11:58	ゆうげん	早く収納充実させたい
12:29	ゆうげん	お昼何食べたん
12:29	ゆうげん	[スタンプ]
13:26	あすか 11/19 8/11	お昼はチャーハン！
15:16	ゆうげん	ええなチャハーン
15:46	あすか 11/19 8/11	冷凍のやつやけどね
15:49	ゆうげん	明日午後
15:49	ゆうげん	なにしよ
15:49	あすか 11/19 8/11	おうちでゆっくり
15:50	ゆうげん	土曜は?
15:50	あすか 11/19 8/11	んー、どうしよっか
15:50	ゆうげん	浜寺
15:50	あすか 11/19 8/11	えー
15:50	あすか 11/19 8/11	死ぬ
15:50	ゆうげん	あついか
15:51	あすか 11/19 8/11	暑いやろな…
15:51	ゆうげん	水遊び
15:52	ゆうげん	"今回も土曜の夜かなぁ
帰るの"
15:58	あすか 11/19 8/11	水遊びね、したいよね〜
15:58	あすか 11/19 8/11	今年あんまりできてないもんねー、、
15:59	あすか 11/19 8/11	"そうかなーて思ってた！
バスやもんね"
16:55	ゆうげん	きんようのおひるは
16:55	ゆうげん	また北浜る?
17:03	あすか 11/19 8/11	お昼ご飯？
17:14	ゆうげん	そうそう
17:52	あすか 11/19 8/11	時間いい感じなるかな？
18:07	ゆうげん	あいか何時やっけ
18:18	あすか 11/19 8/11	13:30~
18:18	あすか 11/19 8/11	だよー
18:47	あすか 11/19 8/11	[写真]
18:47	あすか 11/19 8/11	[写真]
18:48	ゆうげん	ありがとう
18:49	ゆうげん	髪サラッサラやな
18:49	あすか 11/19 8/11	ですな
18:49	ゆうげん	おうちバリカンあったっけ
18:49	ゆうげん	襟足と首筋
18:49	ゆうげん	整えてあげたい
18:50	あすか 11/19 8/11	ないなー
18:51	ゆうげん	持ってこうかな
18:52	あすか 11/19 8/11	うまくいくかなー
18:52	あすか 11/19 8/11	てかどんだけ詰めて頑張っても結局12月ってなんかクソ腹立つ
18:54	あすか 11/19 8/11	"最悪の場合でも年内

ていう話しやったやん？

12月10日前後とか
年末も同然やん"
18:54	あすか 11/19 8/11	怒
18:55	ゆうげん	むぅ
18:55	ゆうげん	たしかに
18:56	あすか 11/19 8/11	1週間でも2週間でも早まって欲しいほんまに
18:57	あすか 11/19 8/11	マンスリーどうするか結局決めてないけどやっぱ何かとストレスはあるからめっちゃ長く感じる
18:58	ゆうげん	もちろんストレスは優先したいけど
18:58	ゆうげん	今の金額帯はかなり非現実的
18:58	あすか 11/19 8/11	じゃあ無理だね
18:58	ゆうげん	俺の給料半分ぶっ飛ぶからね
18:59	ゆうげん	"それを3ヶ月って35万くらい
年収の1/15消えるからね"
18:59	ゆうげん	2.5、3倍で車買えるし
18:59	あすか 11/19 8/11	そんな現実的な話はいいよ
19:00	あすか 11/19 8/11	余計気重なる
19:00	あすか 11/19 8/11	無理ってことを詳しく突きつけないでくれーー
19:00	ゆうげん	"仕方ない
数字は現実"
19:00	あすか 11/19 8/11	[スタンプ]
19:00	あすか 11/19 8/11	[スタンプ]
19:00	あすか 11/19 8/11	[スタンプ]
19:00	あすか 11/19 8/11	[スタンプ]
19:00	あすか 11/19 8/11	[スタンプ]
19:00	あすか 11/19 8/11	じゃなくて
19:00	あすか 11/19 8/11	無理ってことを突きつけるなーてこと
19:00	ゆうげん	なんというか考え方次第やし
19:00	あすか 11/19 8/11	なかなかに厳しい精神的に
19:01	ゆうげん	ちょっと考え方変えるだけで年間100万くらい差が出るよ
19:01	あすか 11/19 8/11	いや、もうこの実家の不便さや居心地の悪さは毎日なぎと向き合ってる私にしかわからん
19:01	あすか 11/19 8/11	そこの考え方変えよ！て思えるほどの余裕は今ない
19:01	あすか 11/19 8/11	現実受け止めるだけで精一杯
19:03	ゆうげん	そこでなぜ家を綺麗にして利便性高める感じにならないのか
19:03	あすか 11/19 8/11	結局実家を出た居候の身やから
19:03	あすか 11/19 8/11	全部こっちに合わせろなんて
19:03	あすか 11/19 8/11	言えるわけないし
19:04	ゆうげん	"お母さんの反応はガン無視
既読無視
ゴミは見つけ次第廃棄

これだけでかなり良くなる"
19:04	ゆうげん	それを4ヶ月するだけや
19:04	あすか 11/19 8/11	それが無理やからこうなってるんよ
19:04	ゆうげん	もうあと少しやし頑張って欲しい
19:04	あすか 11/19 8/11	そこはもうそうやって解決方法とか突きつけんとなだめてよ
19:05	あすか 11/19 8/11	マンスリーかりたいってわがまま突き通そうなんてしてない
19:05	ゆうげん	"俺から直に言うかやな
もう4ヶ月なんでいちいち細かいこと言うなって"
19:05	あすか 11/19 8/11	何も言われてないよ
19:05	あすか 11/19 8/11	現状の家が育児にはなかなか辛いってだけ
19:05	ゆうげん	"めんどいし損するしとくないし

ラインでことある事にグチグチ言われてるやん"
19:06	ゆうげん	それを言ったらいい
19:06	ゆうげん	育児しづらいって
19:06	あすか 11/19 8/11	いやだから
19:06	ゆうげん	だからここをこうしたいって
19:06	あすか 11/19 8/11	そんなん言える立場じゃないのよ
19:06	ゆうげん	あと4ヶ月やからええやん
19:07	ゆうげん	立場なんてもう今更やし
19:09	あすか 11/19 8/11	4ヶ月もあるねんで
19:09	あすか 11/19 8/11	1日も必死やのに
19:09	あすか 11/19 8/11	4ヶ月も
19:09	あすか 11/19 8/11	それなら自分が我慢して平和に出ていく方がいい
19:10	ゆうげん	それ我慢するの明日香だけちゃうからなぁ
19:10	あすか 11/19 8/11	普通は、みんな家出来るまで賃貸借りて待つところを、私は実家で1万だけで生活させてもらってるのよ。
19:10	あすか 11/19 8/11	そんなんもうこれ以上何か言っていい立場じゃない
19:10	あすか 11/19 8/11	だから我慢するしかない
19:10	ゆうげん	普通は一緒に暮らして会社の社宅入ってるから
19:11	ゆうげん	普通なんてなんの参考にもならない
19:11	あすか 11/19 8/11	そこは話がズレるでしょ
19:11	ゆうげん	そもそもズレてるから
19:11	ゆうげん	普通が参考にならない
19:11	あすか 11/19 8/11	ともかく私は実家に文句言える立場じゃない
19:11	あすか 11/19 8/11	だから我慢するしかないし
19:12	ゆうげん	"まじで借りるって言うならめっちゃ安い田舎とかでもいいわけやし

北助松である必要ないでしょ"
19:12	あすか 11/19 8/11	揉めるくらいなら我慢して極力平和に出て行ける方が
19:12	あすか 11/19 8/11	何十倍もいい
19:12	あすか 11/19 8/11	ゆー君との別居を選択してる中でこの辺を離れることの方がストレスというか不安やから
19:12	あすか 11/19 8/11	もう私は家建つまでここに居る
19:13	あすか 11/19 8/11	発端は私の決断があかんかったんやし
19:13	あすか 11/19 8/11	ゆーくんの事も実家のことも苦しめてるのは私やから
19:13	あすか 11/19 8/11	あと4ヶ月我慢する
19:13	ゆうげん	まあ全然先のことは考えてなかったよな
19:13	あすか 11/19 8/11	マンスリーとか言い出した私が悪かったんよ
19:13	あすか 11/19 8/11	そこ責めないでよ
19:14	あすか 11/19 8/11	あの時は必死で、これからも一緒に頑張って行けるようにっていう思いで決断したし
19:14	ゆうげん	"責めるとかじゃなくて
あの時点ではあの時点と感情しか見てなかったから

そういう意味でも反対してたわけやし"
19:14	あすか 11/19 8/11	マイホームを決断したのも私一人じゃない
19:14	あすか 11/19 8/11	反対してたってとこがもう責められてる気分なんよ
19:14	あすか 11/19 8/11	あの時はどのみち帰ってこないとそれこそ私が狂ってた
19:14	あすか 11/19 8/11	お互いのためやったとは思ってる
19:15	ゆうげん	"過ぎたことやからいいけど
その選択が今に繋がってるから"
19:15	あすか 11/19 8/11	ただ予定通り帰れないならもうマイホーム建てようっていう決断が早かったかなって思う
19:15	あすか 11/19 8/11	"あとはやっぱ辛すぎるよ、
半年向き合った家建てられへんくなってまた一から"
19:15	あすか 11/19 8/11	そこからもまた半年とかかかるんやもん、そこが辛い
19:16	ゆうげん	無駄に放ってないからいいけどな
19:16	ゆうげん	にはなって
19:16	あすか 11/19 8/11	そんな上から言えるのがすごい
19:16	ゆうげん	その結果実家で苦しんでるやん
19:16	あすか 11/19 8/11	ゆー君はやっぱわかってないなーて思う
19:16	ゆうげん	そこは事実
19:16	ゆうげん	"わかる分からないじゃなくて
結果やん"
19:16	あすか 11/19 8/11	あの時なんで大好きやったゆー君と離れたいって思うほど追い詰められてたかとか
19:17	あすか 11/19 8/11	振り返ったことないでしょ
19:17	あすか 11/19 8/11	そこわかってないと
19:17	ゆうげん	今はそこじゃないでしょ
19:17	あすか 11/19 8/11	戻っても同じな気がする
19:17	あすか 11/19 8/11	決断を責めてきたのゆーくんやん
19:17	ゆうげん	あと4ヶ月どうするかでしょ
19:17	あすか 11/19 8/11	めんどいけど、私は自分に言い聞かせてるだけなんよ
19:17	あすか 11/19 8/11	自分の選択がダメやったって
19:17	あすか 11/19 8/11	そうすれば誰も恨まずに自分がしんどいだけやから
19:18	あすか 11/19 8/11	そこを重ねて相手にも責められるとつらい
19:18	ゆうげん	"ダメって言うか
我慢する結果になってるのは事実で仕方ないから

どう我慢するかやん"
19:18	あすか 11/19 8/11	だから
19:18	あすか 11/19 8/11	"もうマンスリーもいいし
4ヶ月先でもいい"
19:18	あすか 11/19 8/11	私が我慢するだけ
19:18	あすか 11/19 8/11	っていう決断をさっき出したじゃない
19:18	ゆうげん	その我慢も影響出るやん他に
19:19	ゆうげん	"なぎ怒鳴ったり
俺と喧嘩したり"
19:19	ゆうげん	それあすかだけの我慢になってへん
19:19	あすか 11/19 8/11	我慢は慣れっこやから大丈夫
19:19	あすか 11/19 8/11	ナギに怒るのはどこにおってもやし
19:20	あすか 11/19 8/11	ゆーくんとの喧嘩だってきっとこの先0ではない、マイホーム建っても
19:20	あすか 11/19 8/11	喧嘩にさえならなくなったら終わりやと思うし
19:20	ゆうげん	先のことはまだええよ
19:20	ゆうげん	今必死やし
19:20	あすか 11/19 8/11	私が本音を包み隠さず言えるのがゆー君やから
19:20	あすか 11/19 8/11	ゆーくんに当たってしまってるだけで
19:20	あすか 11/19 8/11	我慢は慣れっこというか
19:21	ゆうげん	とりあえず家たったら今の不満ほぼ無くなるから
19:21	あすか 11/19 8/11	自分が我慢するのが1番楽やから
19:21	ゆうげん	その先は完全に自己責任
19:21	あすか 11/19 8/11	なにが？
19:21	ゆうげん	不満持つのも、我慢するのも
19:21	あすか 11/19 8/11	自己責任てどゆことw
19:21	あすか 11/19 8/11	もういいよ
19:21	ゆうげん	家たったら努力次第でなんでも出来るし
19:22	あすか 11/19 8/11	自己中やけどさ
19:22	あすか 11/19 8/11	吐き出すだけ吐き出したら
19:22	あすか 11/19 8/11	あと4ヶ月我慢する決心できたから
19:22	あすか 11/19 8/11	もういい
19:22	あすか 11/19 8/11	この話終わろ
19:22	ゆうげん	俺はさっさと今の会社辞めれる算段つけたいから
19:23	ゆうげん	あるいは昇進大してせずに適当にやる
19:23	ゆうげん	会社での稼ぎなんてまじで大したことないからな
19:23	あすか 11/19 8/11	独立した父をみてきたからこそ
19:24	ゆうげん	所詮雇われやし
19:24	あすか 11/19 8/11	夫がサラリーマン辞めようとしてるのはやっぱ不安やけど
19:24	あすか 11/19 8/11	一緒に何か出来るように
19:24	あすか 11/19 8/11	努力はしたいと思ってる
19:24	ゆうげん	"やめなくても即定時退社
適当で得れるものだけ得る感じのでいい"
19:25	あすか 11/19 8/11	話戻るけど、一つだけお願いある
19:25	あすか 11/19 8/11	私がこの先弱音吐いたり不満たらしたりゆー君にしてしまっても
19:26	あすか 11/19 8/11	(実家のこととかゆー君と離れてることに関してね)
19:26	あすか 11/19 8/11	責めないで欲しい
19:26	あすか 11/19 8/11	できれば、適当にでいいからなだめて欲しい
19:26	あすか 11/19 8/11	それをどう解決して欲しいとかより、
19:26	ゆうげん	それは距離と内容によるよ
19:26	あすか 11/19 8/11	ただなだめてくれる存在が欲しいだけやから
19:27	ゆうげん	実害出るなら無理やし
19:27	ゆうげん	実害ないならなだめるし
19:27	あすか 11/19 8/11	前も1回言ったことあると思うけど、ナギは思うように行かん時、誰かに怒られた時、
19:27	あすか 11/19 8/11	誰かしらがなだめてくれる
19:27	ゆうげん	"振り込め詐欺引っかかったとか
起訴されましたとか
その辺なだめるとか以前の内容は無理やで"
19:28	あすか 11/19 8/11	"でも、私はゆー君にしか
なだめてもらえない"
19:28	あすか 11/19 8/11	母親になってこんなん言うの恥ずかしいけど
19:28	ゆうげん	"そのレベルじゃなきゃいちいち責めない

金額で言うと計5万位からは責める
目安"
19:30	あすか 11/19 8/11	金額とかはもうないよ
19:32	あすか 11/19 8/11	"母親になってこんなん言うの恥ずかしいけど、やっぱ育児で辛かった時とか何かがしんどい時はなだめられたいのよ。
そんなことお願いできるの
ゆーくんしかおらんのよ。
そのゆー君にことある事に
責められると辛い。"
19:32	あすか 11/19 8/11	そんな話してないじゃない……
19:33	あすか 11/19 8/11	例えば、早く一緒に暮らしたいとか汚くて梛が歩かせられないのが辛いとか
19:33	あすか 11/19 8/11	そういうこと
19:33	あすか 11/19 8/11	そういうのポロッと私が言った時に
19:34	あすか 11/19 8/11	"とやかく言わずに
大丈夫、あともうちょっと！とか"
19:34	あすか 11/19 8/11	ナギ抱っこする機会も減っていくし今のうちや！とか
19:34	ゆうげん	わかった
19:34	あすか 11/19 8/11	そういうことを言って欲しいってことを言ってるだけ
19:34	あすか 11/19 8/11	私はそういう前向きさがかけるから
19:34	あすか 11/19 8/11	ゆーくんの前向きさに補われたいだけ
19:35	あすか 11/19 8/11	ただそれだけのお願い
19:35	ゆうげん	"今準備してて
急転直下で話変わるけど"
19:35	ゆうげん	[写真]
19:35	ゆうげん	これ送ってたっけ?
19:35	あすか 11/19 8/11	カバン類は開けてない可能性あるからなんとも言えない
19:35	あすか 11/19 8/11	開けた段ボールには私が以前から使ってたカバンしか入ってなかったから
19:36	あすか 11/19 8/11	あるとしても開けてないと思う
19:36	ゆうげん	ここ2ヶ月で日常で着れる服に混じって送ってなかった?
19:36	ゆうげん	[写真]
19:36	あすか 11/19 8/11	カバンは
19:36	ゆうげん	これは送ったよな
19:36	あすか 11/19 8/11	あ、それそれ
19:36	ゆうげん	記憶ある
19:36	あすか 11/19 8/11	それだけだよ
19:37	ゆうげん	おっけい
19:39	ゆうげん	これはわかった
19:45	あすか 11/19 8/11	あの黒い鞄がどしたん？？
19:47	あすか 11/19 8/11	"なだめられたり、ポジティブさに引っ張ってもらったり、逆に私のネガティブを受け入れてもらったり、｢頑張ってる｣て認めてもらえたり。
それだけで、毎日育児に向き合ってあれこれ考えたりナギとぶつかったりしながらも必死にやってることが報われた気分になるし、安心する。
｢私って頑張れてるんや｣て
安心する。
それだけで精神回復する。"
19:47	ゆうげん	ふむ
19:47	ゆうげん	もう少し上手くするな
19:48	ゆうげん	カバンどこ置いたっけ送ったっけって
19:48	ゆうげん	なった
19:48	ゆうげん	明日使おうと思って
19:49	ゆうげん	"ハンコ
印鑑
住民票、印鑑証明
保険証
免許証"
19:49	ゆうげん	これ以外あったっけ
19:54	あすか 11/19 8/11	鞄あった？
19:55	あすか 11/19 8/11	[写真]
19:55	あすか 11/19 8/11	これが持ち物だね
19:55	あすか 11/19 8/11	"あとはこっちにある
土地の手付金の領収書"
20:00	ゆうげん	ぽおけ
20:00	ゆうげん	おけ
20:01	ゆうげん	全部ある
20:04	あすか 11/19 8/11	ありがとう
20:04	あすか 11/19 8/11	[写真]
20:09	ゆうげん	なぎもちょっと
20:09	ゆうげん	ぽちゃったね
20:09	ゆうげん	頬が
20:09	ゆうげん	ナギのパンツ
20:10	ゆうげん	明日は緩いのがいい
20:13	あすか 11/19 8/11	見てみとく、服
20:13	ゆうげん	アイボリーかベージュの最近送ってたから
20:13	ゆうげん	それがいいな
20:17	あすか 11/19 8/11	おけー
20:17	あすか 11/19 8/11	[写真]
20:17	あすか 11/19 8/11	[写真]
20:17	あすか 11/19 8/11	赤ちゃんごっこブーム
20:18	ゆうげん	テカテカやん
20:18	あすか 11/19 8/11	テカテカ？
20:18	ゆうげん	顔
20:19	ゆうげん	そう見えるだけか
20:19	あすか 11/19 8/11	顔か
20:19	あすか 11/19 8/11	そう見えるだけかな
20:20	あすか 11/19 8/11	[写真]
20:20	あすか 11/19 8/11	[写真]
20:20	あすか 11/19 8/11	[写真]
20:20	あすか 11/19 8/11	この首にかけてるやつやり出したら
20:20	あすか 11/19 8/11	赤ちゃんごっこしたい合図
20:56	ゆうげん	急に幼児退行やな
20:56	ゆうげん	甘えたいねんな
21:18	あすか 11/19 8/11	"ポポちゃん買ってもらって
お兄ちゃんしてるか思たら"
21:18	あすか 11/19 8/11	赤ちゃん返り
21:54	ゆうげん	兄弟出来たら
21:54	ゆうげん	どうなる事やら
21:56	あすか 11/19 8/11	まぁそれはみんな通る道
21:56	あすか 11/19 8/11	"そりゃ突然自分以外に
ママを必要とする子が
現れれば戸惑うのは当然"
22:06	ゆうげん	俺は最速親離れやから
22:06	ゆうげん	あんまわからん
22:06	ゆうげん	移動中
22:07	あすか 11/19 8/11	多少の戸惑いはあるやろ誰しも
22:07	あすか 11/19 8/11	気をつけて
22:20	ゆうげん	暑いわ
22:20	ゆうげん	相変わらず
22:21	あすか 11/19 8/11	暑いよなー
22:21	あすか 11/19 8/11	さっきゴミ外に出しに行った時、湿気えぐかった
22:22	ゆうげん	さっきまで雨降ってたから
22:22	ゆうげん	余計酷い
22:26	あすか 11/19 8/11	雨降ってたのか
22:26	あすか 11/19 8/11	しっかり水分とってね
22:33	ゆうげん	梅あめ
22:33	ゆうげん	もうないねんな
22:38	あすか 11/19 8/11	梅の飴もうないの？はや
22:38	あすか 11/19 8/11	他のはあるでしょ？
22:39	あすか 11/19 8/11	とにかく水分だけでもしっかりね
23:02	ゆうげん	ポカリ買い込んだ
23:03	あすか 11/19 8/11	それが良い
23:03	あすか 11/19 8/11	バス乗った？
23:04	ゆうげん	23:30やった
23:04	ゆうげん	もうすぐ乗る
23:04	あすか 11/19 8/11	あら、そうなのか
23:04	あすか 11/19 8/11	少しでもゆっくり寝れますようにやね
23:07	ゆうげん	仕事もないし
23:07	ゆうげん	ゆっくり寝る
23:09	あすか 11/19 8/11	うん、ゆっくり寝てね
23:10	あすか 11/19 8/11	[写真]
23:27	ゆうげん	寝顔もマジ天使
23:27	ゆうげん	まあ
23:27	ゆうげん	色々あるけど
23:27	ゆうげん	家族を守りたいね
23:40	あすか 11/19 8/11	寝顔はいつなり天使
23:40	あすか 11/19 8/11	素敵に思ってもらえる家族築きたいね

2022/07/29(金)
05:05	ゆうげん	おはよう
05:05	ゆうげん	今滋賀
05:05	ゆうげん	あとちょい
06:18	あすか 11/19 8/11	おはよう〜
06:33	ゆうげん	もう着くよ
06:33	ゆうげん	難波
06:34	ゆうげん	着いたたまず
06:34	ゆうげん	らまず
06:34	ゆうげん	充電させてー
06:34	ゆうげん	色々瀕死
06:45	ゆうげん	隣の席の
06:45	ゆうげん	歯ぎしりやばすぎた
06:45	ゆうげん	普通に寝れたけど
06:45	あすか 11/19 8/11	はーーい
06:45	あすか 11/19 8/11	待ってます
06:45	ゆうげん	airpodsproないと死んでた
07:06	ゆうげん	7:09
07:06	ゆうげん	発
07:10	あすか 11/19 8/11	隣って近いの？
07:10	あすか 11/19 8/11	了解です
07:10	ゆうげん	カーテンで区切られてるけど
07:10	ゆうげん	学校の隣の席くらい
07:23	あすか 11/19 8/11	そなのか
07:23	あすか 11/19 8/11	歯ぎしりは気になるよねー、、
07:45	あすか 11/19 8/11	もうすぐ着く？
07:45	ゆうげん	もうキリン堂みえてる
07:45	あすか 11/19 8/11	おけおけ
07:50	ゆうげん	ついた
08:14	あすか 11/19 8/11	母にお邪魔しますって一声かけといてね

2022/07/30(土)
13:16	あすか 11/19 8/11	[写真]
13:16	あすか 11/19 8/11	[写真]
13:16	あすか 11/19 8/11	[写真]
13:16	あすか 11/19 8/11	[写真]
13:16	あすか 11/19 8/11	[写真]
18:54	あすか 11/19 8/11	[写真]
19:33	あすか 11/19 8/11	ゆー君気をつけて帰ってね
19:33	あすか 11/19 8/11	また次の週末帰ってくるの大丈夫なの？何も予定ないから控えててもいいところやけど。。
19:34	あすか 11/19 8/11	電車乗れた？？
19:35	ゆうげん	のれたよー
19:36	あすか 11/19 8/11	来週ほんと大丈夫？会えるのは嬉しいけどココ最近毎週やから
19:36	あすか 11/19 8/11	無理せんでねー
19:37	ゆうげん	多分大丈夫
19:37	ゆうげん	生理きたら考えるかも
19:37	あすか 11/19 8/11	"いや、生理きてもこんでも
もうタイミングはあんまりよくないと思う"
19:37	ゆうげん	"生理やと体調的にもね

昨日エッチしとけば良かった"
19:38	あすか 11/19 8/11	"7/26からの生理やったら
8/10前後が排卵予定日に
なってたから6.7日の週末
ちょうどいいなと思ったけど"
19:38	あすか 11/19 8/11	30日現在来てないから
19:39	あすか 11/19 8/11	排卵予定日も遅れるやろうし
19:40	あすか 11/19 8/11	6.7日会えたらいいなって思ったのは妊活のタイミングが良さげやったからやから
19:40	あすか 11/19 8/11	ほんと無理せんといてね
19:41	あすか 11/19 8/11	乗り換えれた？
19:42	ゆうげん	nottayo
19:42	ゆうげん	乗ったよ
19:42	ゆうげん	なかなかチャンスないね
19:44	あすか 11/19 8/11	旅行中タイミングよかったらめっちゃいいのにねー
19:44	あすか 11/19 8/11	排卵周期狂ってて前回ので妊娠してる可能性もあるけど、、(笑)
19:44	あすか 11/19 8/11	無事乗り換えられたのね、よかった
19:47	ゆうげん	俺もなんか
19:47	ゆうげん	前回の有り得るきがする
19:47	ゆうげん	俺そういうの持ってるから
20:02	あすか 11/19 8/11	私は今回はない気がするな〜
20:02	あすか 11/19 8/11	そういうの持ってるってどゆことや
20:02	ゆうげん	妊娠確率高いの
20:02	ゆうげん	ナギの時もやし
20:03	あすか 11/19 8/11	ナギの時はタイミングがドンピシャやったからね
20:28	ゆうげん	まあ楽しみ
20:28	ゆうげん	次の子
20:28	ゆうげん	もう楽しみ
20:59	あすか 11/19 8/11	そうやね、いつやろうと授かれたら幸せやし楽しみ
20:59	あすか 11/19 8/11	お風呂はいってたよー
21:00	あすか 11/19 8/11	バス乗った？
21:00	ゆうげん	ナギだけでもだいぶ賑やかやのにね
21:00	ゆうげん	乗ったよー
21:00	ゆうげん	家族って
21:00	ゆうげん	ほんま幸せの塊
21:00	ゆうげん	俺は結婚して
21:00	ゆうげん	ほんまよかったと思ってる
21:01	あすか 11/19 8/11	ね、賑やかよね
21:01	あすか 11/19 8/11	そかそか、乗ったのね
21:01	あすか 11/19 8/11	"明日早朝の到着やけど
お家ではゆっくりしてねー"
21:02	あすか 11/19 8/11	うんうん、幸せよね
21:02	あすか 11/19 8/11	大変なこともいっぱいやけど
21:02	あすか 11/19 8/11	それ以上の幸せはあるよね
21:02	あすか 11/19 8/11	結婚は私もほんと良かったよ
21:03	ゆうげん	家たって
21:03	ゆうげん	そこからまた
21:04	ゆうげん	"2人の
家族の思い出重ねていきたい"
21:11	ゆうげん	あとはシンプルに
21:11	ゆうげん	あすかとイチャイチャしたい
21:11	ゆうげん	カップルしたい
21:31	あすか 11/19 8/11	"そだね、マイホーム建ったら
また思い出重ねていきたいね"
21:31	あすか 11/19 8/11	家族だけの時間
21:31	あすか 11/19 8/11	また楽しみやね！
21:32	あすか 11/19 8/11	夜の夫婦時間も楽しみ
21:32	ゆうげん	ちょっとやらしい
21:32	ゆうげん	映画みよね
21:44	あすか 11/19 8/11	映画みたい！
21:44	あすか 11/19 8/11	そういえば
21:44	あすか 11/19 8/11	梛と3人のうちに
21:44	あすか 11/19 8/11	ディズニー行きたかったね

2022/07/31(日)
06:20	ゆうげん	おはよう
06:21	ゆうげん	家ついたで
06:57	あすか 11/19 8/11	おはよ
06:57	あすか 11/19 8/11	無事ついたのね、おかえり
06:57	ゆうげん	"シャワー浴びて寝ます
めっちゃ眠い"
06:57	ゆうげん	[スタンプ]
06:57	ゆうげん	大好きすーちゃん
07:51	あすか 11/19 8/11	うんうん、しっかり寝てね
07:51	あすか 11/19 8/11	すーちゃん(笑)
08:53	ゆうげん	やばい
08:53	ゆうげん	お風呂入らず寝て
08:54	ゆうげん	めっちゃ臭い
08:54	ゆうげん	汗臭い
08:54	ゆうげん	すーちゃん
08:54	ゆうげん	いつまでもすーちゃん
08:54	ゆうげん	20、30、40歳なってもすーちゃん
08:57	あすか 11/19 8/11	シャワー浴びといでー
08:57	あすか 11/19 8/11	いつまでもすーちゃんでどゆことや(笑)
09:01	ゆうげん	年齢関係ないってこった
09:01	ゆうげん	[スタンプ]
09:11	あすか 11/19 8/11	あるある
09:11	あすか 11/19 8/11	[スタンプ]
09:11	あすか 11/19 8/11	[写真]
09:11	あすか 11/19 8/11	[写真]
09:11	あすか 11/19 8/11	これほしいなー
09:15	ゆうげん	デカない?
09:17	ゆうげん	水筒でオシャレなのがいいのか
09:18	ゆうげん	これがいいのか
09:18	あすか 11/19 8/11	こういうのがいい
09:18	ゆうげん	ステンレスじゃなくてプラスチックがいいの?
09:22	あすか 11/19 8/11	うん、軽いよね？その方が
09:26	ゆうげん	おっけ
09:26	ゆうげん	これっぽいので
09:26	ゆうげん	保温効果のやつ
09:26	ゆうげん	週末までに探す
09:31	あすか 11/19 8/11	保温はいいよー
09:31	あすか 11/19 8/11	常温の水のがいいから
09:32	ゆうげん	むぅ
09:37	あすか 11/19 8/11	家でいつもペットボトルで水飲んでるけど、毎回ペットボトル買い足すの勿体ない＆めんどくさいし、だからと言って大きいペットボトル買っていちいちコップに注ぐのは飲む回数減りそうやし、こういうの欲しいなーと。
09:37	ゆうげん	ふむ
09:37	ゆうげん	おっけい
09:39	あすか 11/19 8/11	あれが1番好みかな〜
09:40	あすか 11/19 8/11	"冷たい方がおいしいけど、
胃腸にはあんまりよくないから
常温で大丈夫〜"
09:41	ゆうげん	探します
09:41	ゆうげん	画像のはいいけど
09:41	ゆうげん	評価低いしamazonはあんまり信用ならん
09:42	あすか 11/19 8/11	なんでもいいけどプラスチックかなんかの軽いヤツでメモリ書いてるやつでペットボトルで飲むみたいに飲みやすいやつ
09:42	あすか 11/19 8/11	見た目もあんな感じがいい
09:42	あすか 11/19 8/11	お願い致します
09:42	あすか 11/19 8/11	[スタンプ]
09:45	ゆうげん	あいあいさー
09:54	あすか 11/19 8/11	マイホーム建ったら
09:54	あすか 11/19 8/11	[写真]
09:54	あすか 11/19 8/11	"こういうのほしーな。。
子どものハンガーラック"
09:55	あすか 11/19 8/11	いいの見つからん
10:14	ゆうげん	木製のやつ?
10:14	ゆうげん	ブラウンがいいの?
10:40	あすか 11/19 8/11	いや、この画像の色は違うなーて思ってて
10:40	あすか 11/19 8/11	いいの見つからない
10:41	ゆうげん	あんまり子どもすぎても
10:41	ゆうげん	時期超えたら使えんから
10:42	ゆうげん	使い捨てというか数年くらいで見るならそこまでいいのは要らんかもね
10:51	あすか 11/19 8/11	なんかね
10:51	あすか 11/19 8/11	[写真]
10:51	あすか 11/19 8/11	こんな感じで置いとく服もあってもいいかなって思ったんよ
10:53	あすか 11/19 8/11	"新しく買った服を2~3着かけて
写真撮るのもいいなーて。
普段はよく着る服とかかけててもいいと思うし、幼稚園、小学校、中学校、それ以降でも、制服と鞄とか置いとくのにもいいなって思うし"
10:59	ゆうげん	[写真]
10:59	ゆうげん	こんなんは?
11:00	ゆうげん	[写真]
11:00	ゆうげん	[写真]
11:10	あすか 11/19 8/11	横幅的には真ん中がいいけど
11:10	あすか 11/19 8/11	下に台？というか。。なんか置けるようになってるのがいいかなぁ
11:11	ゆうげん	ふむ
11:11	ゆうげん	ローラーは?
