ゆうげん	あすか
17:18	あすか 11/19 8/11	"ゆーくん寝る時の服とか
うちの実家においてる服とかで
父の家持っていっといて
ほしいやつある？"
17:19	ゆうげん	なら何買っても良さそうやな
17:19	ゆうげん	下着と寝巻きくらいかな
17:24	あすか 11/19 8/11	スーパーでなんか買お
17:24	あすか 11/19 8/11	おけ！
17:32	あすか 11/19 8/11	ちなみに父の家はめっちゃ雑やけどこんな感じかな
17:33	あすか 11/19 8/11	[写真]
17:33	ゆうげん	広いなぁ
17:33	あすか 11/19 8/11	"でも本間めっちゃもの多いから
狭く感じるよ"
17:34	あすか 11/19 8/11	男の一人暮らし✖️事務所
17:34	ゆうげん	ほとんど仕事やん
17:34	ゆうげん	刑務所に見えた
17:34	あすか 11/19 8/11	そう、会社やからね
17:34	あすか 11/19 8/11	このイメージでいてて（笑）
18:27	ゆうげん	おけけ
18:28	ゆうげん	28,29,30ここにおるの?
20:00	あすか 11/19 8/11	"31日の晩ご飯くらいには
棚橋の実家に帰れたらと
思ってるけどまだわかんない"
20:01	ゆうげん	[写真]
20:01	ゆうげん	圧迫感
20:10	ゆうげん	辛子明太子特売やから
20:10	ゆうげん	今日明太子
20:18	ゆうげん	☎ 通話をキャンセルしました
21:06	あすか 11/19 8/11	☎ 通話時間 4:35
21:49	あすか 11/19 8/11	お疲れ様
21:49	あすか 11/19 8/11	やばいね
21:49	ゆうげん	ここにカーテン引く予定
21:50	あすか 11/19 8/11	なるほど！
21:50	ゆうげん	突っ張り棒とカーテンね
21:54	あすか 11/19 8/11	うんうん
21:54	あすか 11/19 8/11	見えなくなる感じやね
21:59	ゆうげん	酔った
22:00	あすか 11/19 8/11	"昨日体調良くなかったのに
あんまり飲んじゃだめよ"
22:00	あすか 11/19 8/11	もう
22:00	あすか 11/19 8/11	怒
22:00	ゆうげん	ごめんや
22:00	ゆうげん	楽しみが
22:00	ゆうげん	ないねん
22:00	あすか 11/19 8/11	体調は大丈夫？
22:01	ゆうげん	大阪オミクロン(っ･д･)=⊃)ﾟ３ﾟ)'∴:.
22:01	ゆうげん	大丈夫よー
22:04	あすか 11/19 8/11	"寝屋川？やっけ？
市中感染でたね"
22:05	ゆうげん	もー
22:05	あすか 11/19 8/11	"ゆー君、バスもやけど、
行きの飛行機も気をつけてね。
国際線と国内線やから
場所も違うけど空港内で
どんな人とすれ違うか
わかんないし"
22:05	ゆうげん	もちろん
22:06	あすか 11/19 8/11	マスクは不織布ね
22:06	ゆうげん	あい
22:06	あすか 11/19 8/11	"除菌ももちろんやし
極力マスク外さず頑張ってね"
22:07	ゆうげん	もちもち
22:21	あすか 11/19 8/11	"今日冬至やから南瓜食べて
柚子風呂入ったよ"
22:21	あすか 11/19 8/11	[写真]
22:21	あすか 11/19 8/11	[写真]
22:21	あすか 11/19 8/11	[写真]
22:21	あすか 11/19 8/11	[写真]
22:21	あすか 11/19 8/11	[写真]
22:21	あすか 11/19 8/11	[動画]
22:22	ゆうげん	めっちゃ笑顔
22:22	ゆうげん	だれふゆいたるさん
22:22	あすか 11/19 8/11	？
22:23	ゆうげん	"冬至
ふゆいたる"
22:23	あすか 11/19 8/11	なるほど
22:29	ゆうげん	これなんて読むのー
22:30	あすか 11/19 8/11	とうじ
22:31	あすか 11/19 8/11	冬至知らないか
22:31	あすか 11/19 8/11	日本の風習
22:31	ゆうげん	意味は??
22:34	あすか 11/19 8/11	無病息災を願うの
22:34	ゆうげん	調べやがったな
22:35	あすか 11/19 8/11	冬至に無病息災を願うことは知ってるわ調べる前からw
22:35	あすか 11/19 8/11	[写真]
22:35	あすか 11/19 8/11	[写真]
22:35	ゆうげん	えらいやん
22:35	あすか 11/19 8/11	詳しくはこちら
22:36	ゆうげん	ポジティブやん
22:36	ゆうげん	冬至
22:36	あすか 11/19 8/11	今年の冬至は今日らしく
22:36	あすか 11/19 8/11	"梛もかぼちゃ食べて
柚子風呂入った"
22:37	ゆうげん	かぼちゃ
22:37	ゆうげん	食べればよかった
22:37	ゆうげん	なぎちゃんかぼちゃ好きやでね
22:37	あすか 11/19 8/11	来年からは一緒に冬至も過ごせるかなあ
22:38	あすか 11/19 8/11	その時は一緒にかぼちゃ料理食べて柚子風呂入ろ
22:38	あすか 11/19 8/11	うん、なぎかぼちゃ大好き
22:38	ゆうげん	年のイベント全部クリアしよ
22:39	あすか 11/19 8/11	[写真]
22:39	あすか 11/19 8/11	梛が積んだ
22:39	ゆうげん	おーー
22:39	ゆうげん	ママノー手助け?
22:39	あすか 11/19 8/11	うん、助けてない
22:40	あすか 11/19 8/11	1番上のは無理かなって思ったけど手で置ける向きにして置いてた
22:40	あすか 11/19 8/11	"この後失敗もしてるから
まぐれかな笑
でもすごい"
22:40	ゆうげん	すごいすごい
22:40	ゆうげん	なぎちゃんすごい
22:40	ゆうげん	この1ヶ月足らずで
22:40	ゆうげん	進化がやばい
22:41	ゆうげん	ママの苦労の賜物やね
22:45	あすか 11/19 8/11	梛が色んなことに興味示して楽しんでるだけよ
22:45	ゆうげん	その分夜も大変やろうし
22:45	ゆうげん	ありがとうね
22:46	あすか 11/19 8/11	ナギとお昼寝しちゃったりすることもあるし大丈夫
22:46	あすか 11/19 8/11	夜泣き対応中はイライラしちゃうけど
22:46	あすか 11/19 8/11	今しかないことやもんね
22:48	あすか 11/19 8/11	(📞´-`)oO
22:49	ゆうげん	まあ待て待て
22:49	あすか 11/19 8/11	(- - )ヾ
23:03	あすか 11/19 8/11	？
23:18	あすか 11/19 8/11	どした
23:18	あすか 11/19 8/11	大丈夫？

2021/12/23(木)
08:30	ゆうげん	寝てもうてた
08:47	あすか 11/19 8/11	おはよ
08:47	あすか 11/19 8/11	大丈夫？
09:01	ゆうげん	大丈夫!
09:01	ゆうげん	なぎちゃんの足のサイズ
09:01	ゆうげん	14でかいかな
10:45	あすか 11/19 8/11	でかいと思う💭
10:45	あすか 11/19 8/11	今多分12センチ履いてる
12:37	あすか 11/19 8/11	元気？
12:37	ゆうげん	げんきよー
13:23	あすか 11/19 8/11	よかった
13:23	あすか 11/19 8/11	"マイナンバー確認できたから
記入しとくけどこれこっちから
出したら良い？"
13:37	ゆうげん	そやね
13:37	ゆうげん	出しといてもらったら助かる
14:01	あすか 11/19 8/11	了解
14:02	あすか 11/19 8/11	"なんか封筒に自分の住所書くとこあったと思うけど、そこは
ゆー君の名前とゆー君の住所書いとくね？"
14:04	あすか 11/19 8/11	あ、あと
14:04	あすか 11/19 8/11	年賀状ゆー君にお願いしてたけどうちの実家に届けられたからみんなに一言書いて出しとくね
14:04	あすか 11/19 8/11	[写真]
14:04	ゆうげん	それでお願い
14:04	あすか 11/19 8/11	こんな感じ〜
14:04	ゆうげん	かわいい
14:05	ゆうげん	いいかんじ
14:06	あすか 11/19 8/11	[動画]
14:06	あすか 11/19 8/11	今日はかーりにひと足早いクリスマスプレゼントもらったよ
14:12	ゆうげん	おーー
14:12	ゆうげん	めっちゃいっぱい
14:31	あすか 11/19 8/11	お菓子大量
14:45	ゆうげん	なぎちゃん大喜びや
15:48	あすか 11/19 8/11	うん、大喜びよ
15:48	あすか 11/19 8/11	おままごとも楽しみ
15:48	あすか 11/19 8/11	渡すの
16:30	ゆうげん	喜ぶかはわからんけど
16:30	ゆうげん	いっぱい遊んでくれるといいな
16:34	あすか 11/19 8/11	だね
16:34	あすか 11/19 8/11	梛ちゃんにリュック買いたいなぁ
16:38	ゆうげん	どんなやつ??
16:38	ゆうげん	買っとくで
17:08	あすか 11/19 8/11	"ネットではこれっていうの
まだ見つけてないんよなぁ"
17:38	ゆうげん	シンプルなん?
17:38	ゆうげん	なにいろ??
17:50	あすか 11/19 8/11	"シンプルなのがいいね！
色は、、なんやろ、、"
17:52	ゆうげん	生地は?
17:52	ゆうげん	汚れに強いナイロンみたいなんか
17:52	ゆうげん	コットンみたいなキャンバス地か
17:52	ゆうげん	ふわふわか
17:55	ゆうげん	[写真]
17:55	あすか 11/19 8/11	今は機能性より背負ってて可愛い感じのがいいかなぁ
17:56	ゆうげん	[写真]
17:56	ゆうげん	[写真]
18:00	あすか 11/19 8/11	うーーーん
18:00	あすか 11/19 8/11	ZOZOは見たんやけどね
18:00	あすか 11/19 8/11	あんまりかなぁ
19:03	ゆうげん	また気になるのあったら
19:03	ゆうげん	おせーてや
19:08	あすか 11/19 8/11	うん、ありがと
20:12	ゆうげん	またゆっくり探そね

2021/12/24(金)
08:32	ゆうげん	おはようー
08:54	あすか 11/19 8/11	おはよ
08:54	あすか 11/19 8/11	寝かしつけてそのまま寝落ちしちゃってた
08:54	あすか 11/19 8/11	今日は出社かな
08:54	あすか 11/19 8/11	気をつけてね
10:02	ゆうげん	メリクリイヴーー
10:02	ゆうげん	なぎちゃんコスプレ
10:02	ゆうげん	楽しみにしてる
10:29	ゆうげん	別居手当
10:29	ゆうげん	34000もあった
13:17	あすか 11/19 8/11	メリクリイヴー(emoji)(emoji)(emoji)(emoji)(emoji)
13:17	あすか 11/19 8/11	え、そうなの！
13:28	ゆうげん	28000くらいやと思った
14:37	ゆうげん	あと今回の給付金で
14:37	ゆうげん	ママのiPhone買おか
14:37	ゆうげん	se
15:58	ゆうげん	映画
15:58	ゆうげん	29日までやで
16:04	ゆうげん	いっしょにいくなら
16:04	ゆうげん	29日の4時間ぐらいなぎちゃん預けないと
16:35	あすか 11/19 8/11	名義変えなきゃなiPhone
16:36	あすか 11/19 8/11	いつやったかな，昨日か一昨日くらいに鳳アリオのトーホーシネマのサイトみた
16:36	あすか 11/19 8/11	12/24公開で29にもうおわるん？
16:47	ゆうげん	いや
16:47	ゆうげん	年末年始やってないっぽいから
16:47	ゆうげん	29までっぽい
16:47	ゆうげん	一緒に見れるチャンスは
16:48	ゆうげん	"今日仕事終わったら亀戸のユニクロによるから19:30〜20:00位からは通話できるよ

ケーキ食べるの?"
16:50	あすか 11/19 8/11	あ、なるほどね！
16:50	あすか 11/19 8/11	了解！東京でも市中感染出てるし気をつけてね
16:50	ゆうげん	おけけ
16:50	あすか 11/19 8/11	[写真]
16:50	あすか 11/19 8/11	ケーキ食べるよ
16:50	あすか 11/19 8/11	[写真]
16:51	ゆうげん	"いいね
楽しみ"
16:51	ゆうげん	"お皿あげたいなぁ
オシャレなやつ"
16:51	あすか 11/19 8/11	"ご飯は

雪だるまおにぎり
チキンナゲット
サツマイモサラダ"
16:51	あすか 11/19 8/11	[写真]
16:51	あすか 11/19 8/11	[写真]
16:51	あすか 11/19 8/11	[写真]
16:51	ゆうげん	なんか面白い
16:51	ゆうげん	可愛いけど
16:51	あすか 11/19 8/11	動き回って言うこと聞かんから写真撮られへん
16:52	あすか 11/19 8/11	[写真]
16:52	あすか 11/19 8/11	[写真]
16:52	あすか 11/19 8/11	こんなんばっか
16:52	あすか 11/19 8/11	もう諦めた笑
16:53	あすか 11/19 8/11	[写真]
16:59	ゆうげん	十分可愛い
17:01	あすか 11/19 8/11	お義母さんたちにも写真送ろうっと
17:01	あすか 11/19 8/11	"年末年始さ、どうしよ、、
会える日あるかなぁ"
17:36	ゆうげん	結局るかいは帰らんと
17:37	ゆうげん	もえみも年越し直前やから
17:37	ゆうげん	1/1やろな
17:37	ゆうげん	行けて
17:44	ゆうげん	あとは30
18:39	あすか 11/19 8/11	"お家にお邪魔するより
外で会う方がいいかなって
思ってるけど。。
どうしようかな。。"
18:39	あすか 11/19 8/11	公園とか
18:43	ゆうげん	"いや
来てもらうでも行くでも"
18:43	ゆうげん	そっちの方が中途半端やし時間縛っちゃうやん
18:53	ゆうげん	☎ 通話をキャンセルしました
18:57	あすか 11/19 8/11	まぁそうやねんけどコロナ市中感染出てるし高齢者も、、て思ったら、、さ
18:58	あすか 11/19 8/11	外がマシかなって思ったけどどうやら
18:58	あすか 11/19 8/11	ろ
19:11	あすか 11/19 8/11	☎ 通話時間 12:42
19:11	あすか 11/19 8/11	気をつけて帰ってね
19:11	ゆうげん	地下でめっちゃ回線悪いから
19:11	ゆうげん	後でかけ直すな
19:11	あすか 11/19 8/11	おけおけ
19:11	あすか 11/19 8/11	待ってるね
19:44	あすか 11/19 8/11	パパ
19:45	あすか 11/19 8/11	もうすぐご飯はじまるよ
19:45	ゆうげん	チャリや
19:55	ゆうげん	もう食べてる?
19:56	あすか 11/19 8/11	いえす
19:56	ゆうげん	今受け取り中
21:06	ゆうげん	☎ 通話時間 1:04:19
21:12	ゆうげん	切れた
21:12	ゆうげん	回線悪いから
21:50	ゆうげん	上がった?
22:18	あすか 11/19 8/11	上がって寝かせてた
22:20	ゆうげん	お疲れ様
22:22	あすか 11/19 8/11	パパもお仕事お疲れ様
22:29	ゆうげん	つかれたー
22:29	ゆうげん	全然クリスマス感ないー
22:33	あすか 11/19 8/11	そだよね
22:33	あすか 11/19 8/11	明日クリスマス
22:34	あすか 11/19 8/11	なぎちゃんにプレゼント渡す時パパ起きてるかな
22:34	ゆうげん	頑張って起きるよ
22:38	あすか 11/19 8/11	起きてそのままリビング降りたらプレゼントおいてるって感じにする
22:38	ゆうげん	ケーキナギも可愛かったから
22:38	あすか 11/19 8/11	8:30前後かな
22:38	ゆうげん	期待
22:39	あすか 11/19 8/11	"ケーキやばかったね（笑）
めっちゃ必死に食べてた"
22:53	ゆうげん	なぎちゃんほんま
22:53	ゆうげん	食に貪欲
22:56	あすか 11/19 8/11	これで固まってた、切れる前
22:56	あすか 11/19 8/11	ね、ほんとよく食べる
23:08	ゆうげん	なんやこの顔
23:08	ゆうげん	食べるのはいいことや
23:09	あすか 11/19 8/11	[写真]
23:09	あすか 11/19 8/11	[写真]
23:09	あすか 11/19 8/11	[動画]
23:11	ゆうげん	めちゃ真剣
23:11	ゆうげん	プレゼント今晩おくの?
23:22	あすか 11/19 8/11	ね、真剣（笑）
23:22	あすか 11/19 8/11	そうやね、今からセッティングしとこかな！
23:24	ゆうげん	俺も絶対明日はよ起きよ
23:33	あすか 11/19 8/11	ファイト
23:33	あすか 11/19 8/11	！
23:38	ゆうげん	☎ 通話時間 0:59
23:39	ゆうげん	切手買いに行って
23:39	ゆうげん	☎ 通話をキャンセルしました
23:39	あすか 11/19 8/11	☎ 不在着信
23:40	ゆうげん	☎ 通話時間 0:58
23:40	あすか 11/19 8/11	☎ 不在着信
23:41	あすか 11/19 8/11	☎ 通話をキャンセルしました
23:44	あすか 11/19 8/11	☎ 通話時間 2:54

2021/12/25(土)
00:10	ゆうげん	いったん
00:10	ゆうげん	病院いって
00:10	ゆうげん	縫うらしい
00:11	あすか 11/19 8/11	それだけで済んだらいいけど…
00:11	あすか 11/19 8/11	震え止まらんよ
00:15	ゆうげん	ごめんな
00:15	ゆうげん	まじで
00:15	あすか 11/19 8/11	縫うだけじゃなくて脳に異常ないかとか必ずみてもらって
00:16	ゆうげん	わかった
00:16	あすか 11/19 8/11	ゆー君が難しければ誰かにちゃんと私に連絡させて
00:16	ゆうげん	わかった
00:16	ゆうげん	ごめん
00:16	あすか 11/19 8/11	傷はあっても無事でいて欲しい
00:17	あすか 11/19 8/11	他は無事でいてほしい
00:17	あすか 11/19 8/11	連絡待ってる
00:17	ゆうげん	大丈夫
00:17	ゆうげん	大丈夫
00:17	ゆうげん	ほんまに心配かけてごめん
00:17	ゆうげん	こんな時に
00:17	あすか 11/19 8/11	今は大丈夫でも数分後はわからんじゃん
00:17	あすか 11/19 8/11	iPhone見ずにゆっくりしてて
00:18	あすか 11/19 8/11	ちゃーーんと診てもらって
00:56	ゆうげん	とりあえず
00:56	ゆうげん	塗ってもらって
00:56	ゆうげん	縫って
00:56	ゆうげん	貰って
00:56	ゆうげん	今からCTスキャン
00:57	あすか 11/19 8/11	うん、連絡ありがとう
00:57	あすか 11/19 8/11	大丈夫？
00:57	ゆうげん	血はとまって
00:57	ゆうげん	他に外傷もなし
00:57	あすか 11/19 8/11	ずっと連絡待ってるから
00:58	ゆうげん	痺れ、動かないとかもないよ
00:58	あすか 11/19 8/11	お願いやから無事でいて
00:58	ゆうげん	[写真]
00:58	あすか 11/19 8/11	結構傷深いの？
00:59	あすか 11/19 8/11	"もう傷はアレやけど…
ホント他は無事でいてほしい"
00:59	ゆうげん	幅は5センチで今は縫って色々止まった
00:59	あすか 11/19 8/11	祈るしかできない
00:59	あすか 11/19 8/11	ごめん
01:08	ゆうげん	CT撮って
01:08	ゆうげん	結果まち
01:09	あすか 11/19 8/11	お疲れ様
01:09	あすか 11/19 8/11	連絡ありがとうね
01:09	ゆうげん	いや
01:09	ゆうげん	完全に俺の不注意
01:09	あすか 11/19 8/11	ホント傷以外は無事でありますように
01:10	ゆうげん	年末の、クリスマスの
01:10	ゆうげん	色々ごめん
01:10	あすか 11/19 8/11	そばに居たかった
01:11	ゆうげん	"多分何も無ければこのまま帰宅
1週間以上後で傷口縫ったものとる"
01:11	ゆうげん	入院は多分なし
01:11	あすか 11/19 8/11	何も無いこと祈ってる
01:11	あすか 11/19 8/11	ホント無事でいてほしい
01:12	ゆうげん	自分の傷より
01:12	ゆうげん	ママにこうやって心配かけたのが
01:13	ゆうげん	辛い
01:14	あすか 11/19 8/11	もう離れていたくない…
01:15	ゆうげん	"まじでごめん
いっぱい心臓バクバクさせたよな
吐きそうになったよな"
01:17	あすか 11/19 8/11	ほんと吐きそうなくらいバクバクしたし震えた
01:17	あすか 11/19 8/11	まだ安心できない
01:17	あすか 11/19 8/11	こわい
01:18	ゆうげん	落ち着いて
01:18	ゆうげん	まま
01:18	ゆうげん	ママがやられたら
01:18	ゆうげん	俺までやられちゃう
01:18	あすか 11/19 8/11	ごめん
01:18	ゆうげん	ううん
01:18	ゆうげん	追い詰めすぎないで
01:18	ゆうげん	心配してもらってるのは
01:18	ゆうげん	すごく嬉しいから
01:18	あすか 11/19 8/11	今すぐ会いたいもうほんとに
01:27	ゆうげん	まだ結果来ない
01:27	あすか 11/19 8/11	…
01:27	あすか 11/19 8/11	今横になってるの？
01:27	ゆうげん	横になってる
01:28	あすか 11/19 8/11	気持ち悪さは落ち着いてる？
01:28	ゆうげん	それは病院着いた時から
01:28	ゆうげん	落ち着いてる
01:29	あすか 11/19 8/11	そかそか…
01:37	ゆうげん	CTすきゃん大丈夫やっっt
01:38	あすか 11/19 8/11	脳とか異常なにもなかった？
01:38	あすか 11/19 8/11	今日帰るの？
01:43	あすか 11/19 8/11	大丈夫？
01:51	ゆうげん	今日帰るよ
01:51	ゆうげん	今タクシー
01:51	ゆうげん	読んでる
01:52	あすか 11/19 8/11	ほんとに大丈夫？
01:52	あすか 11/19 8/11	タクシーで帰るんやね
01:53	あすか 11/19 8/11	しっかり休んでね
02:01	ゆうげん	大丈夫よ
02:01	ゆうげん	ほんまにごめんね
02:01	ゆうげん	まじで安静にする
02:02	あすか 11/19 8/11	タクシーきた？
02:02	あすか 11/19 8/11	ホント安静にしてて
02:02	あすか 11/19 8/11	頭痛い？
02:15	ゆうげん	お家ついたよ
02:15	ゆうげん	頭大丈夫
02:15	ゆうげん	ちょっと横になって寝れそうなら寝るね
02:39	あすか 11/19 8/11	寝れてるんかな
02:59	ゆうげん	"ママごめん
実は"
02:59	ゆうげん	自転車道端のやつ使ってて
02:59	ゆうげん	警察来てる
03:01	ゆうげん	色々やらかした
03:02	あすか 11/19 8/11	え、大丈夫…？
03:02	ゆうげん	"大丈夫
一応もうしないようにって"
03:02	ゆうげん	書類書いてる
03:02	あすか 11/19 8/11	身体大丈夫？
03:02	ゆうげん	まじで心配かけてごめんね
03:02	ゆうげん	体大丈夫
03:02	ゆうげん	電話番号貰っていい?
03:03	あすか 11/19 8/11	090 6825 4895
03:04	ゆうげん	ありがとう
03:04	あすか 11/19 8/11	"どこいるの？今
おうち近い？"
03:04	ゆうげん	"帰ったら言うね
おうち近いよ"
03:04	ゆうげん	刑務所
03:04	ゆうげん	ちゃう
03:04	ゆうげん	警察署
03:04	あすか 11/19 8/11	どうやって行ってどうやって帰った？大丈夫？
03:04	ゆうげん	行きはパト
03:05	ゆうげん	帰りはタクシー
03:05	あすか 11/19 8/11	そか、気をつけてね
03:06	あすか 11/19 8/11	寒いだろうし早く身体休めたいだろうし
03:06	ゆうげん	ダウン着込んでるから
03:06	ゆうげん	そこは大丈夫
03:08	あすか 11/19 8/11	とにかく今は傷だけで済んだのがほんとに良かった。なんかまだ不安やけどひとまず…
03:08	ゆうげん	あしたもっかい病院行くね
03:09	ゆうげん	頭の状態見るって
03:09	あすか 11/19 8/11	病院来てって？傷の状態見るって？
03:10	あすか 11/19 8/11	"同じ病院いくの？
タクシーかな？
色々気をつけてね"
03:22	ゆうげん	そそ
03:22	ゆうげん	後でね
03:22	ゆうげん	警察から電話くるから
03:22	ゆうげん	出れる?
03:22	あすか 11/19 8/11	うん、出れる
03:22	ゆうげん	もうちょいやけど
03:22	ゆうげん	ありがとう
03:22	ゆうげん	遅くまでほんまにごめん
03:24	あすか 11/19 8/11	コロナまたオミクロンが広まってるしそこも忘れず気をつけよね
03:26	あすか 11/19 8/11	何時に病院いくの？
03:27	ゆうげん	おれらって
03:27	ゆうげん	本籍
03:27	ゆうげん	瑞江にしたっけ
03:27	ゆうげん	明日お昼前に行く
03:28	あすか 11/19 8/11	"うん、本籍瑞江にしてたけど
引っ越した時どうした？
住んでないとこに籍はおけないと思うから変更されてないかな"
03:28	あすか 11/19 8/11	"お昼前か
朝無理して起きなくていいよ
動画撮っとくし
しっかり身体休めて"
03:29	ゆうげん	ありがとう
03:30	あすか 11/19 8/11	全然
03:30	ゆうげん	ママほんまにありがとう
03:30	あすか 11/19 8/11	"連絡できるだけちょうだい
心配"
03:39	あすか 11/19 8/11	電話来るんよね？
03:39	あすか 11/19 8/11	大丈夫？
03:42	ゆうげん	6:00-7:00になるかもって
03:43	あすか 11/19 8/11	電話？帰るの？
03:43	ゆうげん	電話
03:43	ゆうげん	だから帰るのも
03:43	ゆうげん	はぁ
03:43	あすか 11/19 8/11	まじか…
03:43	あすか 11/19 8/11	電話は頑張るけど…
03:44	あすか 11/19 8/11	ゆー君にちゃんと休んで欲しいのに…
03:44	あすか 11/19 8/11	明日も病院なのに…仮眠でも取らせてくれないの…？
03:45	ゆうげん	無理やね
03:45	ゆうげん	はぁ
03:45	ゆうげん	ほんまは携帯も触られへん
03:45	あすか 11/19 8/11	どうやって携帯触ってるの？
03:46	ゆうげん	それくらいの時間になるのはさすがに連絡入れないとって
03:46	ゆうげん	言った
03:47	あすか 11/19 8/11	"私が心配性なのも
単独の事故した直後なのを
ほんとに心配してることも
LINE見せてもいいから
伝えて欲しいくらい心配してる"
03:49	あすか 11/19 8/11	"自転車に関してはゆー君が
悪いのはわかってる。
頭の傷で済んでるから
いけるって思うかも知らん
他人なら。
それでもただほんとに心配"
03:50	あすか 11/19 8/11	十分に眠れずにまた病院行かなきゃいけない時間になるのはほんとに心配。。
05:06	ゆうげん	おきてる?
05:07	ゆうげん	☎ 通話時間 0:11
05:08	ゆうげん	ちょっと待ってな
05:08	あすか 11/19 8/11	了解です
05:11	ゆうげん	俺はもう帰ってる
05:11	ゆうげん	電話行くと思う
05:11	あすか 11/19 8/11	今帰り道？
05:11	ゆうげん	うん
05:11	あすか 11/19 8/11	タクシーとか？
05:11	ゆうげん	"車全然通ってないからとりあえず徒歩
見つけたら乗る"
05:12	ゆうげん	徒歩で10分
05:12	ゆうげん	心配かけてほんまにほんまに
05:12	ゆうげん	ごめんね
05:12	あすか 11/19 8/11	"iPhone見るの気をつけて、
ながらスマホ怖いからね"
05:12	ゆうげん	もちろん
05:12	ゆうげん	無事帰るよ
05:12	ゆうげん	ホンマにごめんね
05:13	ゆうげん	こんな日に
05:13	ゆうげん	ママも寝不足やろうに
05:13	あすか 11/19 8/11	"寒いしおうち帰ったら
温まるなり寝るなり
しっかり休めてね身体"
05:13	あすか 11/19 8/11	私の寝不足はなんとかなるから大丈夫
05:13	ゆうげん	"あったまりすぎたら血が巡るから
適度に温めるね"
05:14	ゆうげん	"だめよ
ママもメンタルやられ気味やのに"
05:14	ゆうげん	最近
05:16	あすか 11/19 8/11	そうやね、適度にね
05:16	あすか 11/19 8/11	警察から電話来たよ
05:16	ゆうげん	ありがとう
05:17	ゆうげん	以後気をつけるね
05:17	あすか 11/19 8/11	また捕まるようなことがあれば逮捕も絡んでくるし…もうやめようね
05:17	ゆうげん	自分の買う
05:17	ゆうげん	まま
05:17	ゆうげん	今こそギューして欲しい
05:18	ゆうげん	"倒れた瞬間やばすぎた
記憶飛んだ"
05:18	あすか 11/19 8/11	"うん、そうしよ。
自分の買お"
05:18	あすか 11/19 8/11	大丈夫？ほんとに
05:18	ゆうげん	大丈夫
05:18	ゆうげん	"縫ったけど
5針ぐらい"
05:18	ゆうげん	初めてぬった
05:19	ゆうげん	でもホチキスみたいなやった
05:19	あすか 11/19 8/11	"無理はして欲しくないけど
予定通り会えたら抱きしめさせてね"
05:19	ゆうげん	うん
05:19	ゆうげん	家族といる時が1番
05:19	あすか 11/19 8/11	"その傷だけならまだよかった。
検査もして大丈夫れて言われても不安やけど、、"
05:20	あすか 11/19 8/11	そうやね、ホントそばにいれたらよかった
05:20	ゆうげん	"明日傷の具合見るけど
飛行機とかは大丈夫そう
来週の出社は相談してみる

あんまり動いたあかんかもしれんし"
05:21	ゆうげん	"あ
段差は痛いわ"
05:21	あすか 11/19 8/11	大丈夫？ほんと気を付けて帰るんよ。
05:22	ゆうげん	もう半分や
05:22	あすか 11/19 8/11	"安静にしてて。
出社はできれば控えてほしいけど…あんまりわがまま言えんよね"
05:35	ゆうげん	☎ 通話時間 13:06
05:35	あすか 11/19 8/11	あんまりAirPods探し回らないでね
05:36	あすか 11/19 8/11	通って少しキョロキョロする程度にしてね
05:36	あすか 11/19 8/11	ほんと気をつけて
05:36	あすか 11/19 8/11	ちゃんとおうち帰ってね
05:36	ゆうげん	もちろん
05:36	ゆうげん	ありがとう
05:36	あすか 11/19 8/11	"いっぱい歩いたし
ホント安静にね"
05:38	ゆうげん	普通に
05:39	ゆうげん	落ちてたわ
05:39	ゆうげん	ぽds
05:39	あすか 11/19 8/11	お家近い？
05:40	ゆうげん	うん
05:40	あすか 11/19 8/11	手洗いうがいと水分だけ少しでもとってとりあえず着替えるかなんかして安静にね
05:40	ゆうげん	うん
05:41	ゆうげん	ついた
05:41	あすか 11/19 8/11	おかえり
05:41	ゆうげん	災難やった
05:41	あすか 11/19 8/11	お疲れ様
05:41	ゆうげん	清く生きよう
05:41	ゆうげん	ユニクロの新品ダウン
05:41	ゆうげん	いきなり血で汚れた
05:42	ゆうげん	あーあ
05:42	あすか 11/19 8/11	"一緒に暮らしてたら
あんな時間に雨の中
出ていかせなかったのに…
ごめんね"
05:42	ゆうげん	ううん
05:42	ゆうげん	ママが正しい
05:42	ゆうげん	ごめんね
05:43	あすか 11/19 8/11	ユニクロのダウンは汚れの具合によっては全然買い替えてね
05:43	ゆうげん	[写真]
05:43	ゆうげん	着いた
05:43	あすか 11/19 8/11	しんどい中たくさん連絡くれて、これがあったからまだ少し落ち着けた
05:44	あすか 11/19 8/11	ありがとう
05:44	あすか 11/19 8/11	無事に着いたんもよかった
05:45	あすか 11/19 8/11	遠くから様子伺うことしかできなくてソワソワしてる
05:47	ゆうげん	☎ 通話時間 0:14
05:47	ゆうげん	あー
05:47	ゆうげん	まあもう寝よ
05:53	あすか 11/19 8/11	☎ 通話時間 5:30
05:54	あすか 11/19 8/11	お疲れ様、寝れなくても横になって安静にね
05:57	ゆうげん	あすか
05:58	ゆうげん	"あすかが奥さんでよかった
こんなに心配して貰えて嬉しい"
06:01	あすか 11/19 8/11	"当たり前よ。
大事な大事な何にもかえられない存在なの。普段から気をつけてねってよく言うけど、ほんとに思ってるからね。色んなこと、気をつけてね。ほんとに。"
06:01	ゆうげん	うん
06:02	ゆうげん	あすかのためにも身体も命も大事にする
