1/19 8/11	今度は23日に帰ってくる？
21:11	あすか 11/19 8/11	時間遅なるけど……
21:11	あすか 11/19 8/11	うーん、、
21:13	あすか 11/19 8/11	18:30にしとくか、、
21:15	ゆうげん	☎ 通話時間 1:07
21:16	ゆうげん	19:00にしたよ
21:18	あすか 11/19 8/11	このメンバーで遊ぶの2回目やからあんま細かいこと聞きづらいねんなー、多分いけると思うけどもし無理なったらごめん、いけるとはおもう
21:19	ゆうげん	"無理って言うのは?
遅くなるのかそもそも行かれへんくなるのか"
21:19	ゆうげん	"行かれへんはアカンで
事前注文やから"
21:20	ゆうげん	1ミリでも行かれへん可能性あるならキャンセルする
21:20	あすか 11/19 8/11	行かれへんくなることはないようにする
21:21	ゆうげん	"さすがにアカンで
金額が金額やし
そんな遠慮するくらいなら最初っから言っといてや
18:30には駅に戻ったかないと行けないって"
21:22	あすか 11/19 8/11	なに遠慮って
21:23	ゆうげん	その遊ぶ人らに
21:23	ゆうげん	最初っから言っといてや
21:23	あすか 11/19 8/11	"行かれへんくなることはないようにする

で解決やのに何でそこに追い打ちでせめてくんのw"
21:23	ゆうげん	"いや
そんなあやふやな感じなのに数万円出せる?"
21:24	あすか 11/19 8/11	"行かれへんくなることはないようにするってあやふやじゃないで、

行けれへんくなることはないようにできると思う

とかならあやふややけど"
21:24	ゆうげん	別に遊ぶのはいいし、ギリギリになるのもいいよ
21:24	ゆうげん	でもさすがに戻ってくるのは確約して
21:25	ゆうげん	"戻ってくる
この一言でいいやん"
21:25	あすか 11/19 8/11	それと同じやん、行かれへんくなることはないようにするってw
21:25	ゆうげん	まあいいや
21:26	あすか 11/19 8/11	カニは別にその日じゃなくてもよかったけど、平日の方が空いてんのかなと思ってその日は？て言っただけ
21:26	ゆうげん	なんで遅れるかもしれんみたいなのがわずかでも含まれてるん
21:26	あすか 11/19 8/11	どこに？w
21:27	ゆうげん	"これやと遅れる可能性も行かれへんくなる可能性も感じる

戻るの一言でいいやん"
21:27	ゆうげん	なんでご飯予約するだけでこんなグダグダなん
21:27	ゆうげん	"時間通りに戻る
これでいいやん"
21:27	あすか 11/19 8/11	自分が勝手に怒ってるだけやんww
21:27	ゆうげん	それなら会うグループに初めから言っとけばいいやん
21:28	あすか 11/19 8/11	"カニ金曜日にするって言ったの、遊ぶ約束した後やしw
それやのにカニ優先で
みんなのこと振り回されへんやん、わからんのかw"
21:29	ゆうげん	"いや
こっちでそう決まったんやから言っとくのが筋やん

それやったらもうキャンセルするで"
21:29	ゆうげん	"そもそも会う時間やってもっと早かったやん

変わったの直前やし"
21:29	あすか 11/19 8/11	とりあえず一番仲いい子にどうなりそうかきいたら5時前後には戻ってると思うって
21:30	あすか 11/19 8/11	"しゃーないやん、誰の家も無理になったんやから

後から予定入れたんはこっちやしw"
21:31	ゆうげん	"いや
金曜ご飯行くってなったのはこっちがさきやん

時間変わったのが後や"
21:31	ゆうげん	とりあえずあんまりグダグダならキャンセルする
21:31	ゆうげん	"行くなら行くでいいやん
また今度ならまた今度"
21:31	あすか 11/19 8/11	その前に会う約束してたから後はこっちやで
21:32	あすか 11/19 8/11	グダグダせんて、5時前後には戻る
21:33	ゆうげん	ならそれでいい

2023/02/20(月)
08:02	あすか 11/19 8/11	おはよう
08:02	あすか 11/19 8/11	Amazonでカラコン買ってもいいですか
08:03	ゆうげん	いいよ
08:03	あすか 11/19 8/11	ありがとう
08:04	ゆうげん	メルカリでやすいのない?
08:05	あすか 11/19 8/11	私目悪いし左右違うから見つけるのムズい
08:06	ゆうげん	わかっts
08:06	ゆうげん	た
08:06	あすか 11/19 8/11	ごめん
08:07	あすか 11/19 8/11	あ、今Amazonのカートに入ってるのって削除していいやつ？
08:07	ゆうげん	いいよ
08:07	あすか 11/19 8/11	おけです
08:09	あすか 11/19 8/11	[写真]
08:09	あすか 11/19 8/11	これはチェックいらんのやったっけ？
08:09	あすか 11/19 8/11	[写真]
08:10	あすか 11/19 8/11	あと、ギフトカード使われてこうなってるけどこれで注文確定していい？
08:10	ゆうげん	ぎふと?
08:10	あすか 11/19 8/11	前話し聞いた時にもらったやつ？
08:10	ゆうげん	おけ
08:10	あすか 11/19 8/11	じゃあこれで注文確定します
08:10	ゆうげん	うい
08:11	あすか 11/19 8/11	これはチェックいらん？
08:14	ゆうげん	いらん
10:49	ゆうげん	カニやけど
10:49	ゆうげん	一応カニ味噌は確定で入ってる
11:00	あすか 11/19 8/11	それは嬉しいありがとう
11:01	あすか 11/19 8/11	[写真]
11:01	あすか 11/19 8/11	[写真]
11:01	あすか 11/19 8/11	これまたコンビニとか行かなあかんやつちゃん
12:00	ゆうげん	あれま
12:01	ゆうげん	クレジットにしたつもりやったけど
12:01	ゆうげん	まあいいや
12:47	あすか 11/19 8/11	保険の17万とかどーしたらいーの
13:14	ゆうげん	俺が帰る時に下ろして
13:14	ゆうげん	金曜にでも振り込む
13:14	ゆうげん	ちゃうわ
13:14	ゆうげん	払う
13:15	あすか 11/19 8/11	どっから下ろすん？
13:28	ゆうげん	ろうきん
13:29	ゆうげん	いや
13:29	ゆうげん	UFJかな
14:25	あすか 11/19 8/11	え、この保険UFJなん？
16:08	ゆうげん	いや下ろす元
17:12	あすか 11/19 8/11	それはわかってるけど
17:12	あすか 11/19 8/11	下ろすのUFJからにするん？UFJって？私が管理してるやつ？
17:12	ゆうげん	いや俺の
17:13	ゆうげん	"今UFJに65
労金に100入ってるから"
17:13	あすか 11/19 8/11	ゆーくんのに65あるんか、17もあるんかなって思った
17:13	ゆうげん	一応引き落としにも耐えれるように持ってる
17:14	あすか 11/19 8/11	電気は今回から口座引き落としかなんかになってるんかな？
17:14	ゆうげん	"保険と外交で120くらいやから
35-40は残るんちゃう"
17:14	ゆうげん	電気はまだなんもしてない
17:14	あすか 11/19 8/11	ガスは払い込みのハガキ届いてたけど
17:14	ゆうげん	やったっけ
17:14	ゆうげん	覚えてない
17:14	あすか 11/19 8/11	これ、保険とガス
17:15	あすか 11/19 8/11	電気はまだ何も届いてなかった
17:15	ゆうげん	ガス安いな
17:16	あすか 11/19 8/11	つい最近払った気がするのにもうハガキ入っててびびった
17:29	ゆうげん	あっという間やね
17:31	ゆうげん	俺なんか税金と固定費で16万くらい飛んでて禿げそう
17:31	ゆうげん	まじで
17:52	あすか 11/19 8/11	まだまだこれからお金かかると思うとやべぇなぁ
17:52	あすか 11/19 8/11	家族増えた分かかるしなぁ
17:52	あすか 11/19 8/11	学校とか行きだしたらやりたいことも出てくるやろし子どもら
17:58	ゆうげん	早く給料上がってくれ
19:03	ゆうげん	頑張るしかない
19:08	ゆうげん	カニ食う時
19:08	ゆうげん	お酒飲めないの辛い
19:08	ゆうげん	あすかは飲んでいいよ
19:19	ゆうげん	24日どんな格好で行く??
20:04	あすか 11/19 8/11	私最近別に飲みたい欲ないから大丈夫
20:04	あすか 11/19 8/11	24日は出かけ先が子どもの遊び場やから、ユニクロのブラウンパンツにベージュに赤い文字？のトレーナー？かな
20:04	あすか 11/19 8/11	さっき中西さんから電話あって
20:05	あすか 11/19 8/11	現場監督ね
20:05	ゆうげん	うむ
20:05	あすか 11/19 8/11	洗面の横のやつとかその他もろもろ確認も含めて松本さんと中西さんが一緒に来たいらしいねんけど
20:05	ゆうげん	うい
20:05	あすか 11/19 8/11	最短24日の朝10:00頃らしいねん
20:06	ゆうげん	うむ
20:06	あすか 11/19 8/11	私もう出かけてるか、出かける直前とかやから
20:06	あすか 11/19 8/11	夫が対応できるか聞いて返事しますって言ったんやけど
20:06	あすか 11/19 8/11	どーやろ
20:06	ゆうげん	俺もずっと対応できるかわからんで
20:06	あすか 11/19 8/11	厳しそうやったら他の日でも大丈夫って言ってたけど
20:06	あすか 11/19 8/11	どーする
20:07	ゆうげん	他の日はいつなん
20:07	あすか 11/19 8/11	今24日しかわからん
20:07	あすか 11/19 8/11	その日私が出かけてて夫がおるけど対応できるかわからんから確認して松本さんに返事しますって言った
20:07	ゆうげん	ずっとは出来へんで
20:08	ゆうげん	今のとこスケジュールはないけど
20:08	あすか 11/19 8/11	じゃあ別日にしとく？
20:08	ゆうげん	別日の候補聞いといて

2023/02/21(火)
09:52	ゆうげん	おはよう
10:23	あすか 11/19 8/11	おはよう
12:30	ゆうげん	明日23:00前後に着くね
12:30	ゆうげん	ご飯はあってもなくても大丈夫よ
12:30	ゆうげん	寝てていいよ
12:31	ゆうげん	明日は何する?
12:31	ゆうげん	公園行きたいなぁ
12:37	ゆうげん	あと次の排卵日はいつ??
13:31	あすか 11/19 8/11	了解です
13:32	あすか 11/19 8/11	わかんないなぁ、生理きてない
13:57	ゆうげん	今血は出てる?
17:00	ゆうげん	まあ
17:00	ゆうげん	子どももそうやし
17:00	ゆうげん	シンプルにしたい
20:45	あすか 11/19 8/11	ううん、前回バイバイした日からずっと出血はないし生理も来てない
20:54	ゆうげん	不安やね
20:54	ゆうげん	病院行った?

2023/02/22(水)
07:30	あすか 11/19 8/11	病院行ってない
07:30	あすか 11/19 8/11	そして生理きたっぽい
07:36	ゆうげん	きたか
07:49	ゆうげん	よかったけど残念
10:06	あすか 11/19 8/11	最近の情緒と爆食具合で生理来そうな気がするなーとかは思っててんけど
10:07	あすか 11/19 8/11	昨日朝ちょっとお腹痛かったからきたかな？ておもったら来てなくて、今朝もお腹痛かったからきてるかなって思ったら来てた
10:08	ゆうげん	そんなに食べてたのか
10:08	あすか 11/19 8/11	なんかずーっと食べてたしおなかいっぱいにならんかった
10:10	ゆうげん	"ふむ
とりあえず無理せずね"
17:42	あすか 11/19 8/11	ほい
19:08	ゆうげん	21:30に新大阪
19:08	ゆうげん	23:00前には家着くね
19:13	ゆうげん	とりあえずチューしたい
20:26	あすか 11/19 8/11	気をつけてね
20:27	あすか 11/19 8/11	まずお風呂だね
21:45	ゆうげん	さきちゅ
21:53	ゆうげん	もう南海
21:53	ゆうげん	10:30くらいt
22:15	あすか 11/19 8/11	ＮＯ
22:15	あすか 11/19 8/11	おけ
22:28	ゆうげん	北助松
22:28	ゆうげん	ついた
22:34	ゆうげん	トイレよってた
22:34	ゆうげん	むかう

2023/02/23(木)
16:52	あすか 11/19 8/11	https://item.rakuten.co.jp/kyarahouse/7088024/

2023/02/24(金)
13:34	あすか 11/19 8/11	[写真]
13:34	あすか 11/19 8/11	1人だけ汗やばい
13:41	ゆうげん	びちゃびちゃやん
13:46	ゆうげん	楽しそうでよかった

2023/02/26(日)
10:48	あすか 11/19 8/11	https://item.rakuten.co.jp/emoorbaby/ko-ta-0013/?iasid=07rpp_10097___e0-ld7b8kvu-7y-8e5f643e-c260-440d-a1ae-09ec991df3ab
10:48	あすか 11/19 8/11	https://item.rakuten.co.jp/hakusan/tom0947/
10:48	あすか 11/19 8/11	https://item.rakuten.co.jp/hakusan/tom0844/
10:50	あすか 11/19 8/11	[写真]
10:50	あすか 11/19 8/11	[写真]
10:50	あすか 11/19 8/11	[写真]
10:50	あすか 11/19 8/11	[写真]
10:50	あすか 11/19 8/11	[写真]
10:50	あすか 11/19 8/11	[写真]
10:50	あすか 11/19 8/11	[写真]
10:50	あすか 11/19 8/11	[写真]
18:32	あすか 11/19 8/11	[写真]
18:32	あすか 11/19 8/11	[写真]
20:05	ゆうげん	IKEAのランプってどれや
20:06	ゆうげん	スツールは1つでいいの?
20:08	あすか 11/19 8/11	椅子？
20:09	あすか 11/19 8/11	この2つが可愛いなと思ってる
20:09	あすか 11/19 8/11	[写真]
20:09	あすか 11/19 8/11	[写真]
20:10	ゆうげん	"そう
椅子"
20:11	あすか 11/19 8/11	"理想は

子ども部屋2こ
子ども部屋の隣1こ
寝室1こ

やけど、

とりあえず2こでも"
20:12	あすか 11/19 8/11	ナギの部屋に置く机はもう1回探してみてるけどあれが1番良さげにみてる
20:12	あすか 11/19 8/11	これ
20:12	あすか 11/19 8/11	なんか、白っぽい色があって折りたたみで…いいの知らん？
20:16	ゆうげん	計4こか
20:16	ゆうげん	椅子は折り畳めなくてもいいと思う
20:17	あすか 11/19 8/11	椅子はさっき送ったやつがかわいいなぁとは思ってる
20:17	ゆうげん	[写真]
20:17	ゆうげん	どっち
20:17	あすか 11/19 8/11	机は折りたたみできるのがいいんよな、机畳んで広々遊べるようにもしたいから
20:17	あすか 11/19 8/11	それは任せる
20:19	ゆうげん	下の木目の方が可愛いな
20:20	ゆうげん	折りたたみは極端にダサくなるから
20:20	ゆうげん	足外したりする解体するやつとかの方がいい
20:28	ゆうげん	"スツールとりあえず3つ
寝室は後回しで買う"
20:35	あすか 11/19 8/11	https://item.rakuten.co.jp/lacerise/fnt-11066/
20:36	ゆうげん	うーむ
20:50	ゆうげん	時計ってどんなの?
20:52	あすか 11/19 8/11	時計はきめてない
20:53	ゆうげん	[写真]
20:54	ゆうげん	こんなのは?
20:54	あすか 11/19 8/11	色味が思い描いてるのと違う
20:56	ゆうげん	ロウヤはないね
20:56	ゆうげん	IKEAは?
21:02	ゆうげん	[写真]
21:02	ゆうげん	スツールかった
21:02	ゆうげん	棚はお父さんとかに連れていってもらったって
21:02	ゆうげん	お店で買って欲しい
21:04	あすか 11/19 8/11	IKEAなさげ
21:09	ゆうげん	机のイメージくれ
21:22	あすか 11/19 8/11	白っぽいの
21:22	あすか 11/19 8/11	こんな感じか
21:22	あすか 11/19 8/11	こんな感じ
21:56	ゆうげん	サイズは?
22:10	ゆうげん	あとキッズルームのラグ
22:44	ゆうげん	lowyaのキャビネット
22:45	ゆうげん	組み立ておにむずらしい
23:17	あすか 11/19 8/11	？
23:17	あすか 11/19 8/11	"サイズは…小さめ
あんま大きいのはいらんけどお絵描きとかも余裕でできるくらいはほしい"
23:48	ゆうげん	うむ
23:48	ゆうげん	見つからん

2023/02/27(月)
11:57	あすか 11/19 8/11	よねぇ
12:16	あすか 11/19 8/11	寝室の布団の横にポンっておいてた封筒知りませんか
12:21	あすか 11/19 8/11	チラシとかと一緒においてたやつ
12:21	あすか 11/19 8/11	どっかに片づけたり捨てたりした？
12:26	あすか 11/19 8/11	私そこから移動させた記憶ないから何か触った記憶あったら教えて
12:29	あすか 11/19 8/11	1階の廊下のクローゼットの中にはいってたわ
12:29	あすか 11/19 8/11	もういける
12:55	ゆうげん	ああごめん
12:55	ゆうげん	だいたいクローゼットにあると思う
12:57	あすか 11/19 8/11	明日なぎ歯科検診と身体測定
12:57	あすか 11/19 8/11	その案内がどこ行ったかわからんくなってて
12:58	あすか 11/19 8/11	でも見つかったー
12:58	あすか 11/19 8/11	[写真]
12:58	あすか 11/19 8/11	[写真]
12:58	あすか 11/19 8/11	[写真]
12:58	あすか 11/19 8/11	[写真]
12:58	あすか 11/19 8/11	新作で気になるのこちら
13:08	あすか 11/19 8/11	今度帰ってくるのは11.12？
13:10	ゆうげん	いや
13:10	ゆうげん	家具の組み立てで今週も帰りたいと思ってる
13:11	あすか 11/19 8/11	あ、家具が届くんか、
13:11	ゆうげん	総額は?
13:11	あすか 11/19 8/11	家具いつ？
13:11	ゆうげん	そそ
13:11	あすか 11/19 8/11	わからん、多分発売開始3/1
13:11	ゆうげん	まだ買ってないけど今週平日中やよ思う
13:11	あすか 11/19 8/11	そーなのか
13:13	ゆうげん	今日の夜
13:13	ゆうげん	IKEA頼むから
13:13	ゆうげん	電話して欲しい
13:13	あすか 11/19 8/11	わかった
13:13	あすか 11/19 8/11	なぎ寝たら言う
13:13	ゆうげん	あと
13:13	ゆうげん	屋上の椅子とか中に入れてて欲しい
13:13	あすか 11/19 8/11	外にあるんか
13:13	あすか 11/19 8/11	わかった
13:14	ゆうげん	その椅子の折りたたみ時のサイズも計って欲しい
13:14	ゆうげん	一応折りたたんでるけど置きっぱや
14:03	あすか 11/19 8/11	[写真]
14:03	あすか 11/19 8/11	[写真]
14:03	あすか 11/19 8/11	100はない
14:46	ゆうげん	ありがとう
14:46	ゆうげん	野外倉庫は80cmじゃ足らんな
14:51	あすか 11/19 8/11	ｼﾞｬﾝｸﾞﾙｼﾞﾑどこにおこ
16:20	ゆうげん	なんかこう
16:20	ゆうげん	壁掛けしたい
16:20	ゆうげん	遊具とかそういうの
16:54	あすか 11/19 8/11	壁掛け…どうやって？
16:54	あすか 11/19 8/11	[写真]
16:55	あすか 11/19 8/11	これ第1弾でもう売ってるやつやった
16:55	あすか 11/19 8/11	定価6,710
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	[写真]
16:57	あすか 11/19 8/11	早速着てみた
18:19	ゆうげん	しばらく着れそうやね
18:19	ゆうげん	全部で23000円くらいか
18:20	ゆうげん	特別に全部買ったるわ
18:44	ゆうげん	せっかくやしな
18:58	あすか 11/19 8/11	どーやろ
18:58	あすか 11/19 8/11	まじ？嬉しすぎー
19:06	ゆうげん	コレクションはこれで全部?
19:09	あすか 11/19 8/11	んー、多分！
19:10	あすか 11/19 8/11	今日は女の子のワンピース発表あった
19:10	あすか 11/19 8/11	どこで最後かわからん
19:11	ゆうげん	とりあえずよっつね
19:11	ゆうげん	厳選してちょ
19:14	あすか 11/19 8/11	多分3/1が発売やから11.12間に合うね
19:14	ゆうげん	うむ
19:20	ゆうげん	11,12
19:20	ゆうげん	いい服着てや
19:20	ゆうげん	オシャレアスカみたい
19:21	あすか 11/19 8/11	BBQは服装よく考えないと臭いも汚れもやばそ
19:21	あすか 11/19 8/11	ハーベストは考える
19:23	ゆうげん	BBQはラフに行こう
19:23	ゆうげん	スウェット
22:06	ゆうげん	電話いつでも行けるよ
22:49	ゆうげん	ホビールームを
22:49	ゆうげん	入口から真っ直ぐ見て写真取ってもらっていい?
22:54	あすか 11/19 8/11	[写真]
22:54	あすか 11/19 8/11	[写真]
22:54	あすか 11/19 8/11	[写真]
22:54	あすか 11/19 8/11	[写真]
22:54	あすか 11/19 8/11	[写真]
22:54	あすか 11/19 8/11	どこのこと？？
22:56	ゆうげん	えーっと
22:57	ゆうげん	カーテンの間の距離と
22:57	ゆうげん	カーテンまでの高さ知りたい
22:57	あすか 11/19 8/11	……
22:57	ゆうげん	?
22:57	あすか 11/19 8/11	めんどっち
22:57	あすか 11/19 8/11	🤦🏼
22:57	ゆうげん	頼む
22:57	あすか 11/19 8/11	いややるけどね、やるけど
22:57	あすか 11/19 8/11	🤦🏼
22:59	ゆうげん	あと
22:59	ゆうげん	屋上入口手前の扉から手すりまでの距離も
22:59	あすか 11/19 8/11	……
23:00	ゆうげん	たのむ
23:01	あすか 11/19 8/11	カーテンとかカーテンの間
23:01	あすか 11/19 8/11	どっからはかんの
23:01	ゆうげん	屋上入口部分にも靴入れ買おうかなと思ってる
23:01	ゆうげん	[写真]
23:01	あすか 11/19 8/11	[写真]
23:01	あすか 11/19 8/11	[写真]
23:01	あすか 11/19 8/11	どっち
23:01	あすか 11/19 8/11	かーてんすたーと？
23:01	ゆうげん	ひだり
23:02	あすか 11/19 8/11	おおよそ
23:02	あすか 11/19 8/11	182せんち
23:03	あすか 11/19 8/11	右の写真のとこスタートやとおおよそ200
23:04	あすか 11/19 8/11	床からカーテンまではおおよそ95
23:04	あすか 11/19 8/11	どんな
23:06	ゆうげん	そんなにあるのか
23:06	あすか 11/19 8/11	屋上入口部分70あるかないか
23:07	あすか 11/19 8/11	全部まじおおよそな！1人やと１回区切って計らなあかんくて正確なんは無理やった
23:07	ゆうげん	おおよそ?
23:07	あすか 11/19 8/11	屋上のとこも敷物とかｼﾞｬﾝｸﾞﾙｼﾞﾑで測りづらくてわからん
23:07	あすか 11/19 8/11	およそ
23:07	ゆうげん	[写真]
23:07	ゆうげん	まあ大体でいいよ
23:08	ゆうげん	いかが
23:08	ゆうげん	ここにサンダル入れたり
23:08	ゆうげん	する
23:08	あすか 11/19 8/11	何？靴箱？
23:09	ゆうげん	靴箱件入れ物入れ
23:09	ゆうげん	[写真]
23:09	あすか 11/19 8/11	いいんじゃない？奥行どんなもんか知らんし置いたらどれほど圧迫感あるかは想像つかんけど
23:09	ゆうげん	ちなみに横幅70で
23:09	ゆうげん	奥行どれくらい余裕ある?
23:10	ゆうげん	扉まで
23:10	あすか 11/19 8/11	そこ測るん……
23:10	ゆうげん	これは奥行37
23:13	あすか 11/19 8/11	[写真]
23:13	あすか 11/19 8/11	約48.5
23:13	ゆうげん	ライトまでの高さは?
23:13	ゆうげん	スイッチ
23:13	あすか 11/19 8/11	そこそこ圧迫感出て扉開け閉めすると屋上出入口にかかりそうな感じはするけど
23:14	あすか 11/19 8/11	(╬°▽°)
23:14	ゆうげん	あと反対側も一応採寸
23:14	あすか 11/19 8/11	[写真]
23:14	あすか 11/19 8/11	(╬°▽°)
23:18	ゆうげん	どう
23:18	あすか 11/19 8/11	反対側ってなに
23:18	あすか 11/19 8/11	ほぼ一緒なんじゃないん
23:18	ゆうげん	はかって
23:18	あすか 11/19 8/11	一旦座ったのにまた行かなあかんからめんどくていまやっとうごいたまって
23:24	あすか 11/19 8/11	[写真]
23:24	あすか 11/19 8/11	[写真]
23:24	あすか 11/19 8/11	[写真]
23:25	ゆうげん	[写真]
23:25	あすか 11/19 8/11	(╬°▽°)
23:29	あすか 11/19 8/11	[写真]
23:29	あすか 11/19 8/11	こっち側は階段上がってきて正面やし絶対なんも置かん方がいいで
23:30	ゆうげん	ありがとう
23:30	あすか 11/19 8/11	きいてる？(╬°▽°)
23:32	ゆうげん	聞いてるよ
23:32	ゆうげん	とりあえず今椅子置いてる方に置こうかな
23:32	ゆうげん	デザインとかはあれでいい?
23:32	あすか 11/19 8/11	それは絶対そう
23:32	あすか 11/19 8/11	うん
23:33	ゆうげん	高さは96cmやから
23:33	ゆうげん	スイッチにはかからんと思う
23:34	あすか 11/19 8/11	おけ
23:35	ゆうげん	[写真]
23:35	ゆうげん	ちなみに床の切り替えどのへん?
23:39	ゆうげん	とりあえずシューズラック買って
23:39	ゆうげん	たぶん全部で引き落とし15万くらいやな
23:39	ゆうげん	まあ行けるやろ
23:41	あすか 11/19 8/11	全部って？
23:42	あすか 11/19 8/11	もーーーーーーーーーーーーーーー
23:43	あすか 11/19 8/11	[写真]
23:45	あすか 11/19 8/11	"私的に欲しいのは、

・子ども部屋②に置く棚(ニトリ)

・IKEAランプ

・ソファーに置くクッション

・リビングソファー前ラグ

・ナギの部屋の机"
23:47	ゆうげん	[写真]
23:50	あすか 11/19 8/11	なに……
23:55	ゆうげん	幅
23:55	あすか 11/19 8/11	見切りからカーテンですか？
23:56	ゆうげん	はい
23:58	あすか 11/19 8/11	測るのムズすぎてわからんけど多分40cmちょっと40~44の間くらい
23:59	ゆうげん	ありがとう

2023/02/28(火)
00:13	ゆうげん	IKEAだけ
00:13	ゆうげん	頼んで寝たい
00:23	あすか 11/19 8/11	IKEAは何買う？
00:30	ゆうげん	とりまこの辺
00:30	ゆうげん	もっと詳しく
00:35	あすか 11/19 8/11	？
00:35	ゆうげん	商品情報を
00:35	あすか 11/19 8/11	全部伝えてるor一緒に見たはず
00:36	あすか 11/19 8/11	[写真]
00:36	あすか 11/19 8/11	[写真]
00:36	ゆうげん	もう一度お願い
00:37	あすか 11/19 8/11	スクエア
00:38	あすか 11/19 8/11	クッション
00:38	あすか 11/19 8/11	リビングのラグはどんなん見てたか忘れた
00:41	ゆうげん	テーブル気に食わん
02:15	あすか 11/19 8/11	じゃあ探してよー
02:15	あすか 11/19 8/11	こども部屋くらい自由にさせてよー
02:19	あすか 11/19 8/11	https://item.rakuten.co.jp/ordy/vt4090/
02:20	あすか 11/19 8/11	https://item.rakuten.co.jp/lacerise/int-11020/
02:25	ゆうげん	明日見てみる
02:25	ゆうげん	もう頭動かん
02:26	あすか 11/19 8/11	白 折りたたみ
03:26	ゆうげん	[写真]
03:26	ゆうげん	[写真]
08:10	ゆうげん	おは(*´-`)
08:31	ゆうげん	屋上の椅子の横幅わかる?
09:03	ゆうげん	ランプどっちがいい?
10:00	あすか 11/19 8/11	白じゃねぇなぁ
10:01	あすか 11/19 8/11	"最終はどちらも

ひとまずは……わからん"
10:01	あすか 11/19 8/11	バタバタしてるからまって
10:49	ゆうげん	あい
17:18	あすか 11/19 8/11	約40cm
17:32	ゆうげん	ありがとう
18:49	あすか 11/19 8/11	"ナギ身長93.5
体重13.5"
18:59	ゆうげん	おおおきいい
18:59	ゆうげん	めっちゃデカなったな
18:59	ゆうげん	もう100cm
18:59	ゆうげん	体重もしっかり
18:59	ゆうげん	でかい
20:03	ゆうげん	今週末色々持って帰らないと
20:29	ゆうげん	そして
20:29	ゆうげん	明日めっちゃ荷物届くで
21:03	あすか 11/19 8/11	何時頃？
21:03	あすか 11/19 8/11	明日午前中法務局行く予定

2023/03/01(水)
08:14	ゆうげん	わからん
08:14	ゆうげん	ありがとう
08:57	あすか 11/19 8/11	領収書的なのはそっちあった？
09:46	ゆうげん	☎ 通話時間 1:00
09:48	ゆうげん	"連絡先:0570064373
内容:名前クニマツユウカイの所持するクレジットカードがまた止められているため電話をして欲しい
08089342412まで電話して欲しい
旦那は携帯壊れていてかけられないので会社の携帯で受電する"
09:49	ゆうげん	止められた原因は家具通販サイトのLOWYAで連続でカードを切ったからだと思う
09:50	ゆうげん	"19921102生まれ
登録電話番号は
08089342412 or 08014914175"
10:11	あすか 11/19 8/11	あっちから電話かけてもらうっていう、そういう対応はしてないからフリーダイヤルじゃない番号伝えるからそれでかけてきてほしいやってさ
10:11	あすか 11/19 8/11	06 7635 2677
10:48	ゆうげん	かかんないから言ってるんやけどな
10:48	ゆうげん	なんなんマジで
10:50	ゆうげん	電話かけても応答しなかったからかけ直してって
10:50	ゆうげん	言って
10:53	あすか 11/19 8/11	だれに？
10:59	ゆうげん	"向こうの担当に
カードが使えないので困っていますって
携帯壊れてるので電話してください
前は止まっていた時に連絡もらって解決出来ましたって"
10:59	あすか 11/19 8/11	今外やからちょっと今すぐは難しい
11:00	ゆうげん	1分も取れない?
11:01	あすか 11/19 8/11	どこにかけるん
11:02	あすか 11/19 8/11	さっきのとこにかけるん？
11:21	ゆうげん	同じ番号
11:21	ゆうげん	さっきの
11:45	あすか 11/19 8/11	この番号にはかけたけど応答なかったって言ったらいいの？
11:45	あすか 11/19 8/11	こんな番号で応答ないことあるん？
12:13	あすか 11/19 8/11	今家帰ってきたけどどーなってる？
12:39	ゆうげん	おれにはなんもかかちぇない
12:39	ゆうげん	かかってない
12:39	ゆうげん	とりあえず困ってるから電話して欲しいって伝えて
12:39	ゆうげん	無理なら明日自分でする
12:39	ゆうげん	あとプチミグ買うなら早めに寝
12:39	ゆうげん	ね
12:42	ゆうげん	全部3-4yearsで買お
13:10	あすか 11/19 8/11	ﾌﾟﾁﾐｸﾞ私がやっていいの？支払い方法どーする？
13:54	ゆうげん	前カード教えたやろ
14:46	あすか 11/19 8/11	止まってるんじゃないん
14:57	ゆうげん	ああ
14:57	ゆうげん	めんどいなぁ
15:00	あすか 11/19 8/11	どのカードが止まってるんかしらんけど、カードは止まってるっていうからまだ注文してない
15:03	あすか 11/19 8/11	"今もう1回さっきの番号に電話したんやけど、

クレジットカードの会社からゆーくんの携帯に掛けてもらうのはやっぱり無理みたい。まずゆーくんからの問い合わせがあって…やったらクレジットカード会社からかけ直すことはできるみたいなんやけど、私からの問い合わせでゆーくんに繋がるように電話するのは無理やねんて"
15:04	あすか 11/19 8/11	"だからもう1回

06 7635 2677

にご主人様から問い合わせしてもらってください

だとよ"
16:00	ゆうげん	かからんって言ってんのに
16:00	ゆうげん	ならあすかが代理で言ってよ
