 11/19 8/11	イクタは無垢っぽい？質感なのかな
00:20	あすか 11/19 8/11	[写真]
00:25	あすか 11/19 8/11	[写真]
00:25	あすか 11/19 8/11	[写真]
00:38	ゆうげん	[写真]
00:40	あすか 11/19 8/11	[写真]
00:40	あすか 11/19 8/11	[写真]
00:40	あすか 11/19 8/11	[写真]
00:41	ゆうげん	[写真]
00:41	ゆうげん	[写真]
00:45	あすか 11/19 8/11	[写真]
00:48	ゆうげん	[写真]
00:55	ゆうげん	[写真]
00:55	ゆうげん	[写真]
00:57	あすか 11/19 8/11	[写真]
00:57	あすか 11/19 8/11	[写真]
00:59	ゆうげん	[写真]
01:00	ゆうげん	[写真]
01:01	あすか 11/19 8/11	[写真]
01:01	ゆうげん	[写真]
01:01	ゆうげん	[写真]
01:02	ゆうげん	[写真]
01:03	あすか 11/19 8/11	[写真]
01:06	あすか 11/19 8/11	[写真]
01:09	ゆうげん	[写真]
01:11	ゆうげん	[写真]
01:12	ゆうげん	[写真]
01:13	ゆうげん	[写真]
01:13	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:20	ゆうげん	[写真]
01:22	ゆうげん	[写真]
01:22	ゆうげん	[写真]
01:23	ゆうげん	[写真]
01:26	ゆうげん	[写真]
01:29	ゆうげん	[写真]
01:30	ゆうげん	[写真]
01:36	ゆうげん	[写真]
01:36	ゆうげん	[写真]
01:36	ゆうげん	[写真]
01:36	ゆうげん	[写真]
01:38	ゆうげん	[写真]
01:38	ゆうげん	[写真]
01:43	ゆうげん	https://www.woodone.co.jp/product/item/floor_standard_conbitriaju_stone/
01:43	ゆうげん	[写真]
01:59	あすか 11/19 8/11	[ノート] ［決まってること］

〇棚板はウッドワン

〇お風呂TOTOサザナ
・壁
(ホワイト＆パティオベージュ)
・床(単色 グレー)
・浴槽(ホワイト)
・鏡はワイド
・お掃除系要検討
01:59	ゆうげん	https://www.catalabo.org/iportal/CatalogViewInterfaceStartUpAction.do?method=startUp&mode=PAGE&volumeID=CATALABO&catalogId=68059620000&pageGroupId=&designID=link&catalogCategoryId=&designConfirmFlg=
02:00	ゆうげん	[写真]
02:00	ゆうげん	[写真]
02:00	ゆうげん	[写真]
02:00	ゆうげん	[写真]
02:07	あすか 11/19 8/11	[アルバム] (null)
02:21	あすか 11/19 8/11	☎ 通話時間 4:20:24
02:29	あすか 11/19 8/11	[ノート] これからの流れ

階段のカタログとかも届いて階段こんなんってのも決めて
その他も仕様を決めた上で
費用の打ち合わせを松本さんとする

↓

費用を見た上で窓の大きさの変更や他何かを削る削らないなど固ま
08:22	ゆうげん	まとめありがとう
08:22	ゆうげん	おはよう
09:01	あすか 11/19 8/11	おはよう
09:01	あすか 11/19 8/11	"昨日生理の話してたら
今日朝トイレ行った時きてた"
09:01	あすか 11/19 8/11	このままの感じやと旅行生理中
09:01	あすか 11/19 8/11	(笑)
09:01	ゆうげん	またか
09:01	ゆうげん	[スタンプ]
09:02	あすか 11/19 8/11	月末やもんな、この前も次も
09:03	ゆうげん	もうちょい手前ならなぁ
09:03	ゆうげん	丁度その日が1、2日目やときつい
09:04	あすか 11/19 8/11	今日は予定より早く生理きた
09:26	あすか 11/19 8/11	トイレ
09:26	あすか 11/19 8/11	[写真]
09:26	あすか 11/19 8/11	[写真]
09:26	あすか 11/19 8/11	[写真]
09:27	あすか 11/19 8/11	こんなんにしていい？
09:33	ゆうげん	[写真]
09:33	ゆうげん	23は狭い
09:34	あすか 11/19 8/11	そこの幅とかはとりあえず置いといて
09:34	あすか 11/19 8/11	こんな感じにしてもいい？
09:35	あすか 11/19 8/11	"1階のトイレの窓って
どんなん？今"
09:40	ゆうげん	天井どんつき
12:04	あすか 11/19 8/11	なるほどー、どしよかな
12:19	ゆうげん	また時間ある時決めよう
16:02	あすか 11/19 8/11	LIXIL ウッドワンどーしよか
16:14	ゆうげん	どうしようね
16:14	ゆうげん	出張の可能性もあるんよな
16:14	ゆうげん	別々に行くか
16:16	あすか 11/19 8/11	また出張？出張ありすぎやろ…
16:16	ゆうげん	しかも2回ある
16:16	あすか 11/19 8/11	は？うざ
16:16	ゆうげん	"1個が京都にまた一週間
もう一個は静岡に一日"
16:16	あすか 11/19 8/11	どんだけあんねんクソ
16:18	ゆうげん	さすがに体力やばい
16:18	あすか 11/19 8/11	どのみち13日以降くらいになるんかな
16:18	あすか 11/19 8/11	ショールーム
16:18	あすか 11/19 8/11	家づくりも頑張らなあかん時期にそんなんほんまうざいわ
16:19	あすか 11/19 8/11	"出張平気ならあれやけど
誰でも少しは疲れるやん"
16:19	あすか 11/19 8/11	あーー
16:20	ゆうげん	出張＋帰省が多いからな
16:20	ゆうげん	もう今年で何回夜行バス乗ったか
16:20	あすか 11/19 8/11	帰省はこれからは最低限にしたいしやっぱ別かな
16:21	あすか 11/19 8/11	別やと認識違いとか出てくるから避けたかったけどもうなぁ、、
16:26	ゆうげん	むぅ
16:26	ゆうげん	ウッドワンは一緒に行きたいな
16:31	あすか 11/19 8/11	"どのみちLIXILはもう私がみて色選択してきていい？
変更したサイズ感の確認と
パネル(引き出しの扉)の色
ウォルナットからグレーポイ
やつにして取っ手なしに
するんやんな？"
16:35	ゆうげん	"そやね

今日もっかい"
16:35	ゆうげん	カタログみよ
16:37	あすか 11/19 8/11	はーい
16:37	ゆうげん	またご飯食べるくらいから
16:37	ゆうげん	電話しよ
16:45	あすか 11/19 8/11	1階トイレの窓ってほんとに天井どんつき？？
16:46	あすか 11/19 8/11	"あと今横滑りだし窓やけど
FIXの方がいいかな？"
16:47	あすか 11/19 8/11	[写真]
16:47	あすか 11/19 8/11	サイズ感どうしよ
16:49	あすか 11/19 8/11	あ、あと絶対こうしたいとかはないねんけど
16:49	あすか 11/19 8/11	[写真]
16:50	あすか 11/19 8/11	これ、ここに柱必要で作ったスペースらしいねんけどこんなん作るよりやっぱ柱がいいよな？
16:50	あすか 11/19 8/11	2~3本て言ってたと思うけど
16:52	ゆうげん	天井つきにもできる
16:52	ゆうげん	カウンターとの距離近いから
16:52	ゆうげん	ここまででかのはきついかも
16:53	ゆうげん	"柱だけなら透けて見えるから
そこまで窮屈感ない"
16:53	あすか 11/19 8/11	[写真]
16:53	あすか 11/19 8/11	[写真]
16:54	あすか 11/19 8/11	これは床から125？でこんな感じやけどこんな距離感？がちょうど良さそうかな
16:54	あすか 11/19 8/11	だとすると上の窓考慮して奥行とか高さどうするのがよさそやろ、難しい
16:54	あすか 11/19 8/11	柱だけのがよさそうか
16:55	あすか 11/19 8/11	ソファー移した時にこんなんあってもおしゃれなんかなー？ておもったけどまぁ圧迫感で言えば柱のがいいよな
16:55	あすか 11/19 8/11	写した時
16:57	ゆうげん	ソファーからカウンター撮れなくなる
16:57	ゆうげん	柱やと
16:57	ゆうげん	125は高いと思う
16:57	あすか 11/19 8/11	今の図面から変更したい点とかは早めに決めて松本さん通して畑中先生に早めに伝えたいな
16:57	ゆうげん	座った状態やと
16:58	あすか 11/19 8/11	柱やと？
16:58	あすか 11/19 8/11	どれくらいがちょうどいいんやろ。。ムズいな
16:59	ゆうげん	柱って言うか壁
16:59	あすか 11/19 8/11	柱を2~3本に増やしたいんやんな？
17:00	ゆうげん	そう
17:00	あすか 11/19 8/11	天井白で柱グレーのクロス貼ったらなんか見た目ダサくならんかな？いけるかな？
17:00	ゆうげん	隙間ある感じ
17:00	あすか 11/19 8/11	境目とかどうするんやろ？
17:00	あすか 11/19 8/11	隙間？
17:00	あすか 11/19 8/11	あー、柱と柱の間にね
17:01	ゆうげん	そう
17:01	あすか 11/19 8/11	[写真]
17:01	あすか 11/19 8/11	この部分
17:02	あすか 11/19 8/11	天井と柱のクロスが違ったら境目って変になりそうじゃない？
17:02	ゆうげん	なにこれ
17:02	あすか 11/19 8/11	いけるかな
17:02	あすか 11/19 8/11	天井と柱
17:02	ゆうげん	そこは上手く行けるやろ
17:02	あすか 11/19 8/11	上手くって言っても綺麗にははれても色違うのがダサく見えそうかなーて
17:03	あすか 11/19 8/11	イメージ難しいけど
17:03	あすか 11/19 8/11	まぁ気にならなさそうならいいねんけど
17:20	ゆうげん	試しに絵を描いてみたい
17:24	あすか 11/19 8/11	[写真]
17:24	あすか 11/19 8/11	[写真]
17:24	あすか 11/19 8/11	"こういうイメージかな？
ダサくはないか。。"
17:34	ゆうげん	1本はちょっとなぁ
17:35	あすか 11/19 8/11	これの2~3本バージョンでしょ？
17:35	ゆうげん	うん
17:35	あすか 11/19 8/11	色の感じはこんなんかな
17:35	あすか 11/19 8/11	白の天井にグレーの柱って
17:36	ゆうげん	それか
17:36	ゆうげん	ニットみたいなのを
17:36	ゆうげん	縦に置くか
17:37	あすか 11/19 8/11	？？
17:39	ゆうげん	横じゃなくて
17:39	ゆうげん	縦
17:39	あすか 11/19 8/11	どゆことやろ
17:39	あすか 11/19 8/11	ニッチ？やんな？
17:39	ゆうげん	[写真]
17:40	あすか 11/19 8/11	向きの話か
17:41	ゆうげん	そう
17:41	ゆうげん	これなら
17:42	ゆうげん	[写真]
17:42	ゆうげん	こんなん作れる
17:42	あすか 11/19 8/11	どっちのがよさそやろなぁ
17:42	あすか 11/19 8/11	柱かニッチか
17:44	ゆうげん	見栄えは壁チックなのが
17:47	ゆうげん	いい
17:58	あすか 11/19 8/11	確かに見えばえはそだね
17:58	あすか 11/19 8/11	生理一日目貧血気味
17:58	あすか 11/19 8/11	何するのも体がダルいなぁ
18:01	あすか 11/19 8/11	トイレってTOTOのなんやったっけな
18:01	あすか 11/19 8/11	ネオレスト？
18:02	あすか 11/19 8/11	[写真]
18:02	あすか 11/19 8/11	分かりにくいけどあーりんちのトイレで125cmこんな感じ
19:14	あすか 11/19 8/11	今からご飯食べる
19:15	あすか 11/19 8/11	なんかしてるん？
19:17	ゆうげん	返せてなかった
19:17	ゆうげん	すまぬ
19:17	ゆうげん	食材買いに行こうろおもって
19:18	あすか 11/19 8/11	今から？
19:18	ゆうげん	うん
19:18	ゆうげん	すぐ帰ってくるよ
19:18	あすか 11/19 8/11	気をつけて行ってらっしゃい
19:41	ゆうげん	お家ついた
19:51	ゆうげん	☎ 通話時間 5:56
19:52	ゆうげん	俺も風呂入ろうかな
19:52	ゆうげん	同じタイミングで
19:53	あすか 11/19 8/11	☎ 不在着信
19:54	あすか 11/19 8/11	☎ 不在着信
19:55	あすか 11/19 8/11	どしたーん
19:55	ゆうげん	あれ
19:55	ゆうげん	電話来てないで
19:57	ゆうげん	☎ 通話時間 1:23
19:59	ゆうげん	☎ 通話時間 0:51
20:02	ゆうげん	☎ 通話時間 3:07
20:03	あすか 11/19 8/11	あかんわナギが切る
20:03	あすか 11/19 8/11	そしてお風呂あいた
20:03	ゆうげん	いっといで
20:03	あすか 11/19 8/11	生理中やからどやって連れてこ
20:03	ゆうげん	俺もお風呂入る
20:03	あすか 11/19 8/11	うん
21:06	あすか 11/19 8/11	上あがってきた
21:12	ゆうげん	おかえり
21:12	ゆうげん	俺今出た
21:15	あすか 11/19 8/11	絵本タイムなう
21:27	ゆうげん	☎ 通話時間 7:34
23:31	あすか 11/19 8/11	やらかした、、ねてた、、
23:32	ゆうげん	👀

2022/05/28(土)
00:41	あすか 11/19 8/11	"また寝てしまってたし
そこから次起きた時違和感
あるなと思ったらやはり漏れてた🩸"
00:42	あすか 11/19 8/11	1~2日目はあかんわもうメンタルよわよわ
00:42	あすか 11/19 8/11	全然耐えれるとはいえお腹も痛いし生理なんともない人がいるなら羨ましい限り。
00:49	ゆうげん	大丈夫?
00:58	あすか 11/19 8/11	眠いけどお腹の違和感というかちょっと痛いのが邪魔してウトウトはするけど起きてるみたいな状態
01:04	ゆうげん	今日は休んどこ
01:12	あすか 11/19 8/11	生理痛が邪魔をして若干覚醒中
01:12	あすか 11/19 8/11	でも眠いは眠い
01:17	ゆうげん	俺も眠いよ
01:19	あすか 11/19 8/11	パパもはよねりー
01:20	あすか 11/19 8/11	こういう時パパおると寝付きいいからいて欲しーてなるいつも
01:22	ゆうげん	よしよし
01:22	ゆうげん	松本さん
01:22	あすか 11/19 8/11	ウッドワンはやく入れとかなどんどん埋まるやん…
01:24	ゆうげん	死ぬ気で帰るわ
01:24	ゆうげん	6/17
01:24	あすか 11/19 8/11	いや、、また移動とショールーム見学で疲れるで…
01:24	ゆうげん	しゃあない
01:25	ゆうげん	早い方がいい
01:25	あすか 11/19 8/11	別々で行く方法も考えれたやろに、、大丈夫なの、、
01:27	ゆうげん	いける
01:27	あすか 11/19 8/11	そりゃ早い方がいいけど…
01:27	あすか 11/19 8/11	ありがとう…
01:36	ゆうげん	大丈夫
01:36	ゆうげん	がんばろう
01:47	あすか 11/19 8/11	うん、ありがと
01:55	ゆうげん	ちゅ
01:58	あすか 11/19 8/11	アイカ何時からやっけ？
02:05	ゆうげん	10:00
02:07	あすか 11/19 8/11	寝れそ？しっかり寝てね
02:09	ゆうげん	ねます
08:05	ゆうげん	おはよう
09:01	あすか 11/19 8/11	おはよう
09:03	ゆうげん	ういうい
09:03	ゆうげん	10:00からね
09:03	ゆうげん	今から家出る
09:03	あすか 11/19 8/11	気をつけて
09:32	ゆうげん	あっつい
09:32	ゆうげん	27℃
09:39	あすか 11/19 8/11	大阪も最高気温それくらいらしい
09:39	あすか 11/19 8/11	"カラッと暑いんじゃなくて
最近まとわりつく暑さやから辛すぎ"
09:42	ゆうげん	もう半袖ジーパン
09:43	ゆうげん	でもなぎのお誕生日も
09:43	ゆうげん	同じような格好かも
09:45	ゆうげん	ユニクロでメンズフレアパンツないかなぁ
10:03	あすか 11/19 8/11	入った？？
10:03	ゆうげん	まだ歩いてる
10:03	ゆうげん	トイレ寄って少し遅れた
10:05	あすか 11/19 8/11	おけー
10:47	あすか 11/19 8/11	[写真]
10:47	あすか 11/19 8/11	[写真]
10:48	あすか 11/19 8/11	[写真]
11:13	あすか 11/19 8/11	[アルバム] (null)
11:14	あすか 11/19 8/11	"今追加したやつ、アイカのモルタルアート使ってる人

個人の意見でまだ年数も浅いと思うけど"
11:21	あすか 11/19 8/11	[写真]
11:35	あすか 11/19 8/11	[写真]
11:35	あすか 11/19 8/11	[写真]
11:35	あすか 11/19 8/11	[写真]
11:35	あすか 11/19 8/11	[写真]
11:36	ゆうげん	☎ 通話時間 1:25:58
11:41	あすか 11/19 8/11	"〇松本さんにお願いしなきゃいけないカタログがあるんやっけ？それが欲しければあるか聞いて、無いなら貰ってもらう

〇どこをアイカ使う予定かも
また伝える"
11:42	あすか 11/19 8/11	階段のカタログは届いた？
12:04	ゆうげん	それ後で言う
12:04	ゆうげん	階段まだ
12:05	ゆうげん	労金昨日届いたから今日中に書いて出す
13:32	あすか 11/19 8/11	了解です
13:41	ゆうげん	お昼なにたべたん?
13:43	あすか 11/19 8/11	今日はお手抜きさせて頂きました
13:43	あすか 11/19 8/11	マクド
13:43	ゆうげん	👀
13:44	あすか 11/19 8/11	生理前から生理1~2日目は出来ることなら何もしたくない病
13:44	あすか 11/19 8/11	でも旅行とかいってたら楽しまな精神が勝つこと多め
13:44	ゆうげん	被らんかったらいいね
13:45	ゆうげん	それか終わりかけか
13:45	あすか 11/19 8/11	このまま行けば確実被る
13:45	あすか 11/19 8/11	終わりかけであってほしい切実に
13:47	あすか 11/19 8/11	[写真]
13:47	あすか 11/19 8/11	[写真]
13:47	あすか 11/19 8/11	[写真]
13:47	あすか 11/19 8/11	[写真]
13:48	あすか 11/19 8/11	入れてるアプリ
13:48	あすか 11/19 8/11	[写真]
13:49	あすか 11/19 8/11	あくまで今のところの予定やから私の場合ズレることは全然あるけどこの予定通り行けばマシやな
14:02	ゆうげん	これ月があるのが生理?
14:04	あすか 11/19 8/11	いえす
14:05	あすか 11/19 8/11	"周期が安定してないから
おそらくズレる"
14:07	あすか 11/19 8/11	8月はまだ先やからちゃんと表示されてない
14:08	あすか 11/19 8/11	[写真]
14:08	あすか 11/19 8/11	[写真]
14:09	あすか 11/19 8/11	"4~6月こんなんかな

4月は28~5/3
5月は27~
6月の予定は26~"
14:10	あすか 11/19 8/11	大幅にズレることがなければ被る確率大よね、旅行
14:29	ゆうげん	むぅ
14:29	ゆうげん	帰ります
14:43	あすか 11/19 8/11	どんなんなったのー？
14:43	あすか 11/19 8/11	前髪ありパパ見れる日が遠のいた。。
14:46	ゆうげん	"今はまだパーマ強くて
落ち着いたら馴染むって"
14:47	ゆうげん	俺の髪は独特すぎる
14:47	あすか 11/19 8/11	どんなん？今
14:47	あすか 11/19 8/11	パパが思うほどじゃないと思うけどね、周りの見方は
14:48	ゆうげん	"いや
癖だけじゃなくて"
14:48	ゆうげん	乾き方とか
14:48	ゆうげん	ぱさつき方
14:48	ゆうげん	家帰ったらねー
14:48	あすか 11/19 8/11	"私パパの髪の毛について
なんか直した方がいいとか
おもったことなかった"
14:48	あすか 11/19 8/11	癖強いとかパサついてるとか
14:49	ゆうげん	"直したらいいじゃなくて
オシャレじゃないとダメなのよ"
14:49	ゆうげん	髪型
14:57	ゆうげん	俺もお昼まっく
15:14	ゆうげん	なぎお昼寝?
15:22	あすか 11/19 8/11	なぎ起きてるよ
15:22	ゆうげん	あれ
15:22	ゆうげん	お昼寝は?
15:22	あすか 11/19 8/11	気晴らしにカラオケ連れてこうとしてる、しゅんがおごってくれそやから
15:22	あすか 11/19 8/11	お昼寝したよ
15:22	ゆうげん	初カラ
15:22	ゆうげん	なぎたん
15:22	ゆうげん	何歌うかな
15:23	あすか 11/19 8/11	何でも知ったかして歌うはず
15:47	ゆうげん	行く時教えてな
15:47	ゆうげん	聞きたい
16:07	あすか 11/19 8/11	[動画]
16:07	あすか 11/19 8/11	[動画]
16:07	あすか 11/19 8/11	[写真]
16:07	あすか 11/19 8/11	[動画]
16:08	あすか 11/19 8/11	小さいマイクくれた
16:08	ゆうげん	かわい
16:09	ゆうげん	歌ってないの?
16:09	あすか 11/19 8/11	"みんなが歌ってる時に
ナギもマイク持って歌ってる感じ"
16:19	ゆうげん	マイク降ってるの可愛い
16:24	あすか 11/19 8/11	JOYSOUNDやからあれやけど
16:24	あすか 11/19 8/11	未来へ歌ったら95点出た
16:25	あすか 11/19 8/11	[写真]
16:26	ゆうげん	甘々採点
16:26	ゆうげん	いいなぁ
16:26	ゆうげん	ままだけ
16:38	あすか 11/19 8/11	DAMでは出せない点数ばっかり出る
17:03	ゆうげん	[スタンプ]
17:11	あすか 11/19 8/11	パパと二人できたい
17:11	あすか 11/19 8/11	カラオケ
17:12	ゆうげん	また行きたいね
17:12	ゆうげん	あぇらぁじぃん
17:43	あすか 11/19 8/11	アラジン？
18:17	ゆうげん	あらじん
18:45	あすか 11/19 8/11	パパのホールニューワールド歌う時の声好き
19:31	あすか 11/19 8/11	パパどしたのーー
20:29	ゆうげん	ゆうね
20:29	ゆうげん	してしまってた
21:16	あすか 11/19 8/11	上あがってきた
21:16	あすか 11/19 8/11	[動画]
21:19	ゆうげん	お疲れ様
21:19	ゆうげん	かっわい
21:25	あすか 11/19 8/11	カラオケデビューで歌った曲が童謡じゃなくて「僕らまた」
21:25	あすか 11/19 8/11	笑
21:25	あすか 11/19 8/11	[写真]
21:34	ゆうげん	今どきっ子
21:34	ゆうげん	どれがなぎか分からんかった
21:36	ゆうげん	[写真]
21:36	ゆうげん	こんなジャケット好き?
23:33	ゆうげん	👀

2022/05/29(日)
08:31	あすか 11/19 8/11	だめや、、寝落ちしてた
08:31	あすか 11/19 8/11	そしてゆー君にキツく何かを言い続けられる夢みてて起きたら号泣してた(笑)
08:31	あすか 11/19 8/11	自分じゃ絶対選ばんなぁぁ
09:13	ゆうげん	おはよう
09:13	ゆうげん	今起きた
09:17	あすか 11/19 8/11	おはよう
09:31	あすか 11/19 8/11	[写真]
09:31	あすか 11/19 8/11	[写真]
09:31	あすか 11/19 8/11	[写真]
10:12	あすか 11/19 8/11	☎ 通話時間 40:04
10:12	あすか 11/19 8/11	ナギの仕業か
10:12	ゆうげん	切られた
10:12	ゆうげん	お風呂入るよー
10:12	あすか 11/19 8/11	着替えも終わったしスーパー行ってくる
10:13	あすか 11/19 8/11	"昨日買い物行ってないから
食材切れてる"
10:14	あすか 11/19 8/11	朝りんごもバナナもなかったからナギアンパンマンポテトとシスコーン食べた
10:26	ゆうげん	アンパンマンポテト
10:26	ゆうげん	上手いよね
11:37	あすか 11/19 8/11	甘いよね
11:37	あすか 11/19 8/11	アンパンマンポテト
12:13	ゆうげん	おほるどうしよ
12:13	ゆうげん	おひる
12:29	あすか 11/19 8/11	カップ麺食べた今日は
12:33	ゆうげん	なにあじ?
15:27	あすか 11/19 8/11	パパが前食べてた辛いカップヌードル
17:14	あすか 11/19 8/11	パパ労金の出せた？
17:15	ゆうげん	晩に出すよ！
17:15	ゆうげん	書いたから
17:15	あすか 11/19 8/11	おけおけ，了解です
17:16	あすか 11/19 8/11	"6/17は休み取れるん？
LIXILとウッドワン
ショールーム入れて
くれたけど。。"
17:16	あすか 11/19 8/11	金曜日よ？💦
17:24	あすか 11/19 8/11	6/10土地決済何時からとかって覚えてる？
17:27	ゆうげん	そこは大丈夫
17:27	ゆうげん	土地決済は覚えとらん
17:27	ゆうげん	[スタンプ]
17:27	ゆうげん	時間
17:41	あすか 11/19 8/11	そうなのね、ありがとう
17:41	あすか 11/19 8/11	おけ、また松本さんに確認するね
17:42	ゆうげん	確か10:00やったと思うけど
17:42	ゆうげん	一応確認してね
17:42	あすか 11/19 8/11	"今日はたっぷりお昼寝したし生理も3日目で落ち着いてきたから
夜起きとけそ"
17:42	あすか 11/19 8/11	また話さなきゃよね、続き
17:42	あすか 11/19 8/11	おけ、ありがとう
17:42	ゆうげん	"せやで
今日はちゃんと話し合お"
17:42	ゆうげん	[スタンプ]
17:42	あすか 11/19 8/11	うん、ここ2日間ごめんね
17:43	ゆうげん	[スタンプ]
17:43	あすか 11/19 8/11	寝てほしいの？
17:43	ゆうげん	嘘じゃ嘘じゃ
17:49	あすか 11/19 8/11	[スタンプ]
17:52	ゆうげん	昨日久々にお鍋してた
17:52	ゆうげん	1人鍋
17:53	あすか 11/19 8/11	いいね、おいしいよねお鍋
17:53	あすか 11/19 8/11	野菜食べた？
17:54	ゆうげん	豚肉と
17:54	ゆうげん	ブロッコリ
17:54	ゆうげん	とブロッコリスプラウぅ
18:06	あすか 11/19 8/11	鍋にブロックー
18:28	ゆうげん	やさいおいし
18:29	あすか 11/19 8/11	ね、おいしいよねー
18:29	あすか 11/19 8/11	AbemaTVさ、せっかくプレミアムにしてもらったのにあの後から夜は寝落ちか家のこと話すって感じで見る時間なくて全然見てない。。。見たいの溜まってる
18:30	ゆうげん	たぅさんみなよ
18:30	ゆうげん	せっかくだし
18:30	あすか 11/19 8/11	観たいけどね〜時間が。。
18:30	あすか 11/19 8/11	お昼もやる事あるか寝てるか…
18:34	ゆうげん	夜見ながら考えよ
18:35	あすか 11/19 8/11	そんな器用なことできねー
18:35	あすか 11/19 8/11	[スタンプ]
18:35	あすか 11/19 8/11	早くやること決めること終わらせて一気見しよっと。。
18:54	ゆうげん	今日起きとけよー
19:43	あすか 11/19 8/11	うん、起きとく
19:47	あすか 11/19 8/11	[写真]
19:48	あすか 11/19 8/11	"今日は
〇鮭とほうれん草としめじの混ぜご飯
〇ミックスベジタブル
〇プチトマト"
19:48	あすか 11/19 8/11	野菜先完食して今ご飯食べてる
19:50	あすか 11/19 8/11	バルミューダって扇風機もあんの(笑)
19:50	あすか 11/19 8/11	今コストコで浜田とオリンピック選手が買い物するやつみてて
19:51	あすか 11/19 8/11	出てきた
19:55	ゆうげん	おやさいすきね
19:56	ゆうげん	扇風機はかってないなぁ
20:15	ゆうげん	扇風機は季節的に
20:15	ゆうげん	住んでからかな
22:02	あすか 11/19 8/11	なぎ寝ました
22:02	あすか 11/19 8/11	眠いけどなんとか耐えた
22:24	あすか 11/19 8/11	まさかのパパが寝てますかね
22:40	あすか 11/19 8/11	☎ 不在着信
22:45	あすか 11/19 8/11	寝てるだけならいいけど…
22:45	あすか 11/19 8/11	労金のやつこんな時間に焦って出しに行ったりしてないよね？
22:45	あすか 11/19 8/11	大丈夫？
23:59	ゆうげん	寝ちまってた
23:59	ゆうげん	起きてる❓

2022/05/30(月)
00:24	あすか 11/19 8/11	寝てたんね
00:24	あすか 11/19 8/11	起きた
00:33	ゆうげん	[写真]
00:33	ゆうげん	[写真]
00:46	あすか 11/19 8/11	[写真]
00:46	あすか 11/19 8/11	[写真]
00:59	あすか 11/19 8/11	[写真]
01:08	あすか 11/19 8/11	"〈キッチン周り〉
〇カップボード上の窓はナシ
〇カップボードとパントリーの
間に縦長のFIX窓入れる
〇24h本体下がり天井とも
被るから今のままはNG
向き変えるか場所変えるか
〇LIXILショールームで
変える予定のこと↓
・キッチン、カップボードの
扉の色をウォルナット⇒グレー系
・ガス⇒IH
・天板変更可能かきっちり確認


〈LDK柱部分〉
図面そのまま見て縦に壁(70~80cm)
奥行は15cmくらい

〈トイレ1階〉
〇手洗いアイカ希望
〇窓変更
(横滑りだし窓、天井どんつき) 
〇下部壁ふかす
(下から何cmかは未定)
〇飾り棚
(150~160cmくらいの位置)
↑
窓と棚と壁ふかし部分の
バランス見て決定したい

〈トイレ2階〉
〇手洗いアイカ希望
〇下部壁ふかす
(下から何cmかは未定)
〇壁ふかした上に40~50cm
あけて扉付きの棚作る
(イメージ写真あり)"
01:10	あすか 11/19 8/11	[ノート] 〈キッチン周り〉
〇カップボード上の窓はナシ
〇カップボードとパントリーの
間に縦長のFIX窓入れる
〇24h本体下がり天井とも
被るから今のままはNG
向き変えるか場所変えるか
〇LIXILショール
01:22	あすか 11/19 8/11	[写真]
01:26	あすか 11/19 8/11	[写真]
01:46	あすか 11/19 8/11	[写真]
01:48	あすか 11/19 8/11	[写真]
01:48	あすか 11/19 8/11	[写真]
02:06	ゆうげん	☎ 通話時間 1:42:20
09:06	あすか 11/19 8/11	おはよう
09:06	あすか 11/19 8/11	起きれた？
09:22	ゆうげん	おはおー
09:22	ゆうげん	"6:00
6:30
7:00
7:15
7:30"
09:23	ゆうげん	っていう順に起きた
09:27	あすか 11/19 8/11	遅寝やったのに
09:27	あすか 11/19 8/11	早起きやったのね
09:28	ゆうげん	何度寝したやろ
10:17	あすか 11/19 8/11	凄いこまめに起きてるね
11:31	ゆうげん	眠りが浅かったよ
15:06	あすか 11/19 8/11	"今日は早めにしっかり
寝れたらいいね"
16:20	あすか 11/19 8/11	"冷蔵庫のうしろのニッチ、
板つけてたっけ？？
つけてた気がするけど
なしにする？ありのまま？"
16:20	あすか 11/19 8/11	[写真]
16:20	あすか 11/19 8/11	[写真]
16:20	あすか 11/19 8/11	コントローラーユニットこんなん
16:20	あすか 11/19 8/11	"壁にそのままつけてよさそ？
ニッチに入れたい？"
16:20	あすか 11/19 8/11	"後このふたつくらい決めたら
とりあえず松本さんに話そうかなと思う"
16:38	ゆうげん	今のとこ板なし
16:40	あすか 11/19 8/11	了解です
16:43	あすか 11/19 8/11	今寝室の窓
16:43	あすか 11/19 8/11	[写真]
16:43	あすか 11/19 8/11	保留になってるけど保留のまま？
16:43	あすか 11/19 8/11	これはどーする
17:53	あすか 11/19 8/11	今日は忙しいんかな
19:02	ゆうげん	終わったで
19:02	ゆうげん	打ち合わせ伸びた
19:34	ゆうげん	また後で話し合お
19:34	ゆうげん	ご飯何食べたん🍚
22:03	ゆうげん	なぎ寝た?
22:03	あすか 11/19 8/11	お疲れ様です
22:03	あすか 11/19 8/11	今日はつくねと人参いんげんとトマト梛食べた
22:40	ゆうげん	☎ 通話時間 34:45
22:56	あすか 11/19 8/11	[写真]
23:07	あすか 11/19 8/11	[写真]
