ゆうげん	関電なんやと
20:14	ゆうげん	ええで
20:14	ゆうげん	俺も可愛いと思うし
23:37	あすか 11/19 8/11	"ありがとう〜
サイズなにこれww"
23:37	あすか 11/19 8/11	[写真]
23:37	あすか 11/19 8/11	[写真]
23:37	あすか 11/19 8/11	[写真]
23:37	あすか 11/19 8/11	あと3ヶ月点検どーする？ﾊﾟﾊﾟおる方がいい？？
23:56	ゆうげん	せやな
23:57	ゆうげん	俺おった方がいい
23:57	ゆうげん	靴のサイズ全然わからん

2023/02/01(水)
08:11	あすか 11/19 8/11	じゃあ土日で日程組んでもらうようにするけど、土日やったらいつでもいい？
08:11	あすか 11/19 8/11	おはよう
08:11	ゆうげん	うん
08:11	ゆうげん	お願いします
08:11	あすか 11/19 8/11	了解です
08:12	あすか 11/19 8/11	[写真]
08:12	あすか 11/19 8/11	[写真]
08:12	あすか 11/19 8/11	[写真]
08:12	ゆうげん	顔よ
08:14	あすか 11/19 8/11	起きかけてまた眠りについた瞬間の写真
08:27	ゆうげん	そういえば
08:27	ゆうげん	ガス電気水道の
08:27	ゆうげん	支払い明細来てない?
08:47	あすか 11/19 8/11	[写真]
08:47	あすか 11/19 8/11	みえる？
08:48	ゆうげん	支払い書のけて
08:49	ゆうげん	明細だけに絞って
08:49	あすか 11/19 8/11	"これ、電気とガス
コンビニとかに払いに行かな
あかんやつ？"
08:49	ゆうげん	同じ種類の重複しててわからん
08:49	ゆうげん	コンビニ行かなあかんね
08:49	あすか 11/19 8/11	[写真]
08:49	あすか 11/19 8/11	支払い方法かえないとなぁ
08:50	ゆうげん	これ
08:50	ゆうげん	全部12/17とか12/18とかになってるけど
08:50	ゆうげん	入居は12/20やから
08:50	ゆうげん	差分確認して欲しい
08:50	ゆうげん	松本さんに
08:51	ゆうげん	2,3日分多く払うことになる
08:51	ゆうげん	"感想としては
水道と電気はまあこんなもんやろうなって感じ"
08:51	ゆうげん	ガスが思いのほか高かった
08:51	あすか 11/19 8/11	17日(引渡し)以降私らが荷物運んだり片付けたりしてる間の分じゃないの
08:52	ゆうげん	引渡し12/20ちゃうかったっけ
08:52	ゆうげん	[写真]
08:52	あすか 11/19 8/11	17日やで！ゆーくんが来て住み出したのが20日
08:53	ゆうげん	"これ
家賃
電気ガス水道合わせた金額"
08:54	ゆうげん	住宅手当がほぼちょうど電気ガス水道代金打ち消してる感じ
08:55	ゆうげん	"おおよそ手取りが26~28やから
8~10万残る感じ"
08:56	ゆうげん	"ただボーナスがあるから
月に分散すると月➕15万"
08:56	ゆうげん	毎月23~25万残る感じか
08:57	あすか 11/19 8/11	コンビニに払いに行く？これ
08:57	ゆうげん	コンビニやろうね
08:57	ゆうげん	しかもカードIDあかんかった気がする
08:57	あすか 11/19 8/11	現金か
08:57	ゆうげん	早く切り替えよう
08:57	ゆうげん	一応コンビニで確認してみて
09:03	あすか 11/19 8/11	[写真]
09:03	あすか 11/19 8/11	[写真]
09:03	あすか 11/19 8/11	ガスは口座振替の案内は来てて、電気は封筒になんか書いてる
09:11	ゆうげん	今日やるわ
09:15	ゆうげん	でもとりあえず規模感わかってよかった
09:15	ゆうげん	仕事頑張るわ
09:59	あすか 11/19 8/11	ﾌﾟﾁﾐｸﾞ、春服第2弾2月末に発表らしい！第1弾先にみせてもらった
09:59	あすか 11/19 8/11	[写真]
09:59	あすか 11/19 8/11	[写真]
09:59	あすか 11/19 8/11	[写真]
10:03	ゆうげん	女の子って感じやな
10:28	あすか 11/19 8/11	サロペットとスウェット可愛いね
10:58	あすか 11/19 8/11	もえみちゃん、4日(土)来てくれるって
11:56	ゆうげん	おけ
11:56	ゆうげん	2/3(金)に外構工事開始
11:56	ゆうげん	9:00からで一応同じ時間に鈴鹿さんも来るらしい
11:57	ゆうげん	バタバタしてるやろうから落ち着いたら顔合わせて欲しいって
11:57	ゆうげん	そこでポストとかまだ確定していないとこも言って欲しいって
11:58	ゆうげん	アスカのメアドくれ
11:58	ゆうげん	そこにカタログ送る
12:04	あすか 11/19 8/11	どゆこと？いける時に顔出しに外出てきてーってこと？？
12:04	あすか 11/19 8/11	su-chan.1925@i.softbank.jp
12:04	ゆうげん	"そう
10:00くらいまではいるらしい"
12:12	ゆうげん	メール送った
12:29	あすか 11/19 8/11	来てないっぽい
12:31	ゆうげん	[写真]
12:33	あすか 11/19 8/11	[写真]
12:35	ゆうげん	迷惑の方は?
14:15	あすか 11/19 8/11	[写真]
14:24	ゆうげん	わからん
16:43	あすか 11/19 8/11	私もわかんないな、、
16:44	あすか 11/19 8/11	[写真]
16:44	あすか 11/19 8/11	[写真]
16:44	あすか 11/19 8/11	[写真]
16:44	あすか 11/19 8/11	[写真]
16:44	あすか 11/19 8/11	[写真]
16:45	あすか 11/19 8/11	igのお友だちのハンドメイド服プレゼント企画当選してたやつ、届いた
16:52	ゆうげん	あったね
16:52	ゆうげん	"ええやん
かっこいい"
16:53	ゆうげん	髪切ったな
16:53	ゆうげん	なぎ
16:54	あすか 11/19 8/11	すごいよね、sizeもいい感じ、かわいい
16:54	あすか 11/19 8/11	お、気づいたか
16:54	あすか 11/19 8/11	耳周りと前髪を
18:35	ゆうげん	もみあげ揃えたい
19:37	あすか 11/19 8/11	もみあげってどこや
19:38	ゆうげん	[写真]
19:40	あすか 11/19 8/11	そこね！変になったら嫌やな思ってあんまりいじらんかったw
20:17	ゆうげん	また美容室いこ
20:17	ゆうげん	このチェックかっこいいな
20:17	ゆうげん	この人服売ってないの?
22:24	あすか 11/19 8/11	オーダーとかしたら売ってくれるんちゃうかな？

2023/02/02(木)
00:08	ゆうげん	オーダー高そう
08:55	あすか 11/19 8/11	いくらで作ってくれるんやろね
08:55	ゆうげん	おはよう
08:55	ゆうげん	身体痛いっぴ
08:56	ゆうげん	節々
08:56	ゆうげん	体調不良とかでは無いけど
08:56	あすか 11/19 8/11	前兆かもよ、気をつけて
08:57	あすか 11/19 8/11	4日もえみちゃんたち来るし
09:09	ゆうげん	ういうい
09:09	ゆうげん	もしまだ妊娠してなくて
09:09	ゆうげん	ナギ預けられるあったら
09:09	ゆうげん	ちょっといいお店行きたい
09:10	ゆうげん	妊娠しちゃうとまたかなり先になりそうだし
10:19	あすか 11/19 8/11	授かれるまでまだまだ時間かかりそうやけどなぁ
10:19	あすか 11/19 8/11	1/24~ずーっと少量の出血続いてるし
10:43	ゆうげん	体調はどう?
11:29	ゆうげん	"今週は帰って
来週は一旦帰るの控えようかな"
11:29	ゆうげん	今週は死ぬ気で片付けするわ
12:48	あすか 11/19 8/11	"別に普通

明らか生理や妊娠ではないから腹立つwなんでこんな時に不正出血ーて"
12:48	あすか 11/19 8/11	あ、ごめん、今週片付ける暇ないかも夜しか
12:53	ゆうげん	いや
12:53	ゆうげん	俺がね
12:53	ゆうげん	主に
12:58	あすか 11/19 8/11	"2/4(土) 

10:00~ 
太陽光パネルの話しにくる(前と別の会社)

お昼頃
もえみちゃんたち来る

2/5(日)
15:15~  まつげパーマ
その後ゆうか来る(16:00北助松予定)
晩ご飯一緒に食べる"
12:59	ゆうげん	太陽光パネル?
12:59	ゆうげん	俺は拒否るよ
12:59	ゆうげん	イランから
13:01	あすか 11/19 8/11	拒否ってもいいよ
13:01	あすか 11/19 8/11	私もつける予定なし
13:01	あすか 11/19 8/11	[写真]
13:02	あすか 11/19 8/11	とりあえず聞くだけ聞こ
13:02	ゆうげん	"いや
インフルってことで拒否"
13:02	あすか 11/19 8/11	妊活はちょい休憩かな
13:03	あすか 11/19 8/11	いやもうこの日って言っちゃったしさっきも確認の電話で
13:04	あすか 11/19 8/11	"前の7月に救急車乗った以降生理も不順なってるし今月は不正出血しとるしちょっと１回婦人科行った方がいいかなー。
授かりものやから仕方ないけど授かれへん過ぎてもメンタルやられる"
14:55	ゆうげん	ふむ
14:55	ゆうげん	落ち着いたら行っといで
14:56	ゆうげん	まじ太陽光パネルとか要らんのよね
14:56	ゆうげん	どうせペイ出来ないから
15:55	あすか 11/19 8/11	私もいらんとは思ってるよー
16:04	ゆうげん	速攻で帰ってもらうようにするわ
16:05	ゆうげん	"鈴鹿さんから



國松様

御世話になっております
続けてご確認＆色等決めて頂きたい商品のカタログＰＤＦを
添付致します

印刷したモノを3日奥様にお預け致しますので
最終確認・色の決定をお願い致します

宜しくお願い致します

"
16:06	ゆうげん	[ファイル]
16:06	ゆうげん	[ファイル]
16:06	ゆうげん	[ファイル]
16:06	ゆうげん	[ファイル]
16:38	あすか 11/19 8/11	🙆🏻‍♀️
16:40	あすか 11/19 8/11	これ決めきれてないやつたち？
17:25	ゆうげん	そそ
18:11	あすか 11/19 8/11	[写真]
18:11	あすか 11/19 8/11	[写真]
18:11	あすか 11/19 8/11	これかなぁ？
18:12	ゆうげん	笠木どうする?
18:13	あすか 11/19 8/11	んー、どうしよ、、
18:37	ゆうげん	"シャイングレー
オータムブラウン"
18:37	ゆうげん	辺がいいな
18:40	ゆうげん	シャイングレー高っ
18:41	あすか 11/19 8/11	🚪周り木目やからチェリーウッドとかにするのもありかも？
18:41	あすか 11/19 8/11	でも
18:41	あすか 11/19 8/11	土台？がグレーぽいんやっけ
18:45	ゆうげん	むぅ
18:45	ゆうげん	"石は黒
ライトも黒"
18:46	ゆうげん	[写真]
18:46	ゆうげん	これがシャイングレー
20:46	ゆうげん	土曜のお昼
20:46	ゆうげん	お寿司にしてもいい?
20:46	ゆうげん	あやみが食べたいんやと

2023/02/03(金)
07:08	あすか 11/19 8/11	むずいなぁ、ポストとの色合いとか、、むずい
07:09	あすか 11/19 8/11	土曜日のお昼お寿司いいよーー
07:09	あすか 11/19 8/11	家でやんな？
07:09	ゆうげん	うん
07:09	ゆうげん	笠木あと2時間で決めといて
07:10	あすか 11/19 8/11	え、無理すぎる
08:12	ゆうげん	"シャイングレー
オータムブラウン
クリエダーク
ブラック"
08:12	ゆうげん	どれかでお願い
08:16	あすか 11/19 8/11	4択、、
08:17	ゆうげん	門柱の下が黒やから
08:17	ゆうげん	木目はNG
08:17	あすか 11/19 8/11	いや、そゆことじゃなくって
08:17	あすか 11/19 8/11	候補多いw
08:18	ゆうげん	"シャイングレー
オータムブラウン"
08:18	ゆうげん	2択
08:18	ゆうげん	おれはね
08:19	あすか 11/19 8/11	シャイングレーかなぁ
08:19	ゆうげん	お願いします
08:19	あすか 11/19 8/11	屋根がグレーやし家の土台もグレーやもんな
08:19	ゆうげん	[スタンプ]
08:19	あすか 11/19 8/11	ポストのカラーとの相性はいける？
08:20	ゆうげん	いけるいける
08:20	あすか 11/19 8/11	おけ
11:25	ゆうげん	胃が痛い
11:36	あすか 11/19 8/11	なんか食べたん？
11:37	あすか 11/19 8/11	胃腸炎とか流行ってるから気をつけて今日帰ってくるのも無理したらあかんで、ミアちゃんにも会うんやし
11:54	ゆうげん	ストレス
13:32	あすか 11/19 8/11	ストレス？
13:32	あすか 11/19 8/11	どした、なんかあったの？
13:37	ゆうげん	いや普通に
13:38	ゆうげん	ストレス
13:38	ゆうげん	積み重ね
14:02	あすか 11/19 8/11	しごと？
14:05	あすか 11/19 8/11	ストレスならもっと早く出てるやろうし気をつけて体調
14:09	ゆうげん	仕事も通勤も
14:09	ゆうげん	まじ疲れてる
14:10	ゆうげん	マッサージ機持って帰ろ
14:18	あすか 11/19 8/11	テレワークある生活になれてたもんなぁ
14:31	ゆうげん	しかも周りもそうなんか
14:31	ゆうげん	めっちゃ電車混む
14:32	ゆうげん	ずっとぎちぎち
14:40	あすか 11/19 8/11	コロナが春くらい？にインフルみたいな扱いになるってちらっと見た気がする
14:40	あすか 11/19 8/11	もうみんな普通になるよね
15:25	あすか 11/19 8/11	[写真]
15:25	あすか 11/19 8/11	[写真]
15:25	あすか 11/19 8/11	[写真]
15:25	あすか 11/19 8/11	[写真]
15:25	あすか 11/19 8/11	[写真]
15:25	あすか 11/19 8/11	[写真]
15:25	あすか 11/19 8/11	お昼に節分ごはんしたよ
15:26	あすか 11/19 8/11	[写真]
15:27	ゆうげん	かわいい
15:27	ゆうげん	せつぶん
15:28	あすか 11/19 8/11	今日の夜は鬼来るってさ
15:28	あすか 11/19 8/11	泣くかな
15:44	ゆうげん	おっちゃん来るんやな
15:53	あすか 11/19 8/11	そ、おっちゃん来る
15:55	ゆうげん	泣くやろうな
15:55	ゆうげん	楽しみ
16:27	あすか 11/19 8/11	動画撮っとこ
17:40	ゆうげん	楽しみにしてる
19:04	あすか 11/19 8/11	今日は何時のバス？
19:04	ゆうげん	23:00やんr
19:04	ゆうげん	やね
19:12	あすか 11/19 8/11	そかそか、気をつけてね
19:18	ゆうげん	気をつけるで
19:51	ゆうげん	なぎどうやった??
19:51	ゆうげん	気になる
20:00	あすか 11/19 8/11	今さっき来たよ👹
20:00	あすか 11/19 8/11	[動画]
20:00	あすか 11/19 8/11	[動画]
20:01	ゆうげん	めっさ可愛い
20:02	ゆうげん	笑
20:02	あすか 11/19 8/11	昨年とはまた違うよな、可愛い(笑)
20:03	あすか 11/19 8/11	[動画]
20:03	あすか 11/19 8/11	これ昨年
20:03	ゆうげん	最初のひなへのダッシュが好き
20:04	ゆうげん	スタスタスタっ
20:05	あすか 11/19 8/11	[動画]
20:06	ゆうげん	楽しそうに喋るやん
20:07	あすか 11/19 8/11	これも昨年にはなかった成長w
20:08	ゆうげん	よく喋るようになったね
20:08	あすか 11/19 8/11	ね(笑)
20:13	ゆうげん	可愛いね
20:14	ゆうげん	早く一緒に遊びたい
20:16	あすか 11/19 8/11	明日お昼のお寿司ははま寿司？
20:22	ゆうげん	かな
20:22	ゆうげん	なんかある?
20:23	あすか 11/19 8/11	ううん！家やんな？
20:25	ゆうげん	うぬ
20:25	ゆうげん	俺がとってくる
20:25	あすか 11/19 8/11	ありがとございます
20:26	あすか 11/19 8/11	なんか一個毛布洗濯しとこかな、ミアちゃんごろんしたいよね
20:26	ゆうげん	せやな
20:26	ゆうげん	あとなんか
20:27	ゆうげん	写真撮って欲しいらしい
20:27	ゆうげん	ベビーフォト
20:28	あすか 11/19 8/11	ベビーフォト
20:28	あすか 11/19 8/11	どんなんでもいいの？
20:28	ゆうげん	[写真]
20:28	ゆうげん	[写真]
20:28	ゆうげん	[写真]
20:28	ゆうげん	こんな構図やって
20:29	あすか 11/19 8/11	丁度🍆あるで
20:33	ゆうげん	やろか
20:33	ゆうげん	スヌーピー

2023/02/04(土)
00:06	あすか 11/19 8/11	一日遅れの節分とかバレンタインとかも絶対かわいーね
07:16	ゆうげん	難波ついたよ
08:08	あすか 11/19 8/11	そろそろこっち着くのかな
08:14	ゆうげん	あるおてる
12:47	あすか 11/19 8/11	またどっか行ってるん？
12:48	あすか 11/19 8/11	もえみちゃんら何時くらいなりそう？
12:48	あすか 11/19 8/11	なぎ寝かせよかな
12:48	ゆうげん	そそ
12:48	ゆうげん	もいっこあった
12:48	ゆうげん	1回寝かせよ
12:48	ゆうげん	返事コーヘン
12:48	あすか 11/19 8/11	今日普通に7時くらいから起きてるし昼寝なしやと変な時間に寝る
12:48	ゆうげん	おけおけ
12:48	あすか 11/19 8/11	自転車いる
12:48	あすか 11/19 8/11	あれま、、なんかあったんかなぁ
12:49	ゆうげん	5分で帰る
17:00	あすか 11/19 8/11	☎ 不在着信

2023/02/05(日)
15:52	ゆうげん	屋上おる

2023/02/06(月)
10:47	あすか 11/19 8/11	[写真]
21:02	ゆうげん	バス乗ったよ
21:02	ゆうげん	やっぱりみんな1緒が1番
21:07	あすか 11/19 8/11	気をつけて帰ってね
21:08	ゆうげん	もちろん
21:08	ゆうげん	とにかく体調1番に
21:08	ゆうげん	気をつける
21:09	ゆうげん	次会うまでに
21:09	ゆうげん	色々買っとこう
22:56	あすか 11/19 8/11	そだね、気をつけよ
22:57	あすか 11/19 8/11	lowya またみとく

2023/02/07(火)
00:02	ゆうげん	ありがとう
00:02	ゆうげん	あの服収納してる箱って
00:02	ゆうげん	サイズなんぼやっけ
00:02	ゆうげん	縦横奥行
00:02	ゆうげん	また余裕あったら教えて欲しい
00:04	ゆうげん	https://www.low-ya.com/goods/A185
00:04	ゆうげん	これいい
00:07	ゆうげん	https://www.low-ya.com/goods/F909_G1015_1SD
00:07	ゆうげん	すのこもこれにしたら??
00:55	ゆうげん	https://www.mutukistyle.com/products/2941
00:55	ゆうげん	これにしようかな
00:55	ゆうげん	本棚
00:56	ゆうげん	ホビールームの床から窓ってどれくらいの距離やっけ
05:56	ゆうげん	東京着いた
08:07	ゆうげん	おはよう
08:46	あすか 11/19 8/11	どこに？
08:47	あすか 11/19 8/11	"片付けたりできるん？
いいなぁと思う方の色ないねぇ"
08:48	あすか 11/19 8/11	ニトリのやつ？レギュラーサイズとかじゃなかったっけ
08:48	あすか 11/19 8/11	バスでちゃんと寝た？無理せずー
09:20	ゆうげん	結構ちゃんと寝れたよ
09:23	あすか 11/19 8/11	また家具に関してはゆっくり話そ
09:23	あすか 11/19 8/11	よかったです
12:28	ゆうげん	お昼
12:28	ゆうげん	お腹すきすぎてというか糖分足らなすぎてめっちゃクラクラしてた
12:29	ゆうげん	今週しっかり体力つけよう
12:38	あすか 11/19 8/11	ちゃんと食べた？
12:38	あすか 11/19 8/11	そやね、そうしよー
13:34	ゆうげん	食べたよ
13:34	ゆうげん	ありがとう
13:34	ゆうげん	早くあすかご飯食べたい
14:27	あすか 11/19 8/11	今度は23日に帰ってくる？
14:53	ゆうげん	せやね
14:53	ゆうげん	そこで帰る予定
16:09	あすか 11/19 8/11	24日さ、多分10.11時くらいから14.15時くらいまでやねんけど、
16:09	あすか 11/19 8/11	友だちとか会ってきていいー？
16:13	ゆうげん	うん
16:13	ゆうげん	ナギも?
17:16	あすか 11/19 8/11	そ、ナギも
17:16	あすか 11/19 8/11	前の4人組で遊ぶ予定なのよ
17:16	あすか 11/19 8/11	その間だけﾊﾟﾊﾟちょっとお昼寝なりでゆっくりしててぇ
17:55	ゆうげん	"わかった
屋上仕上げとく"
18:31	あすか 11/19 8/11	ゆっくりしてていいよ、お昼寝とかで
18:32	あすか 11/19 8/11	ごめんね
18:32	あすか 11/19 8/11	今日屋上ちょっと行ったんやけどさ
18:32	あすか 11/19 8/11	[写真]
18:32	あすか 11/19 8/11	みてw
18:32	ゆうげん	また生意気な
18:33	ゆうげん	結構屋上で遊んでくれてるから
18:33	あすか 11/19 8/11	誰やこんな寝転び方教えたの(笑)
18:33	ゆうげん	"作ってよかったって思う

俺では無いと思うけどなぁ"
18:33	ゆうげん	顔も事故ってるし
18:34	あすか 11/19 8/11	私も教えてない、YouTubeか笑
18:35	あすか 11/19 8/11	そ、この寝転び方したの一瞬やって
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	[写真]
18:36	あすか 11/19 8/11	今日もﾊﾞﾚﾝﾀｲﾝｺｰﾃﾞ写真撮った
18:36	あすか 11/19 8/11	かわい
18:47	ゆうげん	[写真]
18:47	ゆうげん	ひどい
18:48	あすか 11/19 8/11	こういうの絶対撮れちゃう
19:13	ゆうげん	でも可愛いからおっけい
20:24	あすか 11/19 8/11	[写真]
20:25	あすか 11/19 8/11	こないだ撮ったこれおもろいwかわいい
20:35	ゆうげん	やっぱり
20:35	ゆうげん	我が子はいいな
20:36	ゆうげん	どの写真見てもにやけたり微笑んだりできる
20:43	あすか 11/19 8/11	https://store.shopping.yahoo.co.jp/rush-mall/mantlepiece002.html?sc_i=shp_sp_search_sproitem_itmnm#Stock=1675770202265
20:44	ゆうげん	ふむ
21:13	あすか 11/19 8/11	[写真]
21:13	あすか 11/19 8/11	かわいい
21:16	あすか 11/19 8/11	https://item.rakuten.co.jp/sakoda-online/sh1/
21:17	ゆうげん	完成図ほしい
21:17	あすか 11/19 8/11	モールディングより床優先したいなぁ
21:17	あすか 11/19 8/11	完成図？
21:21	ゆうげん	部屋の感じ
21:21	ゆうげん	もっと具体的に
21:21	ゆうげん	床どれやっけ
21:27	あすか 11/19 8/11	具体的にってムズいけど
21:27	あすか 11/19 8/11	[写真]
21:27	あすか 11/19 8/11	[写真]
21:27	あすか 11/19 8/11	こんな感じもかわいいなぁて
21:28	あすか 11/19 8/11	マントルピースは常に何か置いとくというより、撮りたいものができた時に並べて撮ってみたりしたいなぁ
21:33	ゆうげん	ふむ
21:33	ゆうげん	そもそもなにおくの?
21:33	ゆうげん	種類というか
21:33	ゆうげん	"椅子
テーブル
本棚みたいな"
21:36	あすか 11/19 8/11	あんまりもの置かない予定
21:36	あすか 11/19 8/11	チェスト、小さい椅子数種類
21:36	あすか 11/19 8/11	くらい？
21:37	あすか 11/19 8/11	ナギの部屋も置き方変えて真ん中にテーブルと椅子おいてあげたいんよねぇ
21:43	あすか 11/19 8/11	床はこれって決めてるわけじゃないけど
21:43	あすか 11/19 8/11	https://item.rakuten.co.jp/kabegami-luck/y-cfse-31/
21:43	あすか 11/19 8/11	こんなんかな？
21:52	ゆうげん	床先買おか
21:52	ゆうげん	撮影にも使えるし

2023/02/08(水)
08:09	ゆうげん	おはよう
08:09	ゆうげん	"7:50におきて
8:06に家出た"
08:09	ゆうげん	"ちゃうわ
7:56"
08:09	ゆうげん	に家出た
08:16	ゆうげん	1分くらい休んだろか考えたわ
08:19	あすか 11/19 8/11	おはよ
08:19	あすか 11/19 8/11	危なかったね
08:19	あすか 11/19 8/11	無理せずね
08:19	ゆうげん	ボンバーヘェア
08:20	あすか 11/19 8/11	どんなん？
08:20	ゆうげん	いま電車や
08:20	ゆうげん	後でね
08:24	ゆうげん	[写真]
08:24	ゆうげん	なんか落ち着いてきた
08:53	あすか 11/19 8/11	え、普通やった
09:42	ゆうげん	家出る直前もっとやばかってん
09:42	ゆうげん	耳の後ろ羽生えてた
09:59	あすか 11/19 8/11	そうなのね
10:00	あすか 11/19 8/11	よかったね落ち着いて
10:55	ゆうげん	床もう買おうや
10:55	ゆうげん	全面敷き詰めるの?
15:11	あすか 11/19 8/11	んー、どうしよかな
15:12	あすか 11/19 8/11	ふと思ったけど、今週11.12の土日帰ってこんくて、次の週末の18.19も帰ってこん予定？
15:18	ゆうげん	"今週は取ってないけど
来週はわからん"
15:18	あすか 11/19 8/11	そか
15:19	ゆうげん	たぶん帰るけどな
17:58	ゆうげん	https://greenpan.store
17:58	ゆうげん	フライパンここいいね
17:58	ゆうげん	可愛い
19:03	ゆうげん	帰ってます
19:19	あすか 11/19 8/11	[写真]
19:19	あすか 11/19 8/11	[写真]
19:19	あすか 11/19 8/11	[写真]
19:19	あすか 11/19 8/11	私が気になっとるのこれ
19:19	あすか 11/19 8/11	また早めに決めててね〜
19:20	あすか 11/19 8/11	"でも、18.19帰ってきたら、バタバタするよな

今度帰ってくるん23やし"
19:24	あすか 11/19 8/11	お疲れ様です、気をつけて
19:33	ゆうげん	あすかもお疲れ様
19:33	ゆうげん	ふむ
19:33	ゆうげん	可愛いねそれ
20:38	あすか 11/19 8/11	可愛いし使いやすそうよねぇ
20:56	ゆうげん	色々買っていかないといけないなぁ
20:56	ゆうげん	ラグもやし
21:35	あすか 11/19 8/11	そだねぇ、色々仕上げていきたいけど厳しいよねぇ
21:42	ゆうげん	優先順位決めないとな

2023/02/09(木)
00:59	あすか 11/19 8/11	だね
08:20	あすか 11/19 8/11	おはよ
08:20	あすか 11/19 8/11	[動画]
08:21	ゆうげん	おはよう
08:22	ゆうげん	いい景色
08:26	ゆうげん	なんか言ってる?
08:26	ゆうげん	電車で音出せない
08:32	あすか 11/19 8/11	YouTubeみながら「ママ」て言ってるだけ笑
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	[写真]
08:34	あすか 11/19 8/11	昨日
08:43	ゆうげん	ぜんくん大きくなったな
08:43	ゆうげん	[写真]
08:43	ゆうげん	これよ
08:48	あすか 11/19 8/11	なぎの身長やっぱ高かった
08:49	あすか 11/19 8/11	[写真]
08:49	あすか 11/19 8/11	わっくん癒し
08:49	あすか 11/19 8/11	顔やばい
08:51	ゆうげん	もう一人の子はまだ名前ないんやっけ
08:51	あすか 11/19 8/11	ぜんちゃん、わく君
08:52	ゆうげん	もう一人
08:54	あすか 11/19 8/11	もう1人はまだお腹の中やで、決めてないんちゃう
09:08	ゆうげん	"そうか
まだ生まれてないのね"
09:08	ゆうげん	もう一人欲しいね
09:36	あすか 11/19 8/11	そうよ、わっくんが1歳になる頃が予定日らしいから6月後半なんかな
09:36	あすか 11/19 8/11	そだね
09:36	あすか 11/19 8/11	3人はほしいから2人目そろそろ授かれたら嬉しいなぁ
12:26	あすか 11/19 8/11	[動画]
13:12	あすか 11/19 8/11	[写真]
13:13	あすか 11/19 8/11	この瓶？とかｺｰﾋｰ豆入ってるのってどこのー？
13:15	ゆうげん	KINTO
13:15	ゆうげん	なぎかわいい
13:16	あすか 11/19 8/11	どっちもKINTO？
13:16	あすか 11/19 8/11	ごちそうさまでした
13:24	ゆうげん	どっちもやで
13:41	あすか 11/19 8/11	ありがと〜
14:38	ゆうげん	どして聞いたん??
15:43	あすか 11/19 8/11	プチミグのオーナーのりえちゃんが、今日の朝の動画みて、どこのー？て聞いてきてくれてたから！
17:58	あすか 11/19 8/11	明日、警報級の雪が降る恐れがあるってね？東京
17:58	あすか 11/19 8/11	気をつけてね
17:58	ゆうげん	らしいね
17:58	ゆうげん	今もクソ寒い
17:59	ゆうげん	なんとかテレワークのするわ
17:59	ゆうげん	"なるほどね
細かいとこみてる"
18:00	あすか 11/19 8/11	うちのマイホームをめっちゃ楽しみにしてくれてた(笑)
18:00	あすか 11/19 8/11	ね、テレワークがいいね
18:01	ゆうげん	まだまだ未完成やから
18:01	ゆうげん	頑張らないとな
18:03	あすか 11/19 8/11	おうちの写真見るのとか好きらしいりえちゃん
18:03	あすか 11/19 8/11	ね、まだまだ未完成
18:05	ゆうげん	本棚買いたい
18:05	ゆうげん	15000or25000
18:05	あすか 11/19 8/11	本棚私的には優先順位低めw
18:05	ゆうげん	[写真]
18:05	ゆうげん	これ
18:06	ゆうげん	ホビールームは本棚とボックス収納くらいしか置かんからな
18:06	ゆうげん	"本棚3段なら15000
4段で25000"
18:08	あすか 11/19 8/11	それはホビールーム用？
18:08	ゆうげん	うん
18:11	あすか 11/19 8/11	あんまり高くても不細工なりそじゃない？3段くらいがおしゃれそう
18:14	ゆうげん	それか3,2段別々に買うか
18:14	ゆうげん	これでも25000
18:36	あすか 11/19 8/11	？？
18:36	ゆうげん	2個買う
18:36	ゆうげん	ほんの量多いから
18:37	あすか 11/19 8/11	2個買ったら3万やんな？？
18:37	ゆうげん	2段と3段
18:37	ゆうげん	2段が1万
18:41	あすか 11/19 8/11	3段1個と2段１個てことか
18:46	ゆうげん	そう
19:05	あすか 11/19 8/11	そかそか
19:33	ゆうげん	買いたいなぁ
19:37	あすか 11/19 8/11	さきかったら？
20:32	あすか 11/19 8/11	おむつのゴミ箱もはよ買わな
20:32	あすか 11/19 8/11	あ、あと自転車ぶっ壊れた
20:32	あすか 11/19 8/11	ペダル？今まで以上にうるさなったし、サドル？座るところ完全に剥がれた
20:39	ゆうげん	あー
20:39	ゆうげん	かわないと
20:39	ゆうげん	あーーーーーー
20:39	ゆうげん	おかねがぁぁぁぁ
20:40	あすか 11/19 8/11	もう普通に安いﾏﾏﾁｬﾘ買お
20:40	あすか 11/19 8/11	2台いるし
20:40	ゆうげん	1個はそうするつもり
20:40	あすか 11/19 8/11	もう今はいいよ、電動高いし
20:40	あすか 11/19 8/11	普通の2台でいい
