	あすか 11/19 8/11	今日は夜起きれるようにします
22:06	ゆうげん	3人の
22:10	あすか 11/19 8/11	3人のご飯代？
22:10	ゆうげん	ホテルご飯代
22:13	あすか 11/19 8/11	メルカリでそれ稼ぐのすご､､､
22:21	ゆうげん	[スタンプ]
22:36	あすか 11/19 8/11	(emoji)
22:36	あすか 11/19 8/11	(emoji)
23:02	あすか 11/19 8/11	☎ 通話時間 10:13
23:07	ゆうげん	☎ 通話時間 4:22
23:18	あすか 11/19 8/11	[写真]
23:20	あすか 11/19 8/11	[写真]
23:25	あすか 11/19 8/11	[写真]
23:25	あすか 11/19 8/11	[写真]
23:27	あすか 11/19 8/11	[写真]
23:27	あすか 11/19 8/11	[写真]
23:28	あすか 11/19 8/11	[写真]
23:28	あすか 11/19 8/11	[写真]
23:37	あすか 11/19 8/11	[写真]
23:37	あすか 11/19 8/11	[写真]
23:37	あすか 11/19 8/11	[写真]
23:37	あすか 11/19 8/11	[写真]
23:44	あすか 11/19 8/11	[写真]
23:46	あすか 11/19 8/11	[写真]
23:46	あすか 11/19 8/11	[写真]
23:46	あすか 11/19 8/11	[写真]
23:46	あすか 11/19 8/11	[写真]
23:48	あすか 11/19 8/11	風船
23:48	あすか 11/19 8/11	2の風船とフラッグガーランド
23:57	あすか 11/19 8/11	[アルバム] (null)

2022/06/26(日)
00:01	ゆうげん	[写真]
00:04	あすか 11/19 8/11	[写真]
00:04	あすか 11/19 8/11	[写真]
00:04	あすか 11/19 8/11	[写真]
00:09	あすか 11/19 8/11	[アルバム] (null)
00:10		⁨あすか 11/19 8/11⁩がアルバム「⁨2022/06/25⁩」の写真を削除しました。
00:10	あすか 11/19 8/11	[アルバム] (null)
00:18	あすか 11/19 8/11	[写真]
00:18	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:23	あすか 11/19 8/11	[写真]
00:33	あすか 11/19 8/11	[写真]
00:33	あすか 11/19 8/11	[写真]
00:42	ゆうげん	hpkshops
00:45	あすか 11/19 8/11	[写真]
00:45	あすか 11/19 8/11	[写真]
00:46	ゆうげん	[写真]
00:50	ゆうげん	"『ほらよ』

[メルカリ] ゆうげんさんからお金 (メルペイ残高) ・ポイントの受取依頼があります。下記のURLより確認してください。
https://pay.merpay.com/receive/?token=c9344b9a-a476-4eb2-82b2-f85e23f686ca"
00:55	あすか 11/19 8/11	[写真]
00:56	あすか 11/19 8/11	[写真]
01:00	あすか 11/19 8/11	[写真]
01:00	あすか 11/19 8/11	[写真]
01:03	あすか 11/19 8/11	[写真]
01:03	あすか 11/19 8/11	[写真]
01:03	あすか 11/19 8/11	[写真]
01:03	あすか 11/19 8/11	[写真]
01:10	あすか 11/19 8/11	[写真]
01:12	あすか 11/19 8/11	[写真]
01:17	あすか 11/19 8/11	[写真]
01:18	あすか 11/19 8/11	☎ 通話時間 2:10:59
01:24	ゆうげん	[写真]
06:27	ゆうげん	☎ 通話時間 5:07:54
08:31	あすか 11/19 8/11	おはよ
09:10	ゆうげん	おはよう
09:20	あすか 11/19 8/11	今さ、
09:20	あすか 11/19 8/11	"ソフトバンク光に変えるのんに
おじさん2人来てるねんけどさ"
09:20	あすか 11/19 8/11	ナギが
09:21	あすか 11/19 8/11	「くんくー(じじぃ)、おいでー」
09:21	あすか 11/19 8/11	とか言い出して1人で笑いそうなった
09:33	ゆうげん	おいでー
09:34	ゆうげん	だいたいネタになってる
09:54	あすか 11/19 8/11	何が嫌って赤の他人のおじさんを「じじぃ」ってww
09:54	あすか 11/19 8/11	今は「くんくー」やからその本人には伝わらんけどさww
09:54	ゆうげん	なんでくんくーなんやろ
09:55	あすか 11/19 8/11	じじぃって言ってるつもりなんやけどな
09:55	あすか 11/19 8/11	じーじー(お絵描き)もくーくーみたいに聞こえる
10:35	ゆうげん	なるほどね
10:35	ゆうげん	荷物届いたー?
10:38	あすか 11/19 8/11	多分まだよー
10:39	あすか 11/19 8/11	そして今から外出
10:39	あすか 11/19 8/11	パパには荷物届いた？
10:39	ゆうげん	俺も飲み物買いに行かないと
10:39	ゆうげん	ん??
10:39	ゆうげん	荷物??
10:40	あすか 11/19 8/11	今日の午前中に着くんやったと思う
10:40	あすか 11/19 8/11	きのう
10:40	あすか 11/19 8/11	パパに贈り物した
10:40	ゆうげん	なにかおくってくれたのか
10:40	あすか 11/19 8/11	そう
10:41	ゆうげん	ありがとうね
10:55	ゆうげん	なんだろう
10:55	ゆうげん	わくわく
11:11	ゆうげん	[写真]
11:11	ゆうげん	お昼に食べます
12:48	あすか 11/19 8/11	お腹壊しませんように(笑)
12:49	あすか 11/19 8/11	自分では買わなさそーて思って買ってみた
12:49	あすか 11/19 8/11	"これから暑いから
出社とか水分と塩分チャージ
しっかりね"
12:49	ゆうげん	もう
12:49	ゆうげん	蒙古タンメンと
12:49	ゆうげん	ジャガビー
12:49	ゆうげん	消えた
12:49	あすか 11/19 8/11	あ、そうなの！笑
12:50	あすか 11/19 8/11	どやった？蒙古タンメン
12:58	ゆうげん	おいしかった
12:58	ゆうげん	どっちも好きやけど
12:58	ゆうげん	ラーメンの方が好み
14:18	あすか 11/19 8/11	そなのね
14:19	あすか 11/19 8/11	荷物って今日午前中に届いてるはずなの？？？
14:19	ゆうげん	あれ
14:19	ゆうげん	届いてない?
14:20	ゆうげん	[写真]
14:20	ゆうげん	遅れてるのかね
14:39	あすか 11/19 8/11	届いてなさげやね
14:39	あすか 11/19 8/11	[写真]
14:39	あすか 11/19 8/11	[写真]
14:40	あすか 11/19 8/11	[写真]
14:40	あすか 11/19 8/11	[写真]
14:40	ゆうげん	すいか
14:40	ゆうげん	食べれたのね
14:40	ゆうげん	[写真]
14:40	ゆうげん	かわいい
14:41	ゆうげん	まじかわいいな
14:42	あすか 11/19 8/11	美味しいみたい
14:42	あすか 11/19 8/11	私もまた食べよっと
14:42	あすか 11/19 8/11	これ可愛い
14:43	ゆうげん	尊い
14:43	ゆうげん	家族4人なったら
14:43	ゆうげん	そらもう賑やかやろうな
14:45	あすか 11/19 8/11	楽しみやなぁ、ナギがお兄ちゃんになるの
14:47	ゆうげん	そう思うと
14:47	ゆうげん	子供4人とか
14:47	ゆうげん	頭おかしい
14:54	あすか 11/19 8/11	頭おかしくはない
14:54	あすか 11/19 8/11	憧れ
14:55	あすか 11/19 8/11	"大変さもすごいけど、
幸せ度もやばい絶対"
15:05	ゆうげん	大変さがね
15:05	ゆうげん	頭おかしい
15:05	ゆうげん	幸せはすごいやろうね
15:07	あすか 11/19 8/11	大学とかみんな奨学金かりてもらうとか、皆同じようにしてあげればどんな風でもいいと思う
15:07	あすか 11/19 8/11	"・高校生なったらバイトすること！

・大学は奨学金借りてください


みたいなルール(笑)"
15:07	あすか 11/19 8/11	うちの父にしろお義父さんにしろ頑張りすぎ
15:08	あすか 11/19 8/11	[写真]
15:08	あすか 11/19 8/11	みてーー
15:08	ゆうげん	これは??
15:09	あすか 11/19 8/11	スリーコインズで買った
15:09	あすか 11/19 8/11	[写真]
15:09	あすか 11/19 8/11	サイズ感もかわいい
15:09	あすか 11/19 8/11	誕生日に使いたい
15:10	ゆうげん	可愛いね
15:10	ゆうげん	こんなん売ってるのね
15:10	あすか 11/19 8/11	うん、売ってた、かわいいよね
15:10	ゆうげん	ナギ汚ぇけど
15:10	あすか 11/19 8/11	ナギ、コストコのパンちまちま食べてるからパンのカスやばい
15:14	ゆうげん	今からでも
15:14	ゆうげん	誕生日待ち遠しい
15:35	あすか 11/19 8/11	[写真]
15:35	あすか 11/19 8/11	[写真]
15:35	あすか 11/19 8/11	[写真]
15:35	あすか 11/19 8/11	どう？(笑)
15:36	ゆうげん	ちょいぴち
15:39	あすか 11/19 8/11	90普通の服は余裕やねんけど
15:39	あすか 11/19 8/11	この服やとちょいピチ
15:39	あすか 11/19 8/11	お腹が(笑)
15:40	ゆうげん	買い直すか
15:55	あすか 11/19 8/11	[写真]
15:55	あすか 11/19 8/11	[写真]
15:55	あすか 11/19 8/11	[写真]
15:55	あすか 11/19 8/11	[動画]
15:55	あすか 11/19 8/11	この服やっぱめっちゃ嫌がる
15:56	あすか 11/19 8/11	90やけどお股の位置が気に入らんみたい
15:56	ゆうげん	あぶー
15:56	ゆうげん	って?
15:56	あすか 11/19 8/11	"あぶー？
グズグズのときは
YouTubeみせろっていう"
15:56	あすか 11/19 8/11	服脱いだら機嫌直った
15:56	ゆうげん	うーん
15:56	あすか 11/19 8/11	誕生日の服どーしよっか
15:56	ゆうげん	荷物届いたん?
15:56	ゆうげん	慣れるしかないねぇ
15:56	あすか 11/19 8/11	荷物届いた！ありがとう
15:56	あすか 11/19 8/11	慣れるというか
15:57	あすか 11/19 8/11	確かにめっちゃ歩きづらそうやねんほんまに
15:57	あすか 11/19 8/11	お股の位置が
15:58	あすか 11/19 8/11	服広げた瞬間、これ90！？てなるし、めっちゃかわいい服やのに着せると歩きづらそうでこりゃ嫌がるな…てわかる
15:58	あすか 11/19 8/11	写真やったら伝わりづらいかもやけど
15:58	ゆうげん	そんなに下なのか
16:09	あすか 11/19 8/11	そやねん
16:09	あすか 11/19 8/11	ほんまに歩きづらそうやしめっちゃ嫌がる
16:10	あすか 11/19 8/11	白のサロペットはちょいデカやけど全然着れた
16:16	あすか 11/19 8/11	ナギトイレでおしっこしたーー
16:16	ゆうげん	おお
16:16	ゆうげん	成長
16:16	ゆうげん	セットアップあるやろ
16:17	ゆうげん	ナギの
16:17	あすか 11/19 8/11	セットアップかわいかった
16:17	ゆうげん	たんぱんtシャツ
16:17	あすか 11/19 8/11	また着せて写真撮ろっと
16:17	あすか 11/19 8/11	色違いやんな？あれ
16:17	ゆうげん	いや
16:17	ゆうげん	全くおなじの
16:18	あすか 11/19 8/11	また違うやつなん？あ、全く同じのが2つ？
16:18	ゆうげん	全くおなじの2つ
16:18	ゆうげん	白tも
16:18	ゆうげん	同じの2つ
16:18	あすか 11/19 8/11	白のは全く同じやったのおぼえてる
16:19	ゆうげん	汚すやろうから
16:19	ゆうげん	2つ
16:23	ゆうげん	ママの服も
16:23	ゆうげん	使えそう?
18:16	あすか 11/19 8/11	なるほど
18:16	あすか 11/19 8/11	"まだ試着とかしてないけど
使えると思うー！"
18:17	あすか 11/19 8/11	[写真]
18:17	あすか 11/19 8/11	もえみちゃんインスタでも報告してたー🫶🏼
18:36	ゆうげん	おー
18:36	ゆうげん	今何ヶ月やっけ
18:37	ゆうげん	よかったよかった
19:39	あすか 11/19 8/11	4ヶ月だね
19:48	ゆうげん	もうこんな
19:48	ゆうげん	赤ちゃんの形なるんやったか
19:49	ゆうげん	☎ 通話をキャンセルしました
20:20	あすか 11/19 8/11	☎ 通話時間 31:08
21:44	あすか 11/19 8/11	☎ 不在着信
21:45	あすか 11/19 8/11	[写真]
21:45	あすか 11/19 8/11	[写真]
21:49	ゆうげん	☎ 通話をキャンセルしました

2022/06/27(月)
00:34	ゆうげん	あすか
00:34	ゆうげん	ナギちゃん
00:34	ゆうげん	大好きよ
07:40	あすか 11/19 8/11	あの後電気消して寝かしつけでそのまま寝落ちした
07:40	あすか 11/19 8/11	おはよ
07:41	あすか 11/19 8/11	昨日の夜生理きた
07:41	あすか 11/19 8/11	体ダル
08:00	ゆうげん	おは
08:00	ゆうげん	日にち微妙
08:11	あすか 11/19 8/11	"4月は28日〜
5月は27日〜
6月は26日〜
月末なのには変わりなしやな"
08:11	あすか 11/19 8/11	8月どうなるかな〜
08:13	あすか 11/19 8/11	[写真]
08:13	あすか 11/19 8/11	[写真]
08:13	あすか 11/19 8/11	なぎパパに似てきた
08:25	あすか 11/19 8/11	インスタで仲良くしてれてるママさん、妊娠報告してた🥺ほんま多いわ､､､メンタルやられる
08:32	あすか 11/19 8/11	"またや､､､また妊娠報告､､､
ほんま多い､､､"
08:32	あすか 11/19 8/11	"最近ほんまおめでとうより
いいなーが勝つ"
08:33	あすか 11/19 8/11	つまりも妊婦期間も出産も育児も大変極まりなかったのに…
08:33	あすか 11/19 8/11	てか大変継続中やのに…
08:33	あすか 11/19 8/11	人の妊娠報告見てこんなにメンタルに来るなんて想像してなかったわ
08:52	ゆうげん	むぅ
09:00	あすか 11/19 8/11	なんやむぅって
09:00	あすか 11/19 8/11	割とモヤモヤしてることに対してむぅてなんや
10:32	ゆうげん	いや
10:32	ゆうげん	今すぐにどうこうするの難しいなって
10:32	ゆうげん	もちろん
10:32	ゆうげん	妊活自体はできるけど
10:32	ゆうげん	その後のケアが
10:32	ゆうげん	如何ともし難い
11:27	あすか 11/19 8/11	今すぐどうこうとかを求めてるわけじゃないよ
11:27	あすか 11/19 8/11	解決方法みたいなのじゃなくて、同じ温度感じゃない雰囲気が寂しいなってだけ
11:28	あすか 11/19 8/11	"でも昨日は
「3歳差でもいいと思うけどね」って言ってもらえて嬉しかったよ"
11:30	あすか 11/19 8/11	マイホームが建って片付けが落ち着いてからにはなるけど、早めてもいいんやなーて思えたし
11:30	あすか 11/19 8/11	つわりとか妊婦期間も単身赴任で離れてるのはそりゃ辛すぎるけど。でもナギの時よりは妊娠初期の時も一緒にいられるやろうし。
11:31	あすか 11/19 8/11	昨日大阪帰ってくる頻度は高くなるって言ってたからさ
11:33	あすか 11/19 8/11	まぁだから、理想を突きつけるのはよくないってわかってるけど、「今すぐは無理やけどマイホーム落ち着いたらしっかり考えよ、俺もナギのきょうだいほしいし！一緒にいれなくてもできるだけ帰るし！今は難しいけどもうちょいや」みたいな…同じ気持ちやけど今は無理やから一緒に我慢の期間を過ごしてるって思えるような言葉があったらなー､､､と思っただけ
11:34	あすか 11/19 8/11	それより昨日今日と貧血かな、頭フラフラしたりそれに伴って気持ち悪くなったりする
11:34	あすか 11/19 8/11	なぎ連れて買い物出てしまってからそれに襲われたらほんまに悲劇
11:35	ゆうげん	無理したらあかんで
11:35	あすか 11/19 8/11	"今も買い物行っててんけど
悪さするナギ追いかけ回してたら「やばい…」てなったけど倒れる訳にも座り込む訳にもいかず何とか生還した"
11:36	あすか 11/19 8/11	"鉄分摂取できるもの買おうとか
今家白ご飯ないからお昼買って帰ろうとか思って外出たのに
どっちも買えずに帰ってきた"
11:37	あすか 11/19 8/11	"あ、あとさ、
生理で体だるって言ってる時に
「日にち微妙」はないぜ憂魁……"
11:37	あすか 11/19 8/11	旅行のこと言ってるんやろうけど真っ先にそれは……
11:37	あすか 11/19 8/11	てなるぜ憂魁
11:38	ゆうげん	まあまあ
11:38	あすか 11/19 8/11	すぐそうやって、まあまあとか言って誤魔化す…
11:39	あすか 11/19 8/11	"雰囲気悪くしたくないから
機嫌悪い中でもゆーくんに
変に怒ってるように伝わらん
ように…て言い方考えてるのに"
11:39	あすか 11/19 8/11	😡
11:39	あすか 11/19 8/11	😡
11:39	あすか 11/19 8/11	😡
11:45	ゆうげん	いや
11:45	ゆうげん	仕事しながら
11:45	ゆうげん	頭回らんて
11:45	ゆうげん	そっちに
11:45	あすか 11/19 8/11	ごめん
11:45	あすか 11/19 8/11	邪魔して
11:47	あすか 11/19 8/11	無理してLINE開かんでいいよ
11:47	あすか 11/19 8/11	仕事中は私の通知切っといて
11:47	あすか 11/19 8/11	私もiPhone触らる時にぶわーてLINEしちゃうから
11:49	ゆうげん	おれも
11:49	ゆうげん	子どもはほしい
11:50	ゆうげん	"でも
いざ妊活しても
その後どこまで動けるかわからん"
11:50	ゆうげん	もちろん毎週帰るけど
11:52	ゆうげん	"あとは3学年でも中高入学
高大学入学のふたつやから"
11:52	ゆうげん	ここにお金貯めときゃいい
11:53	あすか 11/19 8/11	いや、その話じゃない…
11:53	あすか 11/19 8/11	[写真]
11:54	あすか 11/19 8/11	今はこれよ、、
11:54	ゆうげん	"生理のは
日付被りそうやなって"
11:54	ゆうげん	意味
11:55	あすか 11/19 8/11	毎週帰るって言ってくれてるのも3学年差でも大丈夫って言ってくれてるのももう伝わったし、だから私もそれで納得したことさっきも話したつもりよ…
11:55	あすか 11/19 8/11	いや、だから、その生理のやつ、真っ先に日にち被りそうってことを言ってくるのはないぜって話したのよ
11:56	あすか 11/19 8/11	"今日は特に調子悪くて
「体だる」て言ったのに、
その後真っ先にかける言葉が
「日にち微妙(旅行どうなるやろね)」はないぜーって"
11:57	あすか 11/19 8/11	それを不機嫌そうに言うんじゃなくて明るく伝わるように言ったつもりやしわざわざ絵文字つけるのも怒ってるわけじゃないって伝わって欲しかったからやのに
11:57	あすか 11/19 8/11	いや仕事しながら頭回らんてそっちに
11:58	ゆうげん	ごめん
11:58	あすか 11/19 8/11	て言われると怖いし普通に泣いた
12:02	あすか 11/19 8/11	"買い物中も体調悪いのにナギはお構い無しに逃げ回るから、セルフレジに物だけ置いて追いかけ回して、戻ったら店員さんがレジうっといてくれたけど今度は袋詰めのときも悪さして、自転車乗せるまでも苦労して、体調良くないから余計イライラするしナギに当たって店の中でも怒り散らしてってしちゃうからさ……
色々発散しとかないとナギにもよくないからさ……
でもゆーくんと揉めたいわけじゃないからさ……
だからゆーくんには怒ってる雰囲気じゃなくて明るく文句言おうって思って…"
12:03	あすか 11/19 8/11	仕事中にLINE荒らすのはよくないのわかってるけど、ナギが寝てる今しかゆっくりiPhoneと向き合われへんし……
12:03	あすか 11/19 8/11	だからもう通知切っといて、仕事中
12:23	あすか 11/19 8/11	"全然はじめから怒ってるわけじゃないし、ただ月イチの生理前生理中は私もコントロール難しいくらい情緒不安定なるからさ…

ゆーくんと雰囲気悪くなるのは、離れてる今は余計に嫌やし、、"
12:24	あすか 11/19 8/11	通知切っといてとか強がって言ってしまったけど、仕事中とは言えゆーくんに通知切られてるのはちょっと寂しいなーとか考えたら涙出てくるw
12:24	あすか 11/19 8/11	なんかもうほんまに申し訳ないけど月イチの🩸の前後は日頃よりも情緒不安定増す
12:24	あすか 11/19 8/11	ごめん
12:56	あすか 11/19 8/11	"お昼休憩できてるん？
何かあったの？大丈夫？"
13:16	ゆうげん	ごめん
13:16	ゆうげん	お昼まるまる分からないとこの対応してた
13:27	ゆうげん	あすかをないがしろにしたい訳じゃないよ
13:27	ゆうげん	全力で支えたい
13:27	ゆうげん	ただ今やってる事が頭使うから
13:27	ゆうげん	半々で出来ない
14:56	あすか 11/19 8/11	ちゃんと何か食べなよ
14:56	あすか 11/19 8/11	お腹痛いから誰かに当たり散らしたいw
14:57	あすか 11/19 8/11	ちゃんと伝えてくれてありがとう
14:57	あすか 11/19 8/11	無理せず頑張ってね
15:14	ゆうげん	ありがとうね
15:14	ゆうげん	俺が側にいたら全然いいんやけどね
15:15	ゆうげん	当たり散らして
16:39	あすか 11/19 8/11	"地味に痛いのがずーっとって
地味にストレス"
19:05	ゆうげん	おれもいま
19:05	ゆうげん	しっちゃかめっちゃか
19:05	ゆうげん	撫でて欲しい
19:34	あすか 11/19 8/11	"離れてるとお互いの大変さ
目に見えへんから難しいなぁ"
19:34	あすか 11/19 8/11	離れてることデメリットばっかりではないんやけども
19:34	あすか 11/19 8/11	そこはほんま難しい
19:34	あすか 11/19 8/11	ちゃんとご飯食べやーー
19:34	あすか 11/19 8/11	[写真]
19:34	あすか 11/19 8/11	今日早速！
19:35	あすか 11/19 8/11	私も新しい服着て気分高めよって思ったけど生理きたから断念
19:35	あすか 11/19 8/11	いつも通り黒い服にしました
19:38	ゆうげん	あれま
19:38	ゆうげん	これ涼しい?
19:38	ゆうげん	俺はデメリットばっかり
19:40	あすか 11/19 8/11	離れてるからこそ気付けることもあったからね。今は一緒に居たいが強いけど、離れたことで気づけること、大切にできることってやっぱある。
19:41	あすか 11/19 8/11	"涼しいんかな？
ナギが持ってた"
19:41	あすか 11/19 8/11	でもこの銀のところめっちゃ冷たくて気持ちよかった
19:47	ゆうげん	風邪は弱いよね
19:49	あすか 11/19 8/11	そうなんやね
19:49	あすか 11/19 8/11	でも銀のところめっちゃいい
19:49	あすか 11/19 8/11	気持ちーてなった
19:50	あすか 11/19 8/11	ナギ今日も1回だけおしっこトイレでしたーー
19:58	ゆうげん	なぎもうトイレますたーーやね
20:01	ゆうげん	ちなみにまだ
20:01	ゆうげん	仕事終わってない
20:04	あすか 11/19 8/11	マスターでは全然ない
20:04	あすか 11/19 8/11	1日に何回も何回もトイレっていうから連れていくけど
20:04	あすか 11/19 8/11	10回に1回出たらいいとこ
20:05	あすか 11/19 8/11	トイレットペーパーだけやたら欲しがるし
20:05	あすか 11/19 8/11	何も出てないのに水は流れるから水の無駄遣いw
20:05	あすか 11/19 8/11	まぁでも最初はみんなこうやから…がんばろ…
20:05	あすか 11/19 8/11	まだ終わってないのか
20:06	あすか 11/19 8/11	仕事忙しいとゆー君の余裕なくなって私も何かとしんどくなるから
20:06	あすか 11/19 8/11	仕事忙しいのほんま嫌や
20:06	あすか 11/19 8/11	付き合ってた頃とかあんなにお互い心に余裕あったのに…
20:06	あすか 11/19 8/11	なんでそのチームに入れたねんって会社に腹立つw
20:30	ゆうげん	付き合ってた頃
20:30	ゆうげん	めっちゃ穏やかよね
21:17	ゆうげん	はい
21:17	ゆうげん	まだやってます
21:28	あすか 11/19 8/11	うん、お互い心の余裕あったんやろね、穏やかやった
21:28	あすか 11/19 8/11	え、まだやってるん？
21:28	あすか 11/19 8/11	何やってるん？
21:28	あすか 11/19 8/11	"残業多すぎやし長すぎん？
本社の時が奇跡やったんか…"
21:34	ゆうげん	この3ヶ月全てが初めて尽くしやからな
21:38	ゆうげん	早くなぎの親子ぎゅーしたい
21:39	あすか 11/19 8/11	勉強にはなるんやろうけど…
21:39	あすか 11/19 8/11	でもなぁ…
21:39	あすか 11/19 8/11	親子ギュー癒されるよね
21:39	ゆうげん	あれすごい
21:39	ゆうげん	一気に楽になる
21:40	ゆうげん	こどもってすごいなぁ
21:45	あすか 11/19 8/11	あれは癒しよねー。
21:45	あすか 11/19 8/11	大変なことも尽きひんけど
21:45	あすか 11/19 8/11	やっぱ我が子は尊い。
21:46	あすか 11/19 8/11	まぁ、イライラもさせられるけど
21:46	あすか 11/19 8/11	やっぱ癒しやわァ。
21:46	あすか 11/19 8/11	これの繰り返し(笑)
21:46	あすか 11/19 8/11	"でもやっぱ愛おしいし尊いし
大切すぎる存在"
21:46	ゆうげん	ほんまね
21:47	ゆうげん	愛おしすぎる
21:47	ゆうげん	おとはちゃん
21:47	ゆうげん	女の子産まれたら
21:47	ゆうげん	また俺変わるかな
21:47	ゆうげん	デレデレかな
21:55	あすか 11/19 8/11	おとはちゃんかいろはちゃん
21:55	あすか 11/19 8/11	女の子授かれたらいいね
21:55	あすか 11/19 8/11	男の子でも嬉しいけどね
21:55	あすか 11/19 8/11	変わりそう！
21:56	ゆうげん	でもやっぱ
21:56	ゆうげん	ナギの男の子感すき
22:00	あすか 11/19 8/11	どっちも授かれるのがホントベスト
22:00	あすか 11/19 8/11	[写真]
22:00	あすか 11/19 8/11	自分で顔にぬりたくる男の子
22:00	あすか 11/19 8/11	[写真]
22:00	あすか 11/19 8/11	ナギにもう一個帽子編んだ！
22:01	ゆうげん	この帽子すげ
22:01	ゆうげん	バッチリやん
22:13	あすか 11/19 8/11	かわいい？
22:13	あすか 11/19 8/11	春夏用の糸(コットン)で編んだけど
22:13	あすか 11/19 8/11	ちょっと暑いかな？て感じ
22:16	ゆうげん	かわいい
22:17	ゆうげん	過去一
22:17	ゆうげん	ほええ
22:17	ゆうげん	すごい
22:17	ゆうげん	うれるうれる
22:17	ゆうげん	1500-2000
22:17	ゆうげん	これ1時間で1個作ろ
22:18	あすか 11/19 8/11	"これよく見たらまだまだ
素人感半端ないから"
22:18	あすか 11/19 8/11	もっと上手く作れるようになりたい
22:19	あすか 11/19 8/11	1色じゃなくてマーブルにしたのはどう思う？
22:19	ゆうげん	マーブル感
22:19	ゆうげん	わからん
22:20	ゆうげん	写真では
22:35	あすか 11/19 8/11	あ、ほんと？
22:35	あすか 11/19 8/11	[写真]
22:35	あすか 11/19 8/11	ベージュと白の糸使ってる
22:39	ゆうげん	ほんまや
22:39	ゆうげん	かわい
22:58	あすか 11/19 8/11	ベージュ1色でするか
22:58	あすか 11/19 8/11	悩んだ
23:21	ゆうげん	どっちも作ろ！
23:22	あすか 11/19 8/11	他にも作りたいものあって〜
23:22	あすか 11/19 8/11	先そっちしてからまた帽子も編んでみる
23:23	ゆうげん	上達すごい
23:26	ゆうげん	あすかのワンピース見たいなぁ
23:58	あすか 11/19 8/11	ワンピース？

2022/06/28(火)
00:11	ゆうげん	ワンピース
00:11	あすか 11/19 8/11	服？
00:11	ゆうげん	ふく
00:11	ゆうげん	[スタンプ]
00:28	あすか 11/19 8/11	旅行、前言ってたワンピース着る
00:28	ゆうげん	どれやっけ
00:32	あすか 11/19 8/11	あめりかんほりっく？
00:33	ゆうげん	白がいいなぁ
00:40	ゆうげん	シャツ感のあるワンピ
00:50	あすか 11/19 8/11	それはそれでまた着る
00:50	ゆうげん	ベージュワンピースどう切るの??
01:02	あすか 11/19 8/11	上にシャツ
01:02	あすか 11/19 8/11	斜めにくくる感じ
01:02	あすか 11/19 8/11	かな？
01:05	ゆうげん	白シャツ?
01:14	あすか 11/19 8/11	うん、前見せたやつ
01:15	あすか 11/19 8/11	これ旅行時着るーてワンピースと白シャツ
01:15	あすか 11/19 8/11	覚えてない？
01:42	ゆうげん	白シャツ覚えてないかも
01:56	あすか 11/19 8/11	また見せるね
01:59	ゆうげん	あすか
01:59	ゆうげん	ちゅ
01:59	ゆうげん	頑張って
01:59	ゆうげん	二人目
01:59	ゆうげん	[スタンプ]
02:00	ゆうげん	女の子やから
02:00	ゆうげん	淡白に
02:00	あすか 11/19 8/11	マイホーム建って片付け落ち着いたらだね
02:02	あすか 11/19 8/11	[写真]
02:02	あすか 11/19 8/11	[写真]
02:02	あすか 11/19 8/11	[写真]
02:02	あすか 11/19 8/11	[写真]
02:02	あすか 11/19 8/11	こんなのあったよ
02:04	ゆうげん	文がおもろい
02:05	あすか 11/19 8/11	ね、ちょっと笑ってしまう
02:05	ゆうげん	あたためあっさり無になって浅く
02:06	あすか 11/19 8/11	女の子授かれたら嬉しいけど
02:06	あすか 11/19 8/11	そうじゃなくても授かれたら嬉しいよね
02:13	あすか 11/19 8/11	[動画]
02:13	あすか 11/19 8/11	[動画]
02:13	あすか 11/19 8/11	[動画]
02:13	あすか 11/19 8/11	[動画]
02:13	あすか 11/19 8/11	入院中のナギかわい
02:14	あすか 11/19 8/11	"パパ明日出社でしょ？
はやく寝て無理せず頑張ってね"
02:17	ゆうげん	かわいいなぁ
02:17	ゆうげん	あしほっそ
02:17	ゆうげん	無理せず行きます
02:18	ゆうげん	[写真]
02:18	ゆうげん	まだまだ小さけど
02:18	ゆうげん	マジでかなった
08:12	あすか 11/19 8/11	ちっちゃいし可愛いなぁぁ
08:12	あすか 11/19 8/11	ほんま大きくなった
08:12	あすか 11/19 8/11	てかもうあれから2年経とうとしてるのか､､､
08:12	あすか 11/19 8/11	おはよう
08:38	ゆうげん	おはよう
08:38	ゆうげん	早いもんやね
08:41	あすか 11/19 8/11	ほんまに早いね〜
08:41	あすか 11/19 8/11	過ぎ去れば早く感じる
08:41	あすか 11/19 8/11	[写真]
08:41	あすか 11/19 8/11	[写真]
08:41	あすか 11/19 8/11	スイカ食べてパン食べて
08:41	あすか 11/19 8/11	朝からおしっこもトイレで出来たよ
08:42	ゆうげん	朝イチスイカ
08:42	ゆうげん	羨ましい
09:44	あすか 11/19 8/11	パパともスイカ食べたい
12:31	ゆうげん	近々帰ろうかな
12:31	ゆうげん	会いたい
15:56	あすか 11/19 8/11	会いたい私も
15:57	あすか 11/19 8/11	[写真]
